"Numéro
d'appareil";Numéro d'agrément;Numéro de campus;Nom de l'exploitant;Commune;Province;Fabricant;Modèle;Type d'utilisation;Hôpitaux en association
30018;322.0;4230.0;UNIVERSITAIRE ZIEKENHUIZEN K.U.L.;Louvain;Brabant flamand;Siemens;BIOGRAPH 16;Wetenschappelijk en klinisch gebruik;Il n'existe pas d'association pour cet appareil
30019;39.0;3280.0;CHU UCL NAMUR;Yvoir;Namur;Philips;Philips-Gemini TF PET/CT;Utilisation clinique et scientifique;CLINIQUE ET MATERNITE SAINTE-ELISABETH
30020;;;"ASSOCIATION INTERHOSPITALIERE
DE LA REGION DE CHARLEROI ASBL";Gilly;Hainaut;GE;GE-Discovery PET/CT 690;Utilisation clinique uniquement;CHU DE CHARLEROI.CHU ANDRE VESALE.GRAND HOPITAL DE CHARLEROI.CLINIQUE NOTRE-DAME DE GRACE
30021;79.0;1510.0;INSTITUT JULES BORDET;Bruxelles;Bruxelles-Capitale;GE;GE-Discovery PET/CT 690;Utilisation clinique uniquement;CHU BRUGMANN, CHU ST PIERRE-HOPITAUX IRIS SUD
30022;146.0;3200.0;CENTRES HOSPITALIERS JOLIMONT;La Louvière;Hainaut;GE;GE-Discovery PET/CT 710;Utilisation clinique uniquement;"CENTRES HOSPITALIERS JOLIMONT, CHU TIVOLI LA LOUVIERE, CHR MONS-HAINAUT, EPICURA/CHR HAUTE SENNE
SOIGNIES"
30023;403.0;4190.0;CLINIQUES UNIVERSITAIRES ST.-LUC;Woluwe-Saint-Lambert;Bruxelles-Capitale;Philips;Philips-Gemini TF PET/CT;Utilisation clinique et scientifique;Il n'existe pas d'association pour cet appareil
30024;110.0;1310.0;KLINIEK ST.- JAN;Bruxelles;Bruxelles-Capitale;GE;GE-Discovery IQ;Uitsluitend klinisch gebruik;CLINIQUE DE L EUROPE,  CHIREC
30025;396.0;1090.0;ALGEMEEN ZIEKENHUIS GROENINGE;Courtrai;Flandre occidentale;GE;GE-Discovery PET/CT 690 Elite;Uitsluitend klinisch gebruik;ALGEMEEN ZIEKENHUIS ST.-JAN BRUGGE-OOSTENDE,  ALGEMEEN ZIEKENHUIS DELTA
30026;406.0;4210.0;"CLINIQUES UNIVERSITAIRES DE
BRUXELLES HOPITAL ERASME";Anderlecht;Bruxelles-Capitale;Philips;Gemini tf64 T;Utilisation clinique et scientifique;Il n'existe pas d'association pour cet appareil
30027;49.0;1010.0;A.Z. ST. JAN BRUGGE - OOSTENDE;Bruges;Flandre occidentale;GE;GE DISCOVERY MI;Uitsluitend klinisch gebruik;A.Z. GROENINGE VZW, KORTRIJK.A.Z. DELTA VZW, ROESELAERE
30028;;;VZW LPC;Genk;Limbourg;Siemens;Biograph Horizon;Uitsluitend klinisch gebruik;"VZW JESSA, ZIEKENHUIS OOST-LIMBURG AV,  AZ VESALIUS AV, VZW MARIAZIEKENHUIS NOORD-LIMBURG,VZW ZIEKENHUIS
MAAS EN KEMPEN, VZW REGIONAAL ZIEKENHUIS SINT-TRUDO, VZW SINT-FRANCISKUSZIEKENHUIS, UNIVERSITAIRE
ZIEKENHUIZEN K.U. LEUVEN"
30029;670.0;3850.0;UNIVERSITAIR ZIEKENHUIS;Gand;Flandre orientale;"GE MEDICAL
SYSTEMS";DISCOVERY MI;Wetenschappelijk en klinisch gebruik;Il n'existe pas d'association pour cet appareil
30030;689.0;2040.0;IMELDA ZIEKENHUIS;Bonheiden;Anvers;Siemens;BIOGRAPH MCT 40 FLOW;Uitsluitend klinisch gebruik;"IMELDA ZIEKENHUIS, AZ ST-MAARTEN.HEILIG HART ZIEKENHUIS LIER, AZ DIEST, RZ HEILIG HART TIENEN, RZ HEILIG HART
LEUVEN, AZ JAN PORTAELS"
30031;534.0;2830.0;"CENTRE HOSPITALIER DE WALLONIE
PICARDE";Tournai;Hainaut;GE;DISCOVERY MI;Utilisation clinique uniquement;CHM,  EPICURA
30032;406.0;4210.0;"CLINIQUES UNIVERSITAIRES DE
BRUXELLES HOPITAL ERASME";Anderlecht;Bruxelles-Capitale;Philips;Philips-Vereos PET/CT;Utilisation clinique et scientifique;Il n'existe pas d'association pour cet appareil
30033;332.0;6140.0;CHIREC - DELTA;Auderghem;Bruxelles-Capitale;GE;DISCOVERY MI;Utilisation clinique uniquement;CLINIQUE DE L EUROPE, ST. JEAN
