Numéro d'appareil;Numéro d'agrément;Numéro de campus;Nom de l'exploitant;Commune;Province;Fabricant;Modèle;Type d'utilisation;Hopitaux en association
10127;97;1260;HEILIG HART ZIEKENHUIS V.Z.W.;Lier;Anvers;Siemens;SIEMENS-SOMATOM Emotion;;
10128;117;1950;ALGEMEEN ZIEKENHUIS DELTA;Roulers;Flandre occidentale;GE;GE-LightSpeed VCT;;
10129;117;1950;ALGEMEEN ZIEKENHUIS DELTA;Roulers;Flandre occidentale;Siemens;SIEMES-SOMATOM Definition AS;;
10130;117;1100;ALGEMEEN ZIEKENHUIS DELTA;Roulers;Flandre occidentale;Siemens;SIEMENS-SOMATOM Sensation;;
10131;117;1960;ALGEMEEN ZIEKENHUIS DELTA;Roulers;Flandre occidentale;GE;GE-Optima CT660;;
10132;12;3460;ALGEMEEN ZIEKENHUIS ST. BLASIUS;Dendermonde;Flandre Orientale;Philips;PHILIPS-MX 16;;
10133;12;3460;ALGEMEEN ZIEKENHUIS ST. BLASIUS;Dendermonde;Flandre Orientale;Philips;PHILIPS-Brilliance;;
10134;126;1780;ONZE LIEVE VROUW ZIEKENHUIS;Alost;Flandre Orientale;Siemens;SIEMENS-SOMATOM Definition Flash;;
10136;126;1300;ONZE LIEVE VROUW ZIEKENHUIS;Asse;Brabant flamand;Toshiba;TOSHIBA-Aquilion 32;;
10137;126;1780;ONZE LIEVE VROUW ZIEKENHUIS;Alost;Flandre Orientale;Philips;PHILIPS-Brilliance Big Bore;;
10138;108;1360;REGIONAAL ZIEKENHUIS HEILIG HART;Leuven;Brabant Flamand;Toshiba;TOSHIBA-Aquilion ONE;;
10139;176;1800;A.S.Z. - AUTONOME VERZORGINGSINSTELLING;Alost;Flandre Orientale;GE;GE-Discovery CT750 HD;;
10140;176;1800;A.S.Z. - AUTONOME VERZORGINGSINSTELLING;Alost;Flandre Orientale;Siemens;SIEMENS-SOMATOM Sensation;;
10141;176;1810;A.S.Z. - AUTONOME VERZORGINGSINSTELLING;Wetteren;Flandre orientale;Siemens;SIEMENS-SOMATOM Emotion;;
10142;176;1820;A.S.Z. - AUTONOME VERZORGINGSINSTELLING;Grammont;Flandre orientale;GE;GE-LightSpeed VCT;;
10143;164;3230;VIVALIA - IFAC;Marche-En-Famenne;Luxembourg;Siemens;SIEMENS-SOMATOM DEFINITION 64;;
10144;409;3350;CLINIQUE NOTRE-DAME DE GRACE;Charleroi;Hainaut;Toshiba;TOSHIBA-Aquilion RXL;;
10145;409;3350;CLINIQUE NOTRE-DAME DE GRACE;Charleroi;Hainaut;Toshiba;TOSHIBA-Aquilion Prime;;
10146;164;3720;VIVALIA - IFAC;Vielsalm;Luxembourg;Siemens;SIEMENS-SOMATOM Emotion;;
10149;87;1550;HOPITAUX IRIS SUD - IRIS ZIEKENHUIZEN ZUID;Forest;Bruxelles-Capitale;Toshiba;TOSHIBA-Aquilion 64 CXL;;
10150;87;1530;HOPITAUX IRIS SUD - IRIS ZIEKENHUIZEN ZUID;Etterbeek;Bruxelles-Capitale;Toshiba;TOSHIBA-Aquilion S16;;
10151;217;1900;ALGEMEEN ZIEKENHUIS ST. ELISABETH;Zottegem;Flandre Orientale;GE;GE-Discovery CT750 HD;;
10153;595;1860;ALGEMEEN ZIEKENHUIS NIKOLAAS;Sint-Niklaas;Flandre Orientale;GE;GE-Optima CT660;;
10154;595;1870;ALGEMEEN ZIEKENHUIS NIKOLAAS;Beveren-Waas;Flandre orientale;GE;GE-Brightspeed Elite;;
10156;710;3450;ALGEMEEN ZIEKENHUIS KLINA V.Z.W.;Brasschaat;Anvers;GE;GE-Revolution CT;;
10157;712;1320;ALGEMEEN ZIEKENHUIS DIEST;Diest;Brabant Flamand;Siemens;SIEMES-SOMATOM Definition AS;;
10159;111;1400;EUROPAZIEKENHUIZEN V.Z.W.;Uccle;Bruxelles-Capitale;Siemens;SIEMENS-SOMATOM Definition Flash;;
10164;723;1770;C.H. INTERREGIONAL EDITH CAVELL - SARE;Ganshoren;Bruxelles-Capitale;Siemens;SIEMENS-SOMATOM Emotion;;
10165;332;1740;CHIREC - DELTA;Uccle;Bruxelles-Capitale;Siemens;SIEMENS-SOMATOM Sensation;;
10166;723;1760;C.H. INTERREGIONAL EDITH CAVELL - SARE;Braine-L'Alleud;Brabant Wallon;Siemens;SIEMENS-SOMATOM Emotion;;
10167;723;1760;C.H. INTERREGIONAL EDITH CAVELL - SARE;Braine-L'Alleud;Brabant Wallon;Siemens;SIEMES-SOMATOM Definition AS;;
10168;723;1470;C.H. INTERREGIONAL EDITH CAVELL - SARE;Anderlecht;Bruxelles-Capitale;Siemens;SIEMES-SOMATOM Definition AS;;
10169;243;3590;JESSA ZIEKENHUIS;Hasselt;Limbourg;Toshiba;TOSHIBA-Aquilion RXL;;
10170;243;3590;JESSA ZIEKENHUIS;Hasselt;Limbourg;Toshiba;TOSHIBA-Aquilion One Vision;;
10172;43;1730;CLINIQUE SAINT PIERRE;Ottignies-Louvain-La-Neuve;Brabant Wallon;Siemens;SIEMES-SOMATOM Definition AS;;
10173;12;3480;ALGEMEEN ZIEKENHUIS ST. BLASIUS;Zele;Flandre orientale;Philips;PHILIPS-MX 16;;
10174;68;2870;CENTRE HOSPITALIER REGIONAL DE HUY;Huy;Liège;Siemens;SIEMENS-SOMATOM Definition Flash;;
10175;17;1605;ALGEMEEN ZIEKENHUIS MARIA MIDDELARES;Gand;Flandre Orientale;Siemens;SIEMENS-SOMATOM Definition Flash;;
10176;17;1605;ALGEMEEN ZIEKENHUIS MARIA MIDDELARES;Gand;Flandre Orientale;Siemens;SIEMENS-SOMATOM Sensation;;
10177;17;1850;ALGEMEEN ZIEKENHUIS MARIA MIDDELARES;Gand;Flandre Orientale;GE;GE-LightSpeed VCT;;
10178;264;3260;CHU UCL NAMUR - SITE DE DINANT;Dinant;Namur;Toshiba;TOSHIBA-Astelion advance;;
10179;264;3260;CHU UCL NAMUR - SITE DE DINANT;Dinant;Namur;Toshiba;TOSHIBA-Aquilion Prime;;
10180;243;3590;JESSA ZIEKENHUIS;Hasselt;Limbourg;Philips;PHILIPS-Brilliance Big Bore;;
10184;266;2710;CHR MONS - HAINAUT;Mons;Hainaut;Siemens;SIEMENS-SOMATOM Emotion;;
10185;266;2710;CHR MONS - HAINAUT;Mons;Hainaut;Siemens;SIEMENS-SOMATOM Sensation;;
10186;266;2720;CHR MONS - HAINAUT;Boussu;Hainaut;Siemens;SIEMENS-SOMATOM Emotion;;
10187;10;3100;GRAND HOPITAL DE CHARLEROI;Charleroi;Hainaut;Siemens;SIEMES-SOMATOM Definition AS;;
10188;10;3100;GRAND HOPITAL DE CHARLEROI;Charleroi;Hainaut;Siemens;SIEMENS-SOMATOM Sensation;;
10189;10;3170;GRAND HOPITAL DE CHARLEROI;Gilly;Hainaut;Toshiba;TOSHIBA-Aquilion One Vision;;
10190;10;3170;GRAND HOPITAL DE CHARLEROI;Gilly;Hainaut;Siemens;SIEMENS-SOMATOM Emotion;;
10191;10;3190;GRAND HOPITAL DE CHARLEROI;Montignies-Sur-Sambre;Hainaut;Siemens;SIEMENS-SOMATOM Emotion;;
10192;10;3180;GRAND HOPITAL DE CHARLEROI;Gerpinnes;Hainaut;Siemens;SIEMENS-SOMATOM Emotion;;
10194;525;1940;ALGEMEEN ZIEKENHUIS DAMIAAN;Ostende;Flandre Occidentale;Siemens;SIEMENS-SOMATOM Definition Flash;;
10195;525;1940;ALGEMEEN ZIEKENHUIS DAMIAAN;Ostende;Flandre Occidentale;Siemens;SIEMENS-SOMATOM Emotion;;
10196;20;3010;CENTRE HOSPITALIER REGIONAL DE VERVIERS;Verviers;Liège;Siemens;SIEMENS-SOMATOM Definition AS;;
10197;20;3010;CENTRE HOSPITALIER REGIONAL DE VERVIERS;Verviers;Liège;Siemens;SIEMENS-SOMATOM Definition AS+;;
10202;707;3860;CENTRE HOSPITALIER UNIVERSITAIRE SART-TILMAN;Liège;Liège;Siemens;SIEMENS-SOMATOM Emotion;;
10203;707;3870;CENTRE HOSPITALIER UNIVERSITAIRE SART-TILMAN;Esneux;Liège;Siemens;SIEMENS-SOMATOM Emotion;;
10204;707;3860;CENTRE HOSPITALIER UNIVERSITAIRE SART-TILMAN;Liège;Liège;Philips;PHILIPS-Brilliance Big Bore;;
10205;707;2840;CENTRE HOSPITALIER UNIVERSITAIRE SART-TILMAN;Chênée;Liège;GE;GE-Brightspeed Elite;;
10206;707;3860;CENTRE HOSPITALIER UNIVERSITAIRE SART-TILMAN;Liège;Liège;GE;GE-Brightspeed Elite;;
10207;290;1630;ALGEMEEN ZIEKENHUIS ST. LUCAS;Gand;Flandre Orientale;GE;GE-Discovery CT750 HD;;
10208;290;1630;ALGEMEEN ZIEKENHUIS ST. LUCAS;Gand;Flandre Orientale;GE;GE-Brightspeed Elite;;
10212;265;1650;ALGEMEEN ZIEKENHUIS LOKEREN;Lokeren;Flandre Orientale;Toshiba;TOSHIBA-Aquilion ONE;;
10213;396;1090;ALGEMEEN ZIEKENHUIS GROENINGE;Kortrijk;Flandre Occidentale;GE;GE-Discovery CT750 HD;;
10217;143;4200;UNIVERSITAIR ZIEKENHUIS BRUSSEL;Jette;Bruxelles-Capitale;Philips;BRILLIANCE ICT 256;;
10220;143;4200;UNIVERSITAIR ZIEKENHUIS BRUSSEL;Jette;Bruxelles-Capitale;GE;GE-Discovery CT750 HD;;
10221;143;4200;UNIVERSITAIR ZIEKENHUIS BRUSSEL;Jette;Bruxelles-Capitale;GE;GE-Revolution CT;;
10222;713;1610;ALGEMEEN ZIEKENHUIS JAN PALFIJN;Gand;Flandre Orientale;GE;GE-LightSpeed VCT;;
10223;243;3570;JESSA ZIEKENHUIS;Hasselt;Limbourg;GE;GE-Discovery CT750 HD;;
10224;243;3580;JESSA ZIEKENHUIS;Herck-La-Ville;Limbourg;GE;GE-LightSpeed Pro;;
10225;146;3200;CENTRES HOSPITALIERS JOLIMONT;La Louviere;Hainaut;Siemens;SIEMENS-SOMATOM Definition AS+;;
10226;146;3200;CENTRES HOSPITALIERS JOLIMONT;La Louviere;Hainaut;Siemens;SIEMENS-SOMATOM Emotion;;
10227;146;3200;CENTRES HOSPITALIERS JOLIMONT;La Louviere;Hainaut;Siemens;SIEMENS-SOMATOM Definition Flash;;
10228;146;3210;CENTRES HOSPITALIERS JOLIMONT;Lobbes;Hainaut;Siemens;SIEMENS-SOMATOM Definition AS;;
10229;9;2000;ZIEKENHUISNETWERK ANTWERPEN VZW;Anvers;Anvers;Philips;PHILIPS-Brilliance;;
10230;9;1180;ZIEKENHUISNETWERK ANTWERPEN VZW;Anvers;Anvers;Philips;PHILIPS-Ingenuity Core;;
10231;96;3220;CENTRE HOSPITALIER UNIVERSITAIRE TIVOLI;La Louviere;Hainaut;Siemens;SIEMENS-SOMATOM Definition AS+;;
10232;96;3220;CENTRE HOSPITALIER UNIVERSITAIRE TIVOLI;La Louviere;Hainaut;Toshiba;TOSHIBA-Aquilion One Vision;;
10233;9;2000;ZIEKENHUISNETWERK ANTWERPEN VZW;Anvers;Anvers;Toshiba;Aquilion One;;
10234;9;1190;ZIEKENHUISNETWERK ANTWERPEN VZW;Borgerhout;Anvers;Philips;PHILIPS-Brilliance;;
10235;9;3360;ZIEKENHUISNETWERK ANTWERPEN VZW;Merksem;Anvers;Siemens;SIEMENS-SOMATOM Definition Flash;;
10236;406;4210;CLINIQUES UNIVERSITAIRES DE BRUXELLES HOPITAL ERASME;Anderlecht;Bruxelles-Capitale;Siemens;SIEMENS-SOMATOM Sensation;;
10237;406;4210;CLINIQUES UNIVERSITAIRES DE BRUXELLES HOPITAL ERASME;Anderlecht;Bruxelles-Capitale;Siemens;SIEMENS-SOMATOM Emotion;;
10238;406;4210;CLINIQUES UNIVERSITAIRES DE BRUXELLES HOPITAL ERASME;Anderlecht;Bruxelles-Capitale;Siemens;SIEMENS-SOMATOM Force;;
10240;246;3700;VIVALIA - CLINIQUE DU SUD-LUXEMBOURG;Saint-Mard;Luxembourg;Siemens;SIEMENS-SOMATOM Emotion;;
10241;246;3690;VIVALIA - CLINIQUE DU SUD-LUXEMBOURG;Arlon;Luxembourg;Siemens;SIEMENS-SOMATOM Perspective;;
10242;246;3690;VIVALIA - CLINIQUE DU SUD-LUXEMBOURG;Arlon;Luxembourg;Siemens;SIEMENS-SOMATOM Force;;
10243;322;4230;UNIVERSITAIRE ZIEKENHUIZEN K.U.L.;Leuven;Brabant Flamand;Philips;PHILIPS-Ingenuity Core;;
10244;322;4230;UNIVERSITAIRE ZIEKENHUIZEN K.U.L.;Leuven;Brabant Flamand;Siemens;SIEMENS-SOMATOM Definition Flash;;
10246;322;4270;UNIVERSITAIRE ZIEKENHUIZEN K.U.L.;Pellenberg;Brabant flamand;GE;GE-Brightspeed Elite;;
10247;322;4230;UNIVERSITAIRE ZIEKENHUIZEN K.U.L.;Leuven;Brabant Flamand;Siemens;SIEMENS-SOMATOM Sensation;;
10248;322;4230;UNIVERSITAIRE ZIEKENHUIZEN K.U.L.;Leuven;Brabant Flamand;Siemens;SIEMENS-SOMATOM Definition Flash;;
10249;322;4230;UNIVERSITAIRE ZIEKENHUIZEN K.U.L.;Leuven;Brabant Flamand;Toshiba;TOSHIBA-Aquilion One Vision;;
10250;322;4230;UNIVERSITAIRE ZIEKENHUIZEN K.U.L.;Leuven;Brabant Flamand;Siemens;SIEMENS-SOMATOM Force;;
10251;403;4190;CLINIQUES UNIVERSITAIRES ST.-LUC;Woluwe-Saint-Lambert;Bruxelles-Capitale;Philips;PHILIPS-IQon;;
10253;77;1570;CHU BRUGMANN;Bruxelles;Bruxelles-Capitale;Siemens;SIEMENS-SOMATOM Sensation;;
10254;77;1570;CHU BRUGMANN;Bruxelles;Bruxelles-Capitale;Siemens;SIEMES-SOMATOM Definition AS;;
10255;140;1000;ALGEMEEN ZIEKENHUIS ST. LUCAS;Bruges;Flandre Occidentale;Siemens;SIEMENS-SOMATOM Definition Flash;;
10256;410;3060;CENTRE HOSPITALIER EPICURA;Baudour;Hainaut;Siemens;SIEMENS-SOMATOM Definition AS+;;
10257;410;3380;CENTRE HOSPITALIER EPICURA;Boussu;Hainaut;GE;GE-LightSpeed Ultra;;
10258;410;3380;CENTRE HOSPITALIER EPICURA;Boussu;Hainaut;GE;GE-LightSpeed VCT;;
10259;410;3390;CENTRE HOSPITALIER EPICURA;Frameries;Hainaut;GE;BRIGHTSPEED VELOCITY;;
10260;724;1910;CENTRE HOSPITALIER EPICURA;Ath;Hainaut;Siemens;SIEMENS-SOMATOM Definition AS+;;
10261;4;2950;CLINIQUE REINE ASTRID;Malmedy;Liège;GE;GE-Optima CT540;;
10263;412;3410;CENTRE HOSPITALIER REGIONAL DE LA CITADELLE;Liège;Liège;Mobius Imaging;AIRO;;
10264;150;3440;HOPITAL UNIVERSITAIRE DES ENFANTS REINE FABIOLA;Bruxelles;Bruxelles-Capitale;Siemens;SIEMENS-SOMATOM Sensation;;
10266;170;1660;ALGEMEEN ZIEKENHUIS OUDENAARDE Vzw;Oudenaarde;Flandre Orientale;Siemens;SIEMENS-SOMATOM Emotion;;
10267;42;2990;CENTRE HOSPITALIER BOIS DE L'ABBAYE;Seraing;Liège;Siemens;SIEMENS-SOMATOM Definition AS+;;
