Numéro d'appareil;Numéro d'agrément;Numéro de campus;Nom de l'exploitant;Commune;Province/Région de Région de Bruxelles-Capitale;Fabricant;Modèle;Hopitaux en association
50029;63;1280;AZ TURNHOUT;TURNHOUT;Anvers;Siemens;SIEMENS-Symbia T;
50030;534;2830;CENTRE HOSPITALIER DE WALLONIE PICARDE;TOURNAI;Hainaut;GE;GE-Infinia Hawkeye;
50031;534;2810;CENTRE HOSPITALIER DE WALLONIE PICARDE;TOURNAI;Hainaut;GE;GE-Infinia Hawkeye;
50033;714;3600;SINT-FRANCISCUS ZIEKENHUIS;HEUSDEN-ZOLDER;Limbourg;Philips;PHILIPS-BrightView-XCT;
50034;550;1680;A.Z. GLORIEUX;RONSE;Flandre Orientale;GE;GE-Discovery NM/CT 670 ;
50035;63;1280;AZ TURNHOUT;TURNHOUT;Anvers;GE;GE-Discovery NM/CT 670 Pro;
50036;308;1250;AZ HERENTALS;HERENTALS;Anvers;GE;GE-Discovery NM/CT 670 ;
50037;395;1170;ST.-ANDRIESZIEKENHUIS;TIELT;Flandre Occidentale;GE;GE-Discovery NM/CT 670 ;
50039;204;1460;ALGEMEEN ZIEKENHUIS JAN PORTAELS;VILVOORDE;Brabant Flamand;GE;GE-Discovery NM/CT 670 ;
50040;682;1210;AZ MONICA;ANVERS;Anvers;GE;GE-Infinia Hawkeye;
50041;249;3160;CENTRE DE SANTE DES FAGNES;CHIMAY;Hainaut;Philips;PHILIPS-BrightView-XCT;
50042;170;1660;AZ OUDENAARDE;OUDENAARDE;Flandre Orientale;Siemens;SIEMENS-Symbia T;
50043;103;3310;CHR SAMBRE ET MEUSE (SITE SAMBRE);SAMBREVILLE;Namur;Siemens;SIEMENS-Symbia Intevo ;
50045;79;1510;INSTITUT JULES BORDET;BRUXELLES;Région Bruxelles Cap.;Siemens;SIEMENS-Symbia T;
50046;310;1980;AZ WEST;VEURNE;Flandre Occidentale;GE;GE-Infinia Hawkeye;
50047;718;3130;CHU CHARLEROI - HOPITAL CIVIL MARIE CURIE;CHARLEROI;Hainaut;GE;GE-Optima NM/CT 640;
50048;719;3615;NOORDERHART - MARIAZIEKENHUIS;OVERPELT;Limbourg;Philips;PHILIPS-BrightView-XCT;
50050;168;3240;VIVALIA - CENTRE HOSPITALIER CENTRE ARDENNE;LIBRAMONT-CHEVIGNY;Luxembourg;GE;GE-Infinia Hawkeye;
50051;166;3290;CHU UCL NAMUR - SITE STE. ELISABETH NAMUR;NAMUR;Namur;Siemens;SIEMENS-Symbia T;
50052;99;1290;GZA- ZIEKENHUIZEN;ANVERS;Anvers;Philips;PHILIPS-BrightView-XCT;
50058;97;1260;ALGEMEEN ZIEKENHUIS HEILIG HART;LIER;Anvers;GE;GE-Discovery NM/CT 670 Pro;
50059;412;3410;CENTRE HOSPITALIER REGIONAL DE LA CITADELLE;LIEGE;Liège;GE;GE-Discovery NM/CT 670 ;
50060;126;1780;ONZE-LIEVE-VROUW ZIEKENHUIS;ALOST;Flandre Orientale;Siemens;SIEMENS-Symbia T;
50061;108;1360;REGIONAAL ZIEKENHUIS HEILIG HART;LOUVAIN;Brabant Flamand;Siemens;SIEMENS-Symbia Intevo ;
50062;176;1800;A.S.Z. - AUTONOME VERZORGINGSINSTELLING;ALOST;Flandre Orientale;Siemens;SIEMENS-Symbia T;
50063;409;3350;CLINIQUE NOTRE-DAME DE GRACE;CHARLEROI;Hainaut;Siemens;SIEMENS-Symbia T;
50066;164;3230;VIVALIA - HOPITAL DE MARCHE;MARCHE-EN-FAMENNE;Luxembourg;GE;DISCOVERY VH CT HAWKEYE;
50067;164;3230;VIVALIA - HOPITAL DE MARCHE;MARCHE-EN-FAMENNE;Luxembourg;GE;GE-Discovery NM/CT 670 ;
50069;87;1560;HOPITAUX IRIS SUD;IXELLES;Région Bruxelles Cap.;Philips;PHILIPS-BrightView-XCT;
50070;87;1540;HOPITAUX IRIS SUD;ANDERLECHT;Région Bruxelles Cap.;Philips;PHILIPS-BrightView-XCT;
50071;87;1550;HOPITAUX IRIS SUD;FOREST;Région Bruxelles Cap.;Philips;PHILIPS-BrightView-XCT;
50072;217;1900;ALGEMEEN ZIEKENHUIS ST. ELISABETH;ZOTTEGEM;Flandre Orientale;GE;GE-Discovery NM/CT 670 ;
50073;217;1900;ALGEMEEN ZIEKENHUIS ST. ELISABETH;ZOTTEGEM;Flandre Orientale;GE;DISCOVERY VH INTEGRATED SYSTEM ENTEGRA;
50074;595;1860;ALGEMEEN ZIEKENHUIS VITAZ;SINT-NIKLAAS;Flandre Orientale;GE;GE-Discovery NM/CT 670 ;
50075;595;1860;ALGEMEEN ZIEKENHUIS VITAZ;SINT-NIKLAAS;Flandre Orientale;GE;GE-Discovery NM/CT 670 ;
50076;710;3450;AZ KLINA;BRASSCHAAT;Anvers;GE;GE-Discovery NM/CT 670 Pro;
50077;106;1340;ALGEMEEN ZIEKENHUIS SINT- MARIA;HALLE;Brabant Flamand;Siemens;SIEMENS-Symbia T;
50078;111;1400;EUROPAZIEKENHUIZEN V.Z.W.;UCCLE;Région Bruxelles Cap.;Siemens;SIEMENS-Symbia T;
50081;723;1760;C.H. INTERREGIONAL EDITH CAVELL - SARE;BRAINE-L'ALLEUD;Brabant Wallon;Philips;PHILIPS-BrightView-XCT;
50082;723;1470;C.H. INTERREGIONAL EDITH CAVELL - SARE;ANDERLECHT;Région Bruxelles Cap.;Siemens;SIEMENS-Symbia T;
50083;723;1470;C.H. INTERREGIONAL EDITH CAVELL - SARE;ANDERLECHT;Région Bruxelles Cap.;GE;GE-Infinia Hawkeye;
50084;723;1470;C.H. INTERREGIONAL EDITH CAVELL - SARE;ANDERLECHT;Région Bruxelles Cap.;GE;GE-DISCOVERY NM/CT 570C;
50085;68;2870;CENTRE HOSPITALIER REGIONAL DE HUY;HUY;Liège;GE;GE-Discovery NM/CT 670 ;
50086;17;1605;AZ MARIA MIDDELARES;GAND;Flandre Orientale;Siemens;SIEMENS-Symbia T;
50087;17;1605;AZ MARIA MIDDELARES;GAND;Flandre Orientale;Siemens;SIEMENS-Symbia Intevo ;
50088;39;3280;CHU-UCL NAMUR - SITE GODINNE;YVOIR;Namur;GE;GE-Discovery NM/CT 670 ;
50090;266;2710;POLE HOSPITALIER JOLIMONT - SITE MONS - WARQUIGNIES;MONS;Hainaut;GE;GE-Infinia Hawkeye;
50091;266;2720;POLE HOSPITALIER JOLIMONT - SITE MONS - WARQUIGNIES;BOUSSU;Hainaut;GE;GE-Infinia Hawkeye;
50092;10;3100;GRAND HOPITAL DE CHARLEROI;CHARLEROI;Hainaut;GE;GE-Discovery NM/CT 670 ;
50093;7;2790;CHR HAUTE SENNE;SOIGNIES;Hainaut;GE;GE-Discovery NM/CT 670 ;
50094;525;1940;AZ DAMIAAN;OSTENDE;Flandre Occidentale;Siemens;SIEMENS-Symbia T;
50096;707;3860;CENTRE HOSPITALIER UNIVERSITAIRE SART-TILMAN;LIEGE;Liège;Siemens;SIEMENS-Symbia T;
50097;707;2840;CENTRE HOSPITALIER UNIVERSITAIRE SART-TILMAN;LIEGE;Liège;Siemens;SIEMENS-Symbia T;
50098;534;2830;CENTRE HOSPITALIER DE WALLONIE PICARDE;TOURNAI;Hainaut;GE;GE-Discovery NM/CT 670 Pro;
50099;290;1630;AZ SINT-LUCAS;GAND;Flandre Orientale;GE;GE-Discovery NM/CT 670 ;
50100;290;1630;AZ SINT-LUCAS;GAND;Flandre Orientale;GE;GE-Infinia Hawkeye;
50101;290;1630;AZ SINT-LUCAS;GAND;Flandre Orientale;Siemens;SIEMENS-Symbia Intevo ;
50104;243;3590;JESSA ZIEKENHUIS;HASSELT;Limbourg;Philips;PHILIPS-BrightView-XCT;
50106;396;1090;AZ GROENINGE;KORTRIJK;Flandre Occidentale;GE;GE-Discovery NM/CT 670 ;
50110;716;3670;AZ VESALIUS;TONGEREN;Limbourg;Siemens;SIEMENS-Symbia T;
50111;9;2000;ZIEKENHUISNETWERK ANTWERPEN (ZNA);ANVERS;Anvers;Philips;PHILIPS-BrightView-XCT;
50112;96;3220;CHU TIVOLI;LA LOUVIERE;Hainaut;Siemens;SIEMENS-Symbia T;
50113;406;4210;CLINIQUES UNIVERSITAIRES DE BRUXELLES HOPITAL ERASME;ANDERLECHT;Région Bruxelles Cap.;Philips;BRIGHTVIEW XCT;
50115;246;3690;VIVALIA - HOPITAL ARLON ET VIRTON;ARLON;Luxembourg;Siemens;Symbia T;
50116;322;4230;UZ LEUVEN;LOUVAIN;Brabant Flamand;Siemens;SIEMENS-Symbia T;
50117;322;4230;UZ LEUVEN;LOUVAIN;Brabant Flamand;GE;GE-Discovery NM/CT 670 ;
50118;77;1570;CHU BRUGMANN;BRUXELLES;Région Bruxelles Cap.;Siemens;SIEMENS-Symbia T;HUDERF
50121;140;1000;AZ SINT-LUCAS;BRUGES;Flandre Occidentale;Siemens;SIEMENS-Symbia Intevo ;
50122;410;3380;CENTRE HOSPITALIER EPICURA - SITE HORNU - BAUDOUR;BOUSSU;Hainaut;GE;GE-Infinia Hawkeye;
50124;110;1310;KLINIEK ST.- JAN;BRUXELLES;Région Bruxelles Cap.;GE;GE-DISCOVERY NM/CT 670 CZT;
50125;6;3300;CHR SAMBRE ET MEUSE (SITE MEUSE);NAMUR;Namur;Philips;PHILIPS-BrightView-XCT;
50126;9;3360;ZIEKENHUISNETWERK ANTWERPEN (ZNA);ANVERS;Anvers;GE;GE-Discovery NM/CT 670;
50127;712;1320;AZ DIEST;DIEST;Brabant Flamand;Siemens;SIEMENS-Symbia Intevo ;
50128;670;3850;UNIVERSITAIR ZIEKENHUIS;GAND;Flandre Orientale;GE;GE-Discovery NM/CT 670 Pro;
50129;346;1710;POLE HOSPITALIER JOLIMONT - SITE NIVELLES - TUBIZE;NIVELLES;Brabant Wallon;GE;Infinia Hawkeye;
50130;396;1090;AZ GROENINGE;KORTRIJK;Flandre Occidentale;GE;Tandem Discovery 670 Pro;
50131;247;2770;CENTRE HOSPITALIER DE MOUSCRON;MOUSCRON;Hainaut;Siemens;SIEMENS-Symbia Intevo ;
50132;325;2750;CHU CHARLEROI - SITE ANDRE VESALE;MONTIGNY-LE-TILLEUL;Hainaut;GE;Optima;
50133;32;1845;A.Z. ALMA;EEKLO;Flandre Orientale;Philips;PHILIPS-BrightView-XCT;
50134;32;1845;A.Z. ALMA;EEKLO;Flandre Orientale;GE;DISCOVERY 670 NM/CT PRO;
50135;715;3650;ST. TRUDO ZIEKENHUIS;SINT-TRUIDEN;Limbourg;Siemens;SIEMENS-Symbia Intevo 6;
50136;20;3010;CHR VERVIERS - EAST BELGIUM;VERVIERS;Liège;GE;GE-Discovery NM/CT 670 Pro;
50137;719;3615;NOORDERHART - MARIAZIEKENHUIS;OVERPELT;Limbourg;GEHC;Discovery 670 NM/CT ES;
50138;332;6140;CHIREC - DELTA;AUDERGHEM;Région Bruxelles Cap.;Philips;PHILIPS-BrightView-XCT;
50139;332;6140;CHIREC - DELTA;AUDERGHEM;Région Bruxelles Cap.;GE;GE-Discovery NM/CT 670 ;
50140;392;6160;AZ ZENO;KNOKKE-HEIST;Flandre Occidentale;GE;GE-Optima NM/CT 640;
50141;99;2020;GZA- ZIEKENHUIZEN;ANVERS;Anvers;GE;GE-Discovery NM/CT 670 ;
50142;76;1500;CHU SAINT-PIERRE;BRUXELLES;Région Bruxelles Cap.;GE;NMCT DISCOVERY 870DR;
50143;243;3590;JESSA ZIEKENHUIS;HASSELT;Limbourg;Philips;PHILIPS-BrightView-XCT;
50144;322;4230;UZ LEUVEN;LOUVAIN;Brabant Flamand;Siemens;Symbia Intevo 16;
50145;15;2850;ST. NIKOLAUS HOSPITAL;EUPEN;Liège;GE;GE-Infinia Hawkeye;
50146;26;6170;AZ SINT-MAARTEN;MECHELEN;Anvers;GE;GE-Discovery NM/CT 670 ;
50147;168;3240;VIVALIA - CENTRE HOSPITALIER CENTRE ARDENNE;LIBRAMONT-CHEVIGNY;Luxembourg;GE;DISCOVERY D870 CZT;
50148;79;1510;INSTITUT JULES BORDET;BRUXELLES;Région Bruxelles Cap.;GE;INFINIA HK4;
50149;12;3460;AZ SINT-BLASIUS;DENDERMONDE;Flandre Orientale;GE;DISCOVERY / CT 870 CZT;
50150;143;4200;UNIVERSITAIR ZIEKENHUIS BRUSSEL;JETTE;Région Bruxelles Cap.;Siemens;Symbia Intevo Bold;
50151;724;1910;CENTRE HOSPITALIER EPICURA - SITE ATH;ATH;Hainaut;GE;Discovery NM/CT 850;
50152;104;2060;AZ RIVIERENLAND;BORNEM;Anvers;GE;Discovery 670DR;
50153;126;1780;ONZE-LIEVE-VROUW ZIEKENHUIS;ALOST;Flandre Orientale;Siemens;Symbia Intevo Bold;
50154;534;2830;CENTRE HOSPITALIER DE WALLONIE PICARDE;TOURNAI;Hainaut;GE;DISCOVERY 870 CZT;
50155;332;6180;CHIREC - DELTA;UCCLE;Région Bruxelles Cap.;Siemens;SIEMENS-Symbia T;
50156;143;4200;UNIVERSITAIR ZIEKENHUIS BRUSSEL;JETTE;Région Bruxelles Cap.;Siemens;Symbia Intevo Bold;
50157;264;3260;CHU UCL NAMUR - HOPITAL DINANT;DINANT;Namur;Mediso;MEDISO-AnyScan SC;
50158;176;1820;A.S.Z. - AUTONOME VERZORGINGSINSTELLING;GERAARDSBERGEN;Flandre Orientale;Siemens;Symbia Intevo Bold;
50160;713;1610;AZ JAN PALFIJN;GAND;Flandre Orientale;GE;Discovery 870 DR;
50161;7;2790;CHR HAUTE SENNE;SOIGNIES;Hainaut;GE;GE-NM/CT 860 ;
50162;158;2970;GROUPE SANTE CHC - SITE HERMALLE ET HEUSY;VERVIERS;Liège;GE;GE NM/CT 870DR;
50163;20;3010;CHR VERVIERS - EAST BELGIUM;VERVIERS;Liège;GE;NM/CT Discovery 870;
50164;77;1570;CHU BRUGMANN;BRUXELLES;Région Bruxelles Cap.;Siemens;SIEMENS-Symbia Intevo bold;HUDERF
50165;117;6210;AZ DELTA;ROESELARE;Flandre Occidentale;Siemens;SIEMENS-Symbia Intevo ;
50166;117;6210;AZ DELTA;ROESELARE;Flandre Occidentale;Siemens;SIEMENS-Symbia T;
50167;117;6210;AZ DELTA;ROESELARE;Flandre Occidentale;Siemens;Symbia Intevo Bold;
50168;152;6200;GROUPE SANTE CHC - SITE MONTLEGIA LIEGE ET WAREMME;LIEGE;Liège;Philips;PHILIPS-BrightView-XCT;
50169;152;6200;GROUPE SANTE CHC - SITE MONTLEGIA LIEGE ET WAREMME;LIEGE;Liège;GE;NM/CT 870 DR;
50170;152;6200;GROUPE SANTE CHC - SITE MONTLEGIA LIEGE ET WAREMME;LIEGE;Liège;GE;NM/CT 870 DR;
50171;536;2090;AZ VOORKEMPEN;MALLE;Anvers;GE;Discovery NMCT 870 DR;
50172;706;3340;CLINIQUE ST.-LUC;NAMUR;Namur;GE;GE-NMCT870DR;
50173;140;1000;AZ SINT-LUCAS;BRUGES;Flandre Occidentale;Siemens;SIEMENS-Symbia Intevo Bold;
50174;246;3690;VIVALIA - HOPITAL ARLON ET VIRTON;ARLON;Luxembourg;GE;GE DISCOVERY NM/CT 870 CZT;
50175;49;1930;AZ SINT-JAN BRUGGE - OOSTENDE;OSTENDE;Flandre Occidentale;Siemens;SIEMENS-SYMBIA INTEVO BOLD;
50176;410;3060;CENTRE HOSPITALIER EPICURA - SITE HORNU - BAUDOUR;SAINT-GHISLAIN;Hainaut;GE;Discovery NMCT 850;
50177;410;3060;CENTRE HOSPITALIER EPICURA - SITE HORNU - BAUDOUR;SAINT-GHISLAIN;Hainaut;GE;Discovery NMCT 860;
50178;689;2040;IMELDA ZIEKENHUIS;BONHEIDEN;Anvers;Siemens;SIEMENS-Symbia Intevo Bold;
50179;111;1420;EUROPAZIEKENHUIZEN V.Z.W.;ETTERBEEK;Région Bruxelles Cap.;Siemens;SIEMENS-Symbia Intevo ;
50180;17;1605;AZ MARIA MIDDELARES;GAND;Flandre Orientale;Siemens;SIEMENS-Symbia Intevo Bold;
50181;103;3310;CHR SAMBRE ET MEUSE (SITE SAMBRE);SAMBREVILLE;Namur;Mediso;ANYSCAN SC TRIO;
50182;168;3720;VIVALIA - CENTRE HOSPITALIER CENTRE ARDENNE;BASTOGNE;Luxembourg;GE;GE-NM/CT 860;
50183;109;1370;RZ TIENEN;TIENEN;Brabant Flamand;Siemens;Symbia Intevo Bold;
50184;109;1380;RZ TIENEN;AARSCHOT;Brabant Flamand;Siemens;SIEMENS-Symbia T;
50185;42;2990;CENTRE HOSPITALIER BOIS DE L'ABBAYE;SERAING;Liège;SPECTRUM DYNAMICS MEDICAL;VERITON CT;
50186;96;3220;CHU TIVOLI;LA LOUVIERE;Hainaut;GE;Discovery 870 DR;
