Toestelnummer;Erkenningsnummer;Campusnummer;Naam exploitant;Gemeente;Provincie / Brussels Hoofdstedelijk Gewest ;Fabrikant;Model;Type gebruik;Ziekenhuizen in associatie
50019;110.0;1310.0;KLINIEK ST.- JAN;Brussel;Brussels Hoofdstedelijk Gewest;GE;GE-Infinia Hawkeye;;
50021;110.0;1310.0;KLINIEK ST.- JAN;Brussel;Brussels Hoofdstedelijk Gewest;GE;GE-Optima NM/CT 640;;
50022;23.0;2860.0;CLINIQUE ANDRE RENARD;Herstal;Luik;GE;GE-Discovery NM/CT 670 Pro;;
50023;371.0;3560.0;ZIEKENHUIS OOST-LIMBURG;Genk;Limburg;Siemens;SIEMENS-Symbia T;;
50024;146.0;3200.0;CENTRES HOSPITALIERS JOLIMONT;La Louviere;Henegouwen;GE;GE-Infinia Hawkeye;;
50025;146.0;3200.0;CENTRES HOSPITALIERS JOLIMONT;La Louviere;Henegouwen;GE;GE-Discovery NM/CT 670 Pro;;
50026;102.0;2080.0;HEILIG HARTZIEKENHUIS V.Z.W.;Mol;Antwerpen;Siemens;SIEMENS-Symbia Intevo ;;
50027;709.0;2690.0;ALGEMEEN ZIEKENHUIS ST. DIMPNA;Geel;Antwerpen;GE;GE-Infinia Hawkeye;;
50028;709.0;2690.0;ALGEMEEN ZIEKENHUIS ST. DIMPNA;Geel;Antwerpen;GE;GE-Discovery NM/CT 670 Pro;;
50029;63.0;1280.0;ALGEMEEN ZIEKENHUIS TURNHOUT;Turnhout;Antwerpen;Siemens;SIEMENS-Symbia T;;
50030;534.0;2830.0;CENTRE HOSPITALIER DE WALLONIE PICARDE;Doornik;Henegouwen;GE;GE-Infinia Hawkeye;;
50031;534.0;2810.0;CENTRE HOSPITALIER DE WALLONIE PICARDE;Doornik;Henegouwen;GE;GE-Infinia Hawkeye;;
50033;714.0;3600.0;SINT-FRANCISCUSZIEKENHUIS;Heusden-Zolder;Limburg;Philips;PHILIPS-BrightView-XCT;;
50034;550.0;1680.0;A.Z. GLORIEUX;Ronse;Oost-Vlaanderen;GE;GE-Discovery NM/CT 670 ;;
50035;63.0;1280.0;ALGEMEEN ZIEKENHUIS TURNHOUT;Turnhout;Antwerpen;GE;GE-Discovery NM/CT 670 Pro;;
50036;308.0;1250.0;ALGEMEEN ZIEKENHUIS HERENTALS;Herentals;Antwerpen;GE;GE-Discovery NM/CT 670 ;;
50037;395.0;1170.0;ST.-ANDRIESZIEKENHUIS;Tielt;West-Vlaanderen;GE;GE-Discovery NM/CT 670 ;;
50039;204.0;1460.0;ALGEMEEN ZIEKENHUIS JAN PORTAELS;Vilvoorde;Vlaams Brabant;GE;GE-Discovery NM/CT 670 ;;
50040;682.0;1210.0;A.Z. MONICA;Antwerpen;Antwerpen;GE;GE-Infinia Hawkeye;;
50041;249.0;3160.0;CENTRE DE SANTE DES FAGNES;Chimay;Henegouwen;Philips;PHILIPS-BrightView-XCT;;
50042;170.0;1660.0;ALGEMEEN ZIEKENHUIS OUDENAARDE Vzw;Oudenaarde;Oost-Vlaanderen;Siemens;SIEMENS-Symbia T;;
50043;103.0;3310.0;C.H.R. SAMBRE ET MEUSE;Sambreville;Namen;Siemens;SIEMENS-Symbia Intevo ;;
50044;103.0;3310.0;C.H.R. SAMBRE ET MEUSE;Sambreville;Namen;Philips;PRECEDENCE;;
50045;79.0;1510.0;INSTITUT JULES BORDET;Brussel;Brussels Hoofdstedelijk Gewest;Siemens;SIEMENS-Symbia T;;
50046;310.0;1980.0;AZ WEST;Veurne;West-Vlaanderen;GE;GE-Infinia Hawkeye;;
50047;718.0;3130.0;C.H.U. CHARLEROI;Charleroi;Henegouwen;GE;GE-Optima NM/CT 640;;
50048;719.0;3615.0;MARIA ZIEKENHUIS NOORD-LIMBURG;Overpelt;Limburg;Philips;PHILIPS-BrightView-XCT;;
50050;168.0;3240.0;VIVALIA - CENTRE HOSPITALIER DE L'ARDENNE;Libramont-Chevigny;Luxemburg;GE;GE-Infinia Hawkeye;;
50051;166.0;3290.0;CHU UCL NAMUR - CLINIQUE STE. ELISABETH;Namen;Namen;Siemens;SIEMENS-Symbia T;;
50052;99.0;1290.0;GZA- ZIEKENHUIZEN;Antwerpen;Antwerpen;Philips;PHILIPS-BrightView-XCT;;
50058;97.0;1260.0;HEILIG HART ZIEKENHUIS V.Z.W.;Lier;Antwerpen;GE;GE-Discovery NM/CT 670 Pro;;
50059;412.0;3410.0;CENTRE HOSPITALIER REGIONAL DE LA CITADELLE;Luik;Luik;GE;GE-Discovery NM/CT 670 ;;
50060;126.0;1780.0;ONZE LIEVE VROUW ZIEKENHUIS;Aalst;Oost-Vlaanderen;Siemens;SIEMENS-Symbia T;;
50061;108.0;1360.0;REGIONAAL ZIEKENHUIS HEILIG HART;Leuven;Vlaams Brabant;Siemens;SIEMENS-Symbia Intevo ;;
50062;176.0;1800.0;A.S.Z. - AUTONOME VERZORGINGSINSTELLING;Aalst;Oost-Vlaanderen;Siemens;SIEMENS-Symbia T;;
50063;409.0;3350.0;CLINIQUE NOTRE-DAME DE GRACE;Charleroi;Henegouwen;Siemens;SIEMENS-Symbia T;;
50064;109.0;1370.0;REGIONAAL ZIEKENHUIS HEILIG HART TIENEN;Tienen;Vlaams Brabant;Siemens;SIEMENS-Symbia T;;
50065;109.0;1380.0;REGIONAAL ZIEKENHUIS HEILIG HART TIENEN;Aarschot;Vlaams Brabant;GE;GE-Infinia Hawkeye;;
50066;164.0;3230.0;VIVALIA - IFAC;Marche-En-Famenne;Luxemburg;GE;DISCOVERY VH CT HAWKEYE;;
50067;164.0;3230.0;VIVALIA - IFAC;Marche-En-Famenne;Luxemburg;GE;GE-Discovery NM/CT 670 ;;
50068;164.0;3720.0;VIVALIA - IFAC;Bastenaken;Luxemburg;GE;GE-INFINIA HAWKEYE GP3;;
50069;87.0;1560.0;HOPITAUX IRIS SUD - IRIS ZIEKENHUIZEN ZUID;Elsene;Brussels Hoofdstedelijk Gewest;Philips;PHILIPS-BrightView-XCT;;
50070;87.0;1540.0;HOPITAUX IRIS SUD - IRIS ZIEKENHUIZEN ZUID;Anderlecht;Brussels Hoofdstedelijk Gewest;Philips;PHILIPS-BrightView-XCT;;
50071;87.0;1550.0;HOPITAUX IRIS SUD - IRIS ZIEKENHUIZEN ZUID;Vorst;Brussels Hoofdstedelijk Gewest;Philips;PHILIPS-BrightView-XCT;;
50072;217.0;1900.0;ALGEMEEN ZIEKENHUIS ST. ELISABETH;Zottegem;Oost-Vlaanderen;GE;GE-Discovery NM/CT 670 ;;
50073;217.0;1900.0;ALGEMEEN ZIEKENHUIS ST. ELISABETH;Zottegem;Oost-Vlaanderen;GE;DISCOVERY VH INTEGRATED SYSTEM ENTEGRA;;
50074;595.0;1860.0;ALGEMEEN ZIEKENHUIS NIKOLAAS;Sint-Niklaas;Oost-Vlaanderen;GE;GE-Discovery NM/CT 670 ;;
50075;595.0;1860.0;ALGEMEEN ZIEKENHUIS NIKOLAAS;Sint-Niklaas;Oost-Vlaanderen;GE;GE-Discovery NM/CT 670 ;;
50076;710.0;3450.0;ALGEMEEN ZIEKENHUIS KLINA V.Z.W.;Brasschaat;Antwerpen;GE;GE-Discovery NM/CT 670 Pro;;
50077;106.0;1340.0;ALGEMEEN ZIEKENHUIS SINT- MARIA;Halle;Vlaams Brabant;Siemens;SIEMENS-Symbia T;;
50078;111.0;1400.0;EUROPAZIEKENHUIZEN V.Z.W.;Ukkel;Brussels Hoofdstedelijk Gewest;Siemens;SIEMENS-Symbia T;;
50081;723.0;1760.0;C.H. INTERREGIONAL EDITH CAVELL - SARE;Eigenbrakel;Waals Brabant;Philips;PHILIPS-BrightView-XCT;;
50082;723.0;1470.0;C.H. INTERREGIONAL EDITH CAVELL - SARE;Anderlecht;Brussels Hoofdstedelijk Gewest;Siemens;SIEMENS-Symbia T;;
50083;723.0;1470.0;C.H. INTERREGIONAL EDITH CAVELL - SARE;Anderlecht;Brussels Hoofdstedelijk Gewest;GE;GE-Infinia Hawkeye;;
50084;723.0;1470.0;C.H. INTERREGIONAL EDITH CAVELL - SARE;Anderlecht;Brussels Hoofdstedelijk Gewest;GE;GE-DISCOVERY NM/CT 570C;;
50085;68.0;2870.0;CENTRE HOSPITALIER REGIONAL DE HUY;Hoei;Luik;GE;GE-Discovery NM/CT 670 ;;
50086;17.0;1605.0;ALGEMEEN ZIEKENHUIS MARIA MIDDELARES;Gent;Oost-Vlaanderen;Siemens;SIEMENS-Symbia T;;
50087;17.0;1605.0;ALGEMEEN ZIEKENHUIS MARIA MIDDELARES;Gent;Oost-Vlaanderen;Siemens;SIEMENS-Symbia Intevo ;;
50088;39.0;3280.0;CHU UCL NAMUR;Yvoir;Namen;GE;GE-Discovery NM/CT 670 ;;
50090;266.0;2710.0;CHR MONS - HAINAUT;Mons;Henegouwen;GE;GE-Infinia Hawkeye;;
50091;266.0;2720.0;CHR MONS - HAINAUT;Boussu;Henegouwen;GE;GE-Infinia Hawkeye;;
50092;10.0;3100.0;GRAND HOPITAL DE CHARLEROI;Charleroi;Henegouwen;GE;GE-Discovery NM/CT 670 ;;
50093;7.0;2790.0;CENTRE HOSPITALIER DE LA HAUTE SENNE;Soignies;Henegouwen;GE;GE-Discovery NM/CT 670 ;;
50094;525.0;1940.0;ALGEMEEN ZIEKENHUIS DAMIAAN;Oostende;West-Vlaanderen;Siemens;SIEMENS-Symbia T;;
50096;707.0;3860.0;CENTRE HOSPITALIER UNIVERSITAIRE SART-TILMAN;Luik;Luik;Siemens;SIEMENS-Symbia T;;
50097;707.0;2840.0;CENTRE HOSPITALIER UNIVERSITAIRE SART-TILMAN;Chênée;Luik;Siemens;SIEMENS-Symbia T;;
50098;534.0;2830.0;CENTRE HOSPITALIER DE WALLONIE PICARDE;Doornik;Henegouwen;GE;GE-Discovery NM/CT 670 Pro;;
50099;290.0;1630.0;ALGEMEEN ZIEKENHUIS ST. LUCAS;Gent;Oost-Vlaanderen;GE;GE-Discovery NM/CT 670 ;;
50100;290.0;1630.0;ALGEMEEN ZIEKENHUIS ST. LUCAS;Gent;Oost-Vlaanderen;GE;GE-Infinia Hawkeye;;
50101;290.0;1630.0;ALGEMEEN ZIEKENHUIS ST. LUCAS;Gent;Oost-Vlaanderen;Siemens;SIEMENS-Symbia Intevo ;;
50104;243.0;3590.0;JESSA ZIEKENHUIS;Hasselt;Limburg;Philips;PHILIPS-BrightView-XCT;;
50105;265.0;1650.0;ALGEMEEN ZIEKENHUIS LOKEREN;Lokeren;Oost-Vlaanderen;GE;GE-Discovery NM/CT 670 ;;
50106;396.0;1090.0;ALGEMEEN ZIEKENHUIS GROENINGE;Kortrijk;West-Vlaanderen;GE;GE-Discovery NM/CT 670 ;;
50108;111.0;1420.0;EUROPAZIEKENHUIZEN V.Z.W.;Etterbeek;Brussels Hoofdstedelijk Gewest;GE;GE-Infinia Hawkeye;;
50110;716.0;3670.0;ALGEMEEN ZIEKENHUIS VESALIUS;Tongeren;Limburg;Siemens;SIEMENS-Symbia T;;
50111;9.0;2000.0;ZIEKENHUISNETWERK ANTWERPEN VZW;Antwerpen;Antwerpen;Philips;PHILIPS-BrightView-XCT;;
50112;96.0;3220.0;CENTRE HOSPITALIER UNIVERSITAIRE TIVOLI;La Louviere;Henegouwen;Siemens;SIEMENS-Symbia T;;
50113;406.0;4210.0;CLINIQUES UNIVERSITAIRES DE BRUXELLES HOPITAL ERASME;Anderlecht;Brussels Hoofdstedelijk Gewest;Philips;BRIGHTVIEW XCT;;
50116;322.0;4230.0;UNIVERSITAIRE ZIEKENHUIZEN K.U.L.;Leuven;Vlaams Brabant;Siemens;SIEMENS-Symbia T;;
50117;322.0;4230.0;UNIVERSITAIRE ZIEKENHUIZEN K.U.L.;Leuven;Vlaams Brabant;GE;GE-Discovery NM/CT 670 ;;
50119;77.0;1570.0;CHU BRUGMANN;Brussel;Brussels Hoofdstedelijk Gewest;Siemens;SIEMENS-Symbia T;;HUDERF
50121;140.0;1000.0;ALGEMEEN ZIEKENHUIS ST. LUCAS;Brugge;West-Vlaanderen;Siemens;SIEMENS-Symbia Intevo ;;
50122;410.0;3380.0;CENTRE HOSPITALIER EPICURA;Boussu;Henegouwen;GE;GE-Infinia Hawkeye;;
50123;;;MEDINUCLEAR;Sint-Jans-Molenbeek;Brussels Hoofdstedelijk Gewest;GE;GE-Optima NM/CT 640;;
50124;110.0;1310.0;KLINIEK ST.- JAN;Brussel;Brussels Hoofdstedelijk Gewest;GE;GE-DISCOVERY NM/CT 670 CZT;;
50125;6.0;3300.0;CENTRE HOSPITALIER REGIONAL DE NAMUR;Namen;Namen;Philips;PHILIPS-BrightView-XCT;;
50126;9.0;3360.0;ZIEKENHUISNETWERK ANTWERPEN VZW;Merksem;Antwerpen;GE;GE-Discovery NM/CT 670;;
50127;712.0;1320.0;ALGEMEEN ZIEKENHUIS DIEST;Diest;Vlaams Brabant;Siemens;SIEMENS-Symbia Intevo ;;
50128;670.0;3850.0;UNIVERSITAIR ZIEKENHUIS;Gent;Oost-Vlaanderen;GE;GE-Discovery NM/CT 670 Pro;;
50129;346.0;1710.0;CENTRES HOSPITALIERS JOLIMONT;Nivelles;Waals Brabant;GE;Infinia Hawkeye;;
50130;396.0;1090.0;ALGEMEEN ZIEKENHUIS GROENINGE;Kortrijk;West-Vlaanderen;GE;Tandem Discovery 670 Pro;;
50131;247.0;2770.0;CENTRE HOSPITALIER DE MOUSCRON;Moeskroen;Henegouwen;Siemens;SIEMENS-Symbia Intevo ;;
50132;325.0;2750.0;CENTRE HOSPITALIER UNIVERSITAIRE A. VESALE;Montigny-Le-Tilleul;Henegouwen;GE;Optima;;
50133;32.0;1845.0;ALGEMEEN ZIEKENHUIS ALMA;Eeklo;Oost-Vlaanderen;Philips;PHILIPS-BrightView-XCT;;
50134;32.0;1845.0;ALGEMEEN ZIEKENHUIS ALMA;Eeklo;Oost-Vlaanderen;GE;DISCOVERY 670 NM/CT PRO;;
50135;715.0;3650.0;ST. TRUDO ZIEKENHUIS;Sint-Truiden;Limburg;Siemens;SIEMENS-Symbia Intevo 6;;
50136;20.0;3010.0;CENTRE HOSPITALIER REGIONAL DE VERVIERS;Verviers;Luik;GE;GE-Discovery NM/CT 670 Pro;;
50137;719.0;3615.0;MARIA ZIEKENHUIS NOORD-LIMBURG;Overpelt;Limburg;GEHC;Discovery 670 NM/CT ES;;
50138;332.0;6140.0;CHIREC - DELTA;Oudergem;Brussels Hoofdstedelijk Gewest;Philips;PHILIPS-BrightView-XCT;;
50139;332.0;6140.0;CHIREC - DELTA;Oudergem;Brussels Hoofdstedelijk Gewest;GE;GE-Discovery NM/CT 670 ;;
50140;392.0;6160.0;ALGEMEEN ZIEKENHUIS ZENO;Knokke-Heist;West-Vlaanderen;GE;GE-Optima NM/CT 640;;
50141;99.0;2020.0;GZA- ZIEKENHUIZEN;Antwerpen;Antwerpen;GE;GE-Discovery NM/CT 670 ;;
50142;76.0;1500.0;CENTRE HOSPITALIER UNIVERSITAIRE ST. PIERRE;Brussel;Brussels Hoofdstedelijk Gewest;GE;NMCT DISCOVERY 870DR;;
50143;243.0;3590.0;JESSA ZIEKENHUIS;Hasselt;Limburg;Philips;PHILIPS-BrightView-XCT;;
50144;322.0;4230.0;UNIVERSITAIRE ZIEKENHUIZEN K.U.L.;Leuven;Vlaams Brabant;Siemens;Symbia Intevo 16;;
50145;15.0;2850.0;HOSPITAL ST.-NIKOLAUS;Eupen;Luik;GE;GE-Infinia Hawkeye;;
50146;26.0;6170.0;ALGEMEEN ZIEKENHUIS ST. MAARTEN;Mechelen;Antwerpen;GE;GE-Discovery NM/CT 670 ;;
50147;168.0;3240.0;VIVALIA - CENTRE HOSPITALIER DE L'ARDENNE;Libramont-Chevigny;Luxemburg;GE;DISCOVERY D870 CZT;;
50148;79.0;1510.0;INSTITUT JULES BORDET;Brussel;Brussels Hoofdstedelijk Gewest;GE;INFINIA HK4;;
50149;12.0;3460.0;ALGEMEEN ZIEKENHUIS ST. BLASIUS;Dendermonde;Oost-Vlaanderen;GE;DISCOVERY / CT 870 CZT;;
50150;143.0;4200.0;UNIVERSITAIR ZIEKENHUIS BRUSSEL;Jette;Brussels Hoofdstedelijk Gewest;Siemens;Symbia Intevo Bold;;
50151;724.0;1910.0;CENTRE HOSPITALIER EPICURA;Aat;Henegouwen;GE;Discovery NM/CT 850;;
50152;104.0;2060.0;AZ RIVIERENLAND;Bornem;Antwerpen;GE;Discovery 670DR;;
50153;126.0;1780.0;ONZE LIEVE VROUW ZIEKENHUIS;Aalst;Oost-Vlaanderen;Siemens;Symbia Intevo Bold;;
50154;534.0;2830.0;CENTRE HOSPITALIER DE WALLONIE PICARDE;Doornik;Henegouwen;GE;DISCOVERY 870 CZT;;
50155;332.0;6180.0;CHIREC - DELTA;Ukkel;Brussels Hoofdstedelijk Gewest;Siemens;SIEMENS-Symbia T;;
50156;143.0;4200.0;UNIVERSITAIR ZIEKENHUIS BRUSSEL;Jette;Brussels Hoofdstedelijk Gewest;Siemens;Symbia Intevo Bold;;
50157;264.0;3260.0;CHU UCL NAMUR - SITE DE DINANT;Dinant;Namen;Mediso;MEDISO-AnyScan SC;;
50158;176.0;1820.0;A.S.Z. - AUTONOME VERZORGINGSINSTELLING;Geraardsbergen;Oost-Vlaanderen;Siemens;Symbia Intevo Bold;;
50160;713.0;1610.0;ALGEMEEN ZIEKENHUIS JAN PALFIJN;Gent;Oost-Vlaanderen;GE;Discovery 870DR;;
50161;7.0;2790.0;CENTRE HOSPITALIER DE LA HAUTE SENNE;Soignies;Henegouwen;GE;GE-NM/CT 860 ;;
50162;158.0;2970.0;GROUPE SANTE CHC;Verviers;Luik;GE;GE NM/CT 870DR;;
50163;20.0;3010.0;CHR VERVIERS - EAST BELGIUM;Verviers;Luik;GE;NM/CT Discovery 870;;
50164;77.0;1570.0;CHU BRUGMANN;Brussel;Brussels Hoofdstedelijk Gewest;Siemens;SIEMENS-Symbia Intevo bold;;HUDERF
50165;117.0;6210.0;ALGEMEEN ZIEKENHUIS DELTA;Roeselare;West-Vlaanderen;Siemens;SIEMENS-Symbia Intevo ;;
50166;117.0;6210.0;ALGEMEEN ZIEKENHUIS DELTA;Roeselare;West-Vlaanderen;Siemens;SIEMENS-Symbia T;;
50167;117.0;6210.0;ALGEMEEN ZIEKENHUIS DELTA;Roeselare;West-Vlaanderen;Siemens;Symbia Intevo Bold;;
50168;152.0;6200.0;GROUPE SANTE CHC;Luik;Luik;Philips;PHILIPS-BrightView-XCT;;
50169;152.0;6200.0;GROUPE SANTE CHC;Luik;Luik;GE;NM/CT 870 DR;;
50170;152.0;6200.0;GROUPE SANTE CHC;Luik;Luik;GE;NM/CT 870 DR;;
50171;536.0;2090.0;ALGEMEEN ZIEKENHUIS ST.-JOZEF;Malle;Antwerpen;GE;Discovery NMCT 870 DR;;
50172;706.0;3340.0;CLINIQUE ST.-LUC;Namen;Namen;GE;GE-NMCT870DR;;
50173;140.0;1000.0;ALGEMEEN ZIEKENHUIS ST. LUCAS;Brugge;West-Vlaanderen;Siemens;SIEMENS-Symbia Intevo Bold;;
