"Numéro
d'appareil";Numéro d'agrément;Numéro de campus;Nom de l'exploitant;Commune;Province;Fabricant;Modèle;Type d'utilisation;Hôpitaux en association
60105;290.0;1630.0;ALGEMEEN ZIEKENHUIS ST. LUCAS;Gand;Flandre orientale;Philips;PHILIPS-Achieva 3.0T TX;Uitsluitend klinisch gebruik;Il n'existe pas d'association pour cet appareil
60106;290.0;1630.0;ALGEMEEN ZIEKENHUIS ST. LUCAS;Gand;Flandre orientale;Philips;PHILIPS-Ingenia 3.0T;Uitsluitend klinisch gebruik;Il n'existe pas d'association pour cet appareil
60107;10.0;3100.0;GRAND HOPITAL DE CHARLEROI;Charleroi;Hainaut;Siemens;"SIEMENS- MAGNETOM SYMPHONY
1,5T";Utilisation clinique uniquement;CLINIQUE NOTRE-DAME DE GRACE
60108;10.0;3100.0;GRAND HOPITAL DE CHARLEROI;Charleroi;Hainaut;Siemens;SIEMENS-MAGNETOM Verio 3T;Utilisation clinique uniquement;CLINIQUE NOTRE-DAME DE GRACE
60109;10.0;3170.0;GRAND HOPITAL DE CHARLEROI;Gilly;Hainaut;Philips;PHILIPS-Ingenia 1.5T;Utilisation clinique uniquement;Il n'existe pas d'association pour cet appareil
60111;146.0;3200.0;CENTRES HOSPITALIERS JOLIMONT;La Louvière;Hainaut;Siemens;MAGNETOM  SYMPHONY TIM  1,5;Utilisation clinique uniquement;Il n'existe pas d'association pour cet appareil
60114;9.0;1180.0;"ZIEKENHUISNETWERK ANTWERPEN
VZW";Anvers;Anvers;GE;GE-Signa Explorer 1.5T;Uitsluitend klinisch gebruik;Il n'existe pas d'association pour cet appareil
60115;96.0;3220.0;"CENTRE HOSPITALIER
UNIVERSITAIRE TIVOLI";La Louvière;Hainaut;Siemens;SIEMENS-MAGNETOM Avanto 1,5T;Utilisation clinique uniquement;Il n'existe pas d'association pour cet appareil
60117;9.0;2000.0;"ZIEKENHUISNETWERK ANTWERPEN
VZW";Anvers;Anvers;GE;GE-Signa Explorer 1.5T;Uitsluitend klinisch gebruik;Il n'existe pas d'association pour cet appareil
60119;406.0;4210.0;"CLINIQUES UNIVERSITAIRES DE
BRUXELLES HOPITAL ERASME";Anderlecht;Bruxelles-Capitale;Philips;PHILIPS-Achieva 3.0T TX;Utilisation clinique uniquement;Il n'existe pas d'association pour cet appareil
60121;406.0;4210.0;"CLINIQUES UNIVERSITAIRES DE
BRUXELLES HOPITAL ERASME";Anderlecht;Bruxelles-Capitale;Philips;PHILIPS-Ingenia 3.0T;Utilisation clinique uniquement;Il n'existe pas d'association pour cet appareil
60123;246.0;3690.0;"VIVALIA - CLINIQUE DU
SUD-LUXEMBOURG";Arlon;Luxembourg;Siemens;SIEMENS-MAGNETOM Avanto 1,5T;Utilisation clinique uniquement;Il n'existe pas d'association pour cet appareil
60125;322.0;4230.0;UNIVERSITAIRE ZIEKENHUIZEN K.U.L.;Louvain;Brabant flamand;Philips;PHILIPS-Ingenia 3.0T;Uitsluitend klinisch gebruik;Il n'existe pas d'association pour cet appareil
60126;322.0;4230.0;UNIVERSITAIRE ZIEKENHUIZEN K.U.L.;Louvain;Brabant flamand;Siemens;SIEMENS MAGNETOM AERA 1,5T;Uitsluitend klinisch gebruik;Il n'existe pas d'association pour cet appareil
60127;322.0;4230.0;UNIVERSITAIRE ZIEKENHUIZEN K.U.L.;Louvain;Brabant flamand;Philips;PHILIPS-Achieva 3.0T TX;Uitsluitend klinisch gebruik;Il n'existe pas d'association pour cet appareil
60129;322.0;4230.0;UNIVERSITAIRE ZIEKENHUIZEN K.U.L.;Louvain;Brabant flamand;Philips;PHILIPS-Ingenia 1.5T;Uitsluitend klinisch gebruik;Il n'existe pas d'association pour cet appareil
60130;143.0;4200.0;UNIVERSITAIR ZIEKENHUIS BRUSSEL;Jette;Bruxelles-Capitale;Siemens;SIEMENS-MAGNETOM Skyra 3T;Uitsluitend klinisch gebruik;Il n'existe pas d'association pour cet appareil
60131;143.0;4200.0;UNIVERSITAIR ZIEKENHUIS BRUSSEL;Jette;Bruxelles-Capitale;Philips;PHILIPS-Intera 1.5T Master;Uitsluitend klinisch gebruik;Il n'existe pas d'association pour cet appareil
60132;143.0;4200.0;UNIVERSITAIR ZIEKENHUIS BRUSSEL;Jette;Bruxelles-Capitale;Philips;PHILIPS-Ingenia 3.0T;Uitsluitend klinisch gebruik;Il n'existe pas d'association pour cet appareil
60134;77.0;1570.0;CHU BRUGMANN;Laeken;Bruxelles-Capitale;Philips;PHILIPS-Ingenia 3.0T;Utilisation clinique uniquement;Il n'existe pas d'association pour cet appareil
60136;714.0;3600.0;SINT-FRANCISCUSZIEKENHUIS;Heusden-Zolder;Limbourg;Siemens;SIEMENS AERA 1,5 T;Uitsluitend klinisch gebruik;Il n'existe pas d'association pour cet appareil
60138;140.0;1000.0;ALGEMEEN ZIEKENHUIS ST. LUCAS;Bruges;Flandre occidentale;GE;GE-Optima 450W;Uitsluitend klinisch gebruik;Il n'existe pas d'association pour cet appareil
60139;410.0;3380.0;CENTRE HOSPITALIER EPICURA;Hornu;Hainaut;Siemens;SIEMENS AERA 1.5 T;Utilisation clinique uniquement;Il n'existe pas d'association pour cet appareil
60140;724.0;1910.0;CENTRE HOSPITALIER EPICURA;Ath;Hainaut;Siemens;SIEMENS AERA 1.5 T;Utilisation clinique uniquement;Il n'existe pas d'association pour cet appareil
60142;106.0;1340.0;ALGEMEEN ZIEKENHUIS SINT- MARIA;Hal;Brabant flamand;Siemens;SIEMENS AERA 1,5 T;Uitsluitend klinisch gebruik;Il n'existe pas d'association pour cet appareil
60143;550.0;1680.0;A.Z. GLORIEUX;Renaix;Flandre orientale;GE;GE-Signa Pioneer 3.0T;Uitsluitend klinisch gebruik;Il n'existe pas d'association pour cet appareil
60144;150.0;3440.0;"HOPITAL UNIVERSITAIRE DES
ENFANTS REINE FABIOLA";Laeken;Bruxelles-Capitale;Siemens;MAGNETON AREA 1.5T;Utilisation clinique uniquement;CHU BRUGMANN
60145;395.0;1170.0;ST.-ANDRIESZIEKENHUIS;Tielt;Flandre occidentale;Philips;PHILIPS-Ingenia 3.0T;Uitsluitend klinisch gebruik;AZ DELTA ROESELARE, SINT-JOZEFSKLINIEK IZEGEM
60146;42.0;2990.0;"CENTRE HOSPITALIER DU BOIS DE
L'ABBAYE";Seraing;Liège;Siemens;"MAGNETOM SYMPHONY A TIM
SYSTEM";Utilisation clinique uniquement;Il n'existe pas d'association pour cet appareil
60147;670.0;3850.0;UNIVERSITAIR ZIEKENHUIS;Gand;Flandre orientale;Siemens;AERA;Uitsluitend klinisch gebruik;Il n'existe pas d'association pour cet appareil
60150;706.0;3340.0;CLINIQUE ST.-LUC;Bouge;Namur;GE;GE-Optima 450W;Utilisation clinique uniquement;Il n'existe pas d'association pour cet appareil
60151;;;HETU VZW;Herentals;Anvers;Siemens;SIEMENS AVANTO FIT;Uitsluitend klinisch gebruik;AZ ST. ELISABETH HERENTALS VZW, AZ TURNHOUT VZW
60152;;;HETU VZW;Turnhout;Anvers;Siemens;AERA;Uitsluitend klinisch gebruik;AZ HERENTALS, AZ TURNHOUT
60153;76.0;1520.0;"CENTRE HOSPITALIER
UNIVERSITAIRE ST. PIERRE";Bruxelles;Bruxelles-Capitale;GE;GE-DISCOVERY MR 450W GEM 1,5T 32;Utilisation clinique uniquement;Il n'existe pas d'association pour cet appareil
60154;371.0;3560.0;ZIEKENHUIS OOST-LIMBURG;Genk;Limbourg;Philips;PHILIPS-Ingenia 3.0T;Uitsluitend klinisch gebruik;Il n'existe pas d'association pour cet appareil
60155;32.0;1845.0;ALGEMEEN ZIEKENHUIS ALMA;Eeklo;Flandre orientale;Siemens;AERA;Uitsluitend klinisch gebruik;Il n'existe pas d'association pour cet appareil
60157;713.0;1610.0;ALGEMEEN ZIEKENHUIS JAN PALFIJN;Gand;Flandre orientale;"Siemens
Healthcare
GmbH";SIEMENS-MAGNETOM Avanto Fit;Uitsluitend klinisch gebruik;Il n'existe pas d'association pour cet appareil
60158;406.0;4210.0;"CLINIQUES UNIVERSITAIRES DE
BRUXELLES HOPITAL ERASME";Anderlecht;Bruxelles-Capitale;Siemens;SIEMENS MAGNETOM AERA 1.5T;Utilisation clinique uniquement;Il n'existe pas d'association pour cet appareil
60159;17.0;1605.0;"ALGEMEEN ZIEKENHUIS MARIA
MIDDELARES";Gand;Flandre orientale;Philips;PHILIPS-Ingenia 3.0T;Uitsluitend klinisch gebruik;Il n'existe pas d'association pour cet appareil
60160;99.0;1290.0;GZA- ZIEKENHUIZEN;Wilrijk;Anvers;Siemens;SIEMENS-MAGNETOM Skyra 3T;Uitsluitend klinisch gebruik;Il n'existe pas d'association pour cet appareil
60162;168.0;3240.0;"VIVALIA - CENTRE HOSPITALIER DE
L'ARDENNE";Libramont-Chevigny;Luxembourg;"Siemens
Healthcare
GmbH";MAGNETOM AERA;Utilisation clinique uniquement;Il n'existe pas d'association pour cet appareil
60163;534.0;2810.0;"CENTRE HOSPITALIER DE WALLONIE
PICARDE";Tournai;Hainaut;"Siemens
Healthcare
GmbH";SIEMENS-MAGNETOM Avanto 1,5T;Utilisation clinique uniquement;Il n'existe pas d'association pour cet appareil
60164;723.0;1760.0;"C.H. INTERREGIONAL EDITH CAVELL -
SARE";Braine-l'Alleud;Brabant wallon;Siemens;MAGNETOM AERA;Utilisation clinique uniquement;Il n'existe pas d'association pour cet appareil
60165;12.0;3460.0;ALGEMEEN ZIEKENHUIS ST. BLASIUS;Termonde;Flandre orientale;Philips;PHILIPS-Ingenia 3T;Uitsluitend klinisch gebruik;Il n'existe pas d'association pour cet appareil
60166;146.0;3200.0;CENTRES HOSPITALIERS JOLIMONT;La Louvière;Hainaut;Siemens;Skyra Fit;Utilisation clinique uniquement;Il n'existe pas d'association pour cet appareil
60167;9.0;2000.0;"ZIEKENHUISNETWERK ANTWERPEN
VZW";Anvers;Anvers;GE;SIGNA ARTIST;Uitsluitend klinisch gebruik;Il n'existe pas d'association pour cet appareil
60168;20.0;3010.0;"CENTRE HOSPITALIER REGIONAL DE
VERVIERS";Verviers;Liège;Siemens;SIEMENS MAGNETOM AERA;Utilisation clinique uniquement;Il n'existe pas d'association pour cet appareil
60169;670.0;3850.0;UNIVERSITAIR ZIEKENHUIS;Gand;Flandre orientale;Siemens;Prisma Fit;Uitsluitend klinisch gebruik;Il n'existe pas d'association pour cet appareil
60170;332.0;6140.0;CHIREC - DELTA;Auderghem;Bruxelles-Capitale;Siemens;AERA;Utilisation clinique uniquement;Il n'existe pas d'association pour cet appareil
