Toestelnummer;Erkenningsnummer;Campusnummer;Naam exploitant;Gemeente;Provincie / Brussels Hoofdstedelijk Gewest ;Fabrikant;Model;Ziekenhuizen in associatie
50063;409;3350;CLINIQUE NOTRE-DAME DE GRACE;CHARLEROI;Henegouwen;Siemens;SIEMENS-Symbia T;
50066;164;3230;VIVALIA - HOPITAL DE MARCHE;MARCHE-EN-FAMENNE;Luxemburg;GE;DISCOVERY VH CT HAWKEYE;
50067;164;3230;VIVALIA - HOPITAL DE MARCHE;MARCHE-EN-FAMENNE;Luxemburg;GE;GE-Discovery NM/CT 670 ;
50069;87;1560;HOPITAUX IRIS SUD;ELSENE;Brussels Hoofdst. Gew.;Philips;PHILIPS-BrightView-XCT;
50070;87;1540;HOPITAUX IRIS SUD;ANDERLECHT;Brussels Hoofdst. Gew.;Philips;PHILIPS-BrightView-XCT;
50071;87;1550;HOPITAUX IRIS SUD;VORST;Brussels Hoofdst. Gew.;Philips;PHILIPS-BrightView-XCT;
50072;217;1900;ALGEMEEN ZIEKENHUIS ST. ELISABETH;ZOTTEGEM;Oost-Vlaanderen;GE;GE-Discovery NM/CT 670 ;
50073;217;1900;ALGEMEEN ZIEKENHUIS ST. ELISABETH;ZOTTEGEM;Oost-Vlaanderen;GE;DISCOVERY VH INTEGRATED SYSTEM ENTEGRA;
50074;595;1860;ALGEMEEN ZIEKENHUIS VITAZ;SINT-NIKLAAS;Oost-Vlaanderen;GE;GE-Discovery NM/CT 670 ;
50075;595;1860;ALGEMEEN ZIEKENHUIS VITAZ;SINT-NIKLAAS;Oost-Vlaanderen;GE;GE-Discovery NM/CT 670 ;
50076;710;3450;AZ KLINA;BRASSCHAAT;Antwerpen;GE;GE-Discovery NM/CT 670 Pro;
50077;106;1340;ALGEMEEN ZIEKENHUIS SINT- MARIA;HALLE;Vlaams Brabant;Siemens;SIEMENS-Symbia T;
50078;111;1400;EUROPAZIEKENHUIZEN V.Z.W.;UKKEL;Brussels Hoofdst. Gew.;Siemens;SIEMENS-Symbia T;
50081;723;1760;C.H. INTERREGIONAL EDITH CAVELL - SARE;BRAINE-L'ALLEUD;Waals Brabant;Philips;PHILIPS-BrightView-XCT;
50082;723;1470;C.H. INTERREGIONAL EDITH CAVELL - SARE;ANDERLECHT;Brussels Hoofdst. Gew.;Siemens;SIEMENS-Symbia T;
50083;723;1470;C.H. INTERREGIONAL EDITH CAVELL - SARE;ANDERLECHT;Brussels Hoofdst. Gew.;GE;GE-Infinia Hawkeye;
50084;723;1470;C.H. INTERREGIONAL EDITH CAVELL - SARE;ANDERLECHT;Brussels Hoofdst. Gew.;GE;GE-DISCOVERY NM/CT 570C;
50085;68;2870;CENTRE HOSPITALIER REGIONAL DE HUY;HOEI;Luik;GE;GE-Discovery NM/CT 670 ;
50086;17;1605;AZ MARIA MIDDELARES;GENT;Oost-Vlaanderen;Siemens;SIEMENS-Symbia T;
50087;17;1605;AZ MARIA MIDDELARES;GENT;Oost-Vlaanderen;Siemens;SIEMENS-Symbia Intevo ;
50088;39;3280;CHU-UCL NAMUR - SITE GODINNE;YVOIR;Namen;GE;GE-Discovery NM/CT 670 ;
50090;266;2710;POLE HOSPITALIER JOLIMONT - SITE MONS - WARQUIGNIES;MONS;Henegouwen;GE;GE-Infinia Hawkeye;
50091;266;2720;POLE HOSPITALIER JOLIMONT - SITE MONS - WARQUIGNIES;BOUSSU;Henegouwen;GE;GE-Infinia Hawkeye;
50092;10;3100;GRAND HOPITAL DE CHARLEROI;CHARLEROI;Henegouwen;GE;GE-Discovery NM/CT 670 ;
50093;7;2790;CHR HAUTE SENNE;SOIGNIES;Henegouwen;GE;GE-Discovery NM/CT 670 ;
50094;525;1940;AZ DAMIAAN;OOSTENDE;West-Vlaanderen;Siemens;SIEMENS-Symbia T;
50096;707;3860;CENTRE HOSPITALIER UNIVERSITAIRE SART-TILMAN;LUIK;Luik;Siemens;SIEMENS-Symbia T;
50097;707;2840;CENTRE HOSPITALIER UNIVERSITAIRE SART-TILMAN;LUIK;Luik;Siemens;SIEMENS-Symbia T;
50098;534;2830;CENTRE HOSPITALIER DE WALLONIE PICARDE;DOORNIK;Henegouwen;GE;GE-Discovery NM/CT 670 Pro;
50099;290;1630;AZ SINT-LUCAS;GENT;Oost-Vlaanderen;GE;GE-Discovery NM/CT 670 ;
50100;290;1630;AZ SINT-LUCAS;GENT;Oost-Vlaanderen;GE;GE-Infinia Hawkeye;
50101;290;1630;AZ SINT-LUCAS;GENT;Oost-Vlaanderen;Siemens;SIEMENS-Symbia Intevo ;
50104;243;3590;JESSA ZIEKENHUIS;HASSELT;Limburg;Philips;PHILIPS-BrightView-XCT;
50106;396;1090;AZ GROENINGE;KORTRIJK;West-Vlaanderen;GE;GE-Discovery NM/CT 670 ;
50110;716;3670;AZ VESALIUS;TONGEREN;Limburg;Siemens;SIEMENS-Symbia T;
50111;9;2000;ZIEKENHUISNETWERK ANTWERPEN (ZNA);ANTWERPEN;Antwerpen;Philips;PHILIPS-BrightView-XCT;
50112;96;3220;CHU TIVOLI;LA LOUVIERE;Henegouwen;Siemens;SIEMENS-Symbia T;
50113;406;4210;CLINIQUES UNIVERSITAIRES DE BRUXELLES HOPITAL ERASME;ANDERLECHT;Brussels Hoofdst. Gew.;Philips;BRIGHTVIEW XCT;
50115;246;3690;VIVALIA - HOPITAL ARLON ET VIRTON;AARLEN;Luxemburg;Siemens;Symbia T;
50116;322;4230;UZ LEUVEN;LEUVEN;Vlaams Brabant;Siemens;SIEMENS-Symbia T;
50117;322;4230;UZ LEUVEN;LEUVEN;Vlaams Brabant;GE;GE-Discovery NM/CT 670 ;
50118;77;1570;CHU BRUGMANN;BRUSSEL;Brussels Hoofdst. Gew.;Siemens;SIEMENS-Symbia T;HUDERF
50121;140;1000;AZ SINT-LUCAS;BRUGGE;West-Vlaanderen;Siemens;SIEMENS-Symbia Intevo ;
50122;410;3380;CENTRE HOSPITALIER EPICURA - SITE HORNU - BAUDOUR;BOUSSU;Henegouwen;GE;GE-Infinia Hawkeye;
50124;110;1310;KLINIEK ST.- JAN;BRUSSEL;Brussels Hoofdst. Gew.;GE;GE-DISCOVERY NM/CT 670 CZT;
50125;6;3300;CHR SAMBRE ET MEUSE (SITE MEUSE);NAMEN;Namen;Philips;PHILIPS-BrightView-XCT;
50126;9;3360;ZIEKENHUISNETWERK ANTWERPEN (ZNA);ANTWERPEN;Antwerpen;GE;GE-Discovery NM/CT 670;
50127;712;1320;AZ DIEST;DIEST;Vlaams Brabant;Siemens;SIEMENS-Symbia Intevo ;
50128;670;3850;UNIVERSITAIR ZIEKENHUIS;GENT;Oost-Vlaanderen;GE;GE-Discovery NM/CT 670 Pro;
50129;346;1710;POLE HOSPITALIER JOLIMONT - SITE NIVELLES - TUBIZE;NIJVEL;Waals Brabant;GE;Infinia Hawkeye;
50130;396;1090;AZ GROENINGE;KORTRIJK;West-Vlaanderen;GE;Tandem Discovery 670 Pro;
50131;247;2770;CENTRE HOSPITALIER DE MOUSCRON;MOUSCRON;Henegouwen;Siemens;SIEMENS-Symbia Intevo ;
50132;325;2750;CHU CHARLEROI - SITE ANDRE VESALE;MONTIGNY-LE-TILLEUL;Henegouwen;GE;Optima;
50133;32;1845;A.Z. ALMA;EEKLO;Oost-Vlaanderen;Philips;PHILIPS-BrightView-XCT;
50134;32;1845;A.Z. ALMA;EEKLO;Oost-Vlaanderen;GE;DISCOVERY 670 NM/CT PRO;
50135;715;3650;ST. TRUDO ZIEKENHUIS;SINT-TRUIDEN;Limburg;Siemens;SIEMENS-Symbia Intevo 6;
50136;20;3010;CHR VERVIERS - EAST BELGIUM;VERVIERS;Luik;GE;GE-Discovery NM/CT 670 Pro;
50137;719;3615;NOORDERHART - MARIAZIEKENHUIS;OVERPELT;Limburg;GEHC;Discovery 670 NM/CT ES;
50138;332;6140;CHIREC - DELTA;OUDERGEM;Brussels Hoofdst. Gew.;Philips;PHILIPS-BrightView-XCT;
50139;332;6140;CHIREC - DELTA;OUDERGEM;Brussels Hoofdst. Gew.;GE;GE-Discovery NM/CT 670 ;
50140;392;6160;AZ ZENO;KNOKKE-HEIST;West-Vlaanderen;GE;GE-Optima NM/CT 640;
50141;99;2020;GZA- ZIEKENHUIZEN;ANTWERPEN;Antwerpen;GE;GE-Discovery NM/CT 670 ;
50142;76;1500;CHU SAINT-PIERRE;BRUSSEL;Brussels Hoofdst. Gew.;GE;NMCT DISCOVERY 870DR;
50143;243;3590;JESSA ZIEKENHUIS;HASSELT;Limburg;Philips;PHILIPS-BrightView-XCT;
50144;322;4230;UZ LEUVEN;LEUVEN;Vlaams Brabant;Siemens;Symbia Intevo 16;
50145;15;2850;ST. NIKOLAUS HOSPITAL;EUPEN;Luik;GE;GE-Infinia Hawkeye;
50146;26;6170;AZ SINT-MAARTEN;MECHELEN;Antwerpen;GE;GE-Discovery NM/CT 670 ;
50147;168;3240;VIVALIA - CENTRE HOSPITALIER CENTRE ARDENNE;LIBRAMONT-CHEVIGNY;Luxemburg;GE;DISCOVERY D870 CZT;
50148;79;1510;INSTITUT JULES BORDET;BRUSSEL;Brussels Hoofdst. Gew.;GE;INFINIA HK4;
50149;12;3460;AZ SINT-BLASIUS;DENDERMONDE;Oost-Vlaanderen;GE;DISCOVERY / CT 870 CZT;
50150;143;4200;UNIVERSITAIR ZIEKENHUIS BRUSSEL;JETTE;Brussels Hoofdst. Gew.;Siemens;Symbia Intevo Bold;
50151;724;1910;CENTRE HOSPITALIER EPICURA - SITE ATH;ATH;Henegouwen;GE;Discovery NM/CT 850;
50152;104;2060;AZ RIVIERENLAND;BORNEM;Antwerpen;GE;Discovery 670DR;
50153;126;1780;ONZE-LIEVE-VROUW ZIEKENHUIS;AALST;Oost-Vlaanderen;Siemens;Symbia Intevo Bold;
50154;534;2830;CENTRE HOSPITALIER DE WALLONIE PICARDE;DOORNIK;Henegouwen;GE;DISCOVERY 870 CZT;
50155;332;6180;CHIREC - DELTA;UKKEL;Brussels Hoofdst. Gew.;Siemens;SIEMENS-Symbia T;
50156;143;4200;UNIVERSITAIR ZIEKENHUIS BRUSSEL;JETTE;Brussels Hoofdst. Gew.;Siemens;Symbia Intevo Bold;
50157;264;3260;CHU UCL NAMUR - HOPITAL DINANT;DINANT;Namen;Mediso;MEDISO-AnyScan SC;
50158;176;1820;A.S.Z. - AUTONOME VERZORGINGSINSTELLING;GERAARDSBERGEN;Oost-Vlaanderen;Siemens;Symbia Intevo Bold;
50160;713;1610;AZ JAN PALFIJN;GENT;Oost-Vlaanderen;GE;Discovery 870 DR;
50161;7;2790;CHR HAUTE SENNE;SOIGNIES;Henegouwen;GE;GE-NM/CT 860 ;
50162;158;2970;GROUPE SANTE CHC - SITE HERMALLE ET HEUSY;VERVIERS;Luik;GE;GE NM/CT 870DR;
50163;20;3010;CHR VERVIERS - EAST BELGIUM;VERVIERS;Luik;GE;NM/CT Discovery 870;
50164;77;1570;CHU BRUGMANN;BRUSSEL;Brussels Hoofdst. Gew.;Siemens;SIEMENS-Symbia Intevo bold;HUDERF
50165;117;6210;AZ DELTA;ROESELARE;West-Vlaanderen;Siemens;SIEMENS-Symbia Intevo ;
50166;117;6210;AZ DELTA;ROESELARE;West-Vlaanderen;Siemens;SIEMENS-Symbia T;
50167;117;6210;AZ DELTA;ROESELARE;West-Vlaanderen;Siemens;Symbia Intevo Bold;
50168;152;6200;GROUPE SANTE CHC - SITE MONTLEGIA LIEGE ET WAREMME;LUIK;Luik;Philips;PHILIPS-BrightView-XCT;
50169;152;6200;GROUPE SANTE CHC - SITE MONTLEGIA LIEGE ET WAREMME;LUIK;Luik;GE;NM/CT 870 DR;
50170;152;6200;GROUPE SANTE CHC - SITE MONTLEGIA LIEGE ET WAREMME;LUIK;Luik;GE;NM/CT 870 DR;
50171;536;2090;AZ VOORKEMPEN;MALLE;Antwerpen;GE;Discovery NMCT 870 DR;
50172;706;3340;CLINIQUE ST.-LUC;NAMEN;Namen;GE;GE-NMCT870DR;
50173;140;1000;AZ SINT-LUCAS;BRUGGE;West-Vlaanderen;Siemens;SIEMENS-Symbia Intevo Bold;
50174;246;3690;VIVALIA - HOPITAL ARLON ET VIRTON;AARLEN;Luxemburg;GE;GE DISCOVERY NM/CT 870 CZT;
50175;49;1930;AZ SINT-JAN BRUGGE - OOSTENDE;OOSTENDE;West-Vlaanderen;Siemens;SIEMENS-SYMBIA INTEVO BOLD;
50176;410;3060;CENTRE HOSPITALIER EPICURA - SITE HORNU - BAUDOUR;SAINT-GHISLAIN;Henegouwen;GE;Discovery NMCT 850;
50177;410;3060;CENTRE HOSPITALIER EPICURA - SITE HORNU - BAUDOUR;SAINT-GHISLAIN;Henegouwen;GE;Discovery NMCT 860;
50178;689;2040;IMELDA ZIEKENHUIS;BONHEIDEN;Antwerpen;Siemens;SIEMENS-Symbia Intevo Bold;
50179;111;1420;EUROPAZIEKENHUIZEN V.Z.W.;ETTERBEEK;Brussels Hoofdst. Gew.;Siemens;SIEMENS-Symbia Intevo ;
50180;17;1605;AZ MARIA MIDDELARES;GENT;Oost-Vlaanderen;Siemens;SIEMENS-Symbia Intevo Bold;
50181;103;3310;CHR SAMBRE ET MEUSE (SITE SAMBRE);SAMBREVILLE;Namen;Mediso;ANYSCAN SC TRIO;
50182;168;3720;VIVALIA - CENTRE HOSPITALIER CENTRE ARDENNE;BASTENAKEN;Luxemburg;GE;GE-NM/CT 860;
50183;109;1370;RZ TIENEN;TIENEN;Vlaams Brabant;Siemens;Symbia Intevo Bold;
50184;109;1380;RZ TIENEN;AARSCHOT;Vlaams Brabant;Siemens;SIEMENS-Symbia T;
50185;42;2990;CENTRE HOSPITALIER BOIS DE L'ABBAYE;SERAING;Luik;SPECTRUM DYNAMICS MEDICAL;VERITON CT;
50186;96;3220;CHU TIVOLI;LA LOUVIERE;Henegouwen;GE;Discovery 870 DR;
