Numéro d'appareil;Numéro d'agrément;Numéro de campus;Nom de l'exploitant;Commune;Province/Région de Bruxelles-Capitale;Fabricant;Modèle;Hopitaux en association
60030;110;1310;KLINIEK ST.- JAN;BRUXELLES;Région Bruxelles Cap.;Siemens;SIEMENS-MAGNETOM Avanto 1,5T;
60031;709;2690;ZIEKENHUIS GEEL;GEEL;Anvers;Siemens;SIEMENS-MAGNETOM Avanto 1,5T;HEILIG HART ZIEKENHUIS MOL
60036;257;2980;KLINIK ST.-JOSEF;SANKT VITH;Liège;Siemens;SIEMENS-MAGNETOM Avanto 1,5T;
60039;204;1460;ALGEMEEN ZIEKENHUIS JAN PORTAELS;VILVOORDE;Brabant Flamand;Siemens;SIEMENS MAGNETOM AREA 1,5T;
60040;6;3300;CHR SAMBRE ET MEUSE (SITE MEUSE);NAMUR;Namur;Philips;PHILIPS-Achieva 3.0T XR TX;
60043;682;1210;AZ MONICA;ANVERS;Anvers;Siemens;SIEMENS-MAGNETOM Amira 1,5T;
60044;79;1510;INSTITUT JULES BORDET;BRUXELLES;Région Bruxelles Cap.;Siemens;SIEMENS-MAGNETOM Verio 3T;
60045;264;3260;CHU UCL NAMUR - HOPITAL DINANT;CHIMAY;Hainaut;Philips;PHILIPS-Achieva 1.5T A-serie;CHR VAL DE SAMBRE - CENTRE DE SANTE DES FAGNES
60046;79;1510;INSTITUT JULES BORDET;BRUXELLES;Région Bruxelles Cap.;Siemens;SIEMENS-MAGNETOM Avanto 1,5T;
60047;310;1980;AZ WEST;VEURNE;Flandre Occidentale;Philips;PHILIPS-Ingenia 3.0T;SINT-REMBERT ZIEKENHUIS TORHOUT
60048;325;2750;CHU CHARLEROI - SITE ANDRE VESALE;MONTIGNY-LE-TILLEUL;Hainaut;Siemens;SIEMENS-MAGNETOM Avanto 1,5T;
60049;718;3130;CHU CHARLEROI - HOPITAL CIVIL MARIE CURIE;CHARLEROI;Hainaut;Siemens;SIEMENS-MAGNETOM Skyra 3T;
60052;412;3410;CENTRE HOSPITALIER REGIONAL DE LA CITADELLE;LIEGE;Liège;Philips;PHILIPS-Achieva 1.5T A-serie;
60053;719;3615;NOORDERHART - MARIAZIEKENHUIS;OVERPELT;Limbourg;Philips;PHILIPS-Achieva 1.5T A-serie;
60059;99;2020;GZA- ZIEKENHUIZEN;ANVERS;Anvers;Philips;PHILIPS-Ingenia 1.5T;
60061;716;3670;AZ VESALIUS;TONGEREN;Limbourg;Siemens;AERA;
60062;109;1370;RZ TIENEN;TIENEN;Brabant Flamand;SIEMENS ;SIEMENS-MAGNETOM Avanto 1,5T;
60063;97;1260;ALGEMEEN ZIEKENHUIS HEILIG HART;LIER;Anvers;Siemens;MAGNETON AERA 1,5T;
60066;117;1100;AZ DELTA;ROULERS;Flandre Occidentale;Siemens;SIEMENS-MAGNETOM Avanto 1,5T;
60067;126;1780;ONZE-LIEVE-VROUW ZIEKENHUIS;ALOST;Flandre Orientale;GE;GE-Echospeed HDx 1.5T;AZ GLORIEUX RONSE
60068;126;1780;ONZE-LIEVE-VROUW ZIEKENHUIS;ALOST;Flandre Orientale;GE;GE-TwinSpeed HDx 3.0T;AZ GLORIEUX RONSE
60069;176;1800;A.S.Z. - AUTONOME VERZORGINGSINSTELLING;ALOST;Flandre Orientale;GE;GE-Discovery MR750 GEM 3.0T;
60070;164;3230;VIVALIA - HOPITAL DE MARCHE;MARCHE-EN-FAMENNE;Luxembourg;Siemens;SIEMENS-MAGNETOM SYMPHONY TIM;
60071;87;1560;HOPITAUX IRIS SUD;IXELLES;Région Bruxelles Cap.;Philips;PHILIPS-ACHIEVA 3T XR TX;
60072;87;1540;HOPITAUX IRIS SUD;ANDERLECHT;Région Bruxelles Cap.;Philips;PHILIPS-Ingenia 1.5T;
60074;217;1900;ALGEMEEN ZIEKENHUIS ST. ELISABETH;ZOTTEGEM;Flandre Orientale;Siemens;SIEMENS-MAGNETOM Avanto 1,5T;
60075;710;3450;AZ KLINA;BRASSCHAAT;Anvers;GE;GE-Optima 450W;
60076;712;1320;AZ DIEST;DIEST;Brabant Flamand;Siemens;SIEMENS-MAGNETOM Avanto 1,5T;REGIONAAL ZIEKENHUIS HEILIG HART LEUVEN
60077;595;1860;ALGEMEEN ZIEKENHUIS VITAZ;SINT-NIKLAAS;Flandre Orientale;Siemens;SIEMENS-MAGNETOM Skyra 3T;
60078;108;1360;REGIONAAL ZIEKENHUIS HEILIG HART;LOUVAIN;Brabant Flamand;Philips;PHILIPS-Ingenia 1.5T;AZ DIEST
60084;723;1470;C.H. INTERREGIONAL EDITH CAVELL - SARE;ANDERLECHT;Région Bruxelles Cap.;Siemens;AERA;
60087;243;3570;JESSA ZIEKENHUIS;HASSELT;Limbourg;Siemens;SIEMENS-MAGNETOM Avanto 1,5T;
60088;43;1730;CLINIQUE SAINT PIERRE;OTTIGNIES-LOUVAIN-LA-NEUVE;Brabant Wallon;Siemens;SIEMENS-AVANTO_FIT;
60093;266;2720;POLE HOSPITALIER JOLIMONT - SITE MONS - WARQUIGNIES;BOUSSU;Hainaut;GE;GE-Echospeed HDx 1.5T;CHAMBORD
60094;525;1940;AZ DAMIAAN;OSTENDE;Flandre Occidentale;Siemens;MAGNETRON AERA 1.5 TESLA;
60097;707;2840;CENTRE HOSPITALIER UNIVERSITAIRE SART-TILMAN;LIEGE;Liège;Siemens;AERA 1,5T;
60098;707;3860;CENTRE HOSPITALIER UNIVERSITAIRE SART-TILMAN;LIEGE;Liège;Siemens;AERA 1,5T;
60101;396;1090;AZ GROENINGE;KORTRIJK;Flandre Occidentale;GE;GE-DISCOVERY 750W GEM 3.0T;
60102;396;1090;AZ GROENINGE;KORTRIJK;Flandre Occidentale;GE;GE-DISCOVERY 750W GEM 3.0T;
60105;290;1630;AZ SINT-LUCAS;GAND;Flandre Orientale;Philips;PHILIPS-Achieva 3.0T TX;
60106;290;1630;AZ SINT-LUCAS;GAND;Flandre Orientale;Philips;PHILIPS-Ingenia 3.0T;
60108;10;3100;GRAND HOPITAL DE CHARLEROI;CHARLEROI;Hainaut;Siemens;SIEMENS-MAGNETOM Verio 3T;CLINIQUE NOTRE-DAME DE GRACE
60109;10;3170;GRAND HOPITAL DE CHARLEROI;CHARLEROI;Hainaut;Philips;PHILIPS-Ingenia 1.5T;
60114;9;1180;ZIEKENHUISNETWERK ANTWERPEN (ZNA);ANVERS;Anvers;GE;GE-Signa Explorer 1.5T;
60115;96;3220;CHU TIVOLI;LA LOUVIERE;Hainaut;Siemens;SIEMENS-MAGNETOM Avanto 1,5T;
60117;9;2000;ZIEKENHUISNETWERK ANTWERPEN (ZNA);ANVERS;Anvers;GE;GE-Signa Explorer 1.5T;
60121;406;4210;CLINIQUES UNIVERSITAIRES DE BRUXELLES HOPITAL ERASME;ANDERLECHT;Région Bruxelles Cap.;Philips;PHILIPS-Ingenia 3.0T;
60123;246;3690;VIVALIA - HOPITAL ARLON ET VIRTON;ARLON;Luxembourg;Siemens;SIEMENS-MAGNETOM Avanto 1,5T;
60125;322;4230;UZ LEUVEN;LOUVAIN;Brabant Flamand;Philips;PHILIPS-Ingenia 3.0T;
60126;322;4230;UZ LEUVEN;LOUVAIN;Brabant Flamand;Siemens;SIEMENS MAGNETOM AERA 1,5T;
60130;143;4200;UNIVERSITAIR ZIEKENHUIS BRUSSEL;JETTE;Région Bruxelles Cap.;Siemens;SIEMENS-MAGNETOM Skyra 3T;
60131;143;4200;UNIVERSITAIR ZIEKENHUIS BRUSSEL;JETTE;Région Bruxelles Cap.;Philips;PHILIPS-Intera 1.5T Master ;
60132;143;4200;UNIVERSITAIR ZIEKENHUIS BRUSSEL;JETTE;Région Bruxelles Cap.;Philips;PHILIPS-Ingenia 3.0T;
60136;714;3600;SINT-FRANCISCUS ZIEKENHUIS;HEUSDEN-ZOLDER;Limbourg;Siemens;SIEMENS AERA 1,5 T;
60138;140;1000;AZ SINT-LUCAS;BRUGES;Flandre Occidentale;GE;GE-Optima 450W;
60139;410;3380;CENTRE HOSPITALIER EPICURA - SITE HORNU - BAUDOUR;BOUSSU;Hainaut;Siemens;SIEMENS AERA 1.5 T;
60140;724;1910;CENTRE HOSPITALIER EPICURA - SITE ATH;ATH;Hainaut;Siemens;SIEMENS AERA 1.5 T;
60142;106;1340;ALGEMEEN ZIEKENHUIS SINT- MARIA;HALLE;Brabant Flamand;Siemens;SIEMENS AERA 1,5 T;
60143;550;1680;A.Z. GLORIEUX;RONSE;Flandre Orientale;GE;GE-Signa Pioneer 3.0T;
60144;150;3440;HOPITAL UNIVERSITAIRE DES ENFANTS REINE FABIOLA;BRUXELLES;Région Bruxelles Cap.;Siemens;MAGNETON AREA 1.5T;CHU BRUGMANN
60147;670;3850;UNIVERSITAIR ZIEKENHUIS;GAND;Flandre Orientale;Siemens;AERA;
60150;706;3340;CLINIQUE ST.-LUC;NAMUR;Namur;GE;GE-Optima 450W;
60151;308;1250;AZ HERENTALS;HERENTALS;Anvers;Siemens;SIEMENS AVANTO FIT;AZ ST. ELISABETH HERENTALS VZW - AZ TURNHOUT VZW
60152;63;1280;AZ TURNHOUT;TURNHOUT;Anvers;Siemens;AERA;AZ HERENTALS  - AZ TURNHOUT
60153;76;1520;CHU SAINT-PIERRE;BRUXELLES;Région Bruxelles Cap.;GE;GE-DISCOVERY MR 450W GEM 1,5T 32CH;
60154;371;3560;ZIEKENHUIS OOST-LIMBURG;GENK;Limbourg;Philips;PHILIPS-Ingenia 3.0T;
60155;32;1845;A.Z. ALMA;EEKLO;Flandre Orientale;Siemens;AERA;
60157;713;1610;AZ JAN PALFIJN;GAND;Flandre Orientale;Siemens Healthcare GmbH;SIEMENS-MAGNETOM Avanto Fit;
60158;406;4210;CLINIQUES UNIVERSITAIRES DE BRUXELLES HOPITAL ERASME;ANDERLECHT;Région Bruxelles Cap.;Siemens;SIEMENS MAGNETOM AERA 1.5T;
60159;17;1605;AZ MARIA MIDDELARES;GAND;Flandre Orientale;Philips;PHILIPS-Ingenia 3.0T;
60160;99;1290;GZA- ZIEKENHUIZEN;ANVERS;Anvers;Siemens;SIEMENS-MAGNETOM Skyra 3T;
60162;168;3240;VIVALIA - CENTRE HOSPITALIER CENTRE ARDENNE;LIBRAMONT-CHEVIGNY;Luxembourg;Siemens Healthcare GmbH;MAGNETOM AERA;
60163;534;2810;CENTRE HOSPITALIER DE WALLONIE PICARDE;TOURNAI;Hainaut;Siemens Healthcare GmbH;SIEMENS-MAGNETOM Avanto 1,5T;
60164;723;1760;C.H. INTERREGIONAL EDITH CAVELL - SARE;BRAINE-L'ALLEUD;Brabant Wallon;Siemens;MAGNETOM AERA;
60165;12;3460;AZ SINT-BLASIUS;DENDERMONDE;Flandre Orientale;Philips;PHILIPS-Ingenia 3T;
60166;146;3200;POLE HOSPITALIER JOLIMONT - SITE JOLIMONT - LOBBES;LA LOUVIERE;Hainaut;Siemens;Skyra Fit;
60167;9;2000;ZIEKENHUISNETWERK ANTWERPEN (ZNA);ANVERS;Anvers;GE;SIGNA ARTIST;
60168;20;3010;CHR VERVIERS - EAST BELGIUM;VERVIERS;Liège;Siemens;SIEMENS MAGNETOM AERA;
60169;670;3850;UNIVERSITAIR ZIEKENHUIS;GAND;Flandre Orientale;Siemens;Prisma Fit;
60170;332;6140;CHIREC - DELTA;AUDERGHEM;Région Bruxelles Cap.;Siemens;Magnetom Aera;
60171;254;2730;C.H.U. AMBROISE PARE;MONS;Hainaut;Philips;Ingenia;
60172;392;6160;AZ ZENO;KNOKKE-HEIST;Flandre Occidentale;GE;SIGNA PIONEER EXPERT;AZ SINT JAN BRUGGE OOSTENDE
60173;146;3200;POLE HOSPITALIER JOLIMONT - SITE JOLIMONT - LOBBES;LA LOUVIERE;Hainaut;Siemens;MAGNETOM  AERA;
60174;322;4230;UZ LEUVEN;LOUVAIN;Brabant Flamand;Philips;PHILIPS-Ingenia 1.5T;
60175;57;2700;JAN YPERMAN ZIEKENHUIS;IEPER;Flandre Occidentale;Siemens;MAGNETOM SOLA;
60176;322;4230;UZ LEUVEN;LOUVAIN;Brabant Flamand;Philips;PHILIPS-Ingenia 3.0T;
60178;39;3280;CHU-UCL NAMUR - SITE GODINNE;YVOIR;Namur;Siemens;MAGNETOM AERA;
60180;15;2850;ST. NIKOLAUS HOSPITAL;EUPEN;Liège;GE;SIGNA ARTIST 1.5T;
60181;707;3860;CENTRE HOSPITALIER UNIVERSITAIRE SART-TILMAN;LIEGE;Liège;Siemens;Magnetom Vida;
60183;166;3290;CHU UCL NAMUR - SITE STE. ELISABETH NAMUR;NAMUR;Namur;Siemens;MAGNETOM AERA;
60184;77;1570;CHU BRUGMANN;BRUXELLES;Région Bruxelles Cap.;Siemens;Avanto Fit;
60186;104;1270;AZ RIVIERENLAND;RUMST;Anvers;Philips;PHILIPS-Ingenia 3.0T;
60187;49;1010;AZ SINT-JAN BRUGGE - OOSTENDE;BRUGES;Flandre Occidentale;Philips;Ingenia Elition X 3T;
60188;243;3590;JESSA ZIEKENHUIS;HASSELT;Limbourg;Philips;Ingenia Elition X 3T;
60189;243;3590;JESSA ZIEKENHUIS;HASSELT;Limbourg;Philips;AMBITION X 1,5T;
60190;406;4210;CLINIQUES UNIVERSITAIRES DE BRUXELLES HOPITAL ERASME;ANDERLECHT;Région Bruxelles Cap.;Siemens Healthcare GmbH;SIEMENS MAGNETOM VIDA 3.0T;
60191;117;6210;AZ DELTA;ROESELARE;Flandre Occidentale;Siemens;Magnetom Vida;
60192;117;6210;AZ DELTA;ROESELARE;Flandre Occidentale;Siemens;MAGNETOM SOLA;
60193;99;1290;GZA- ZIEKENHUIZEN;ANVERS;Anvers;Siemens;MAGNETOM SOLA 1.5T;
60194;152;6200;GROUPE SANTE CHC - SITE MONTLEGIA LIEGE ET WAREMME;LIEGE;Liège;Siemens;SIEMENS MAGNETOM SOLA;
60195;152;6200;GROUPE SANTE CHC - SITE MONTLEGIA LIEGE ET WAREMME;LIEGE;Liège;Siemens;SIEMENS MAGNETOM VIDA;
60196;158;2970;GROUPE SANTE CHC - SITE HERMALLE ET HEUSY;VERVIERS;Liège;Siemens;SIEMENS-MAGNETOM Avanto 1,5T;
60197;10;3100;GRAND HOPITAL DE CHARLEROI;CHARLEROI;Hainaut;Siemens;Magnetom Aera;CLINIQUE NOTRE-DAME DE GRACE
60198;170;1660;AZ OUDENAARDE;OUDENAARDE;Flandre Orientale;Siemens;MAGNETOM LUMINA;
60200;412;3410;CENTRE HOSPITALIER REGIONAL DE LA CITADELLE;LIEGE;Liège;Philips;AMBITION X;
60201;111;1420;EUROPAZIEKENHUIZEN V.Z.W.;ETTERBEEK;Région Bruxelles Cap.;GE;GE SIGNA ARTIST  1,5 T;
60202;26;6170;AZ SINT-MAARTEN;MECHELEN;Anvers;Siemens;SIEMENS - MAGNETOM SOLA FIT;
60203;42;2990;CENTRE HOSPITALIER BOIS DE L'ABBAYE;SERAING;Liège;GE;GE SIGNA ARTIST  1,5 T;
60205;689;2040;IMELDA ZIEKENHUIS;BONHEIDEN;Anvers;Siemens;SIEMENS-MAGNETOM Sola 1,5T;
60206;717;6120;ZIEKENHUIS OOST-LIMBURG - CAMPUS MAAS EN KEMPEN;MAASEIK;Limbourg;Siemens;SIEMENS-MAGNETOM Lumina 3T;
60208;371;3560;ZIEKENHUIS OOST-LIMBURG;GENK;Limbourg;Siemens;SIEMENS-MAGNETOM Sola 1,5T;
60210;409;3350;CLINIQUE NOTRE-DAME DE GRACE;CHARLEROI;Hainaut;Toshiba;Toshiba-Vantage Titan 1.5T;
60211;68;2870;CENTRE HOSPITALIER REGIONAL DE HUY;HUY;Liège;Siemens;SIEMENS-MAGNETOM Sola 1,5T;
60212;595;1650;ALGEMEEN ZIEKENHUIS VITAZ;LOKEREN;Flandre Orientale;Philips;PHILIPS-Ingenia Elition X 3.0T;
60213;300;4220;UNIVERSITAIR ZIEKENHUIS ANTWERPEN;EDEGEM;Anvers;Siemens;SIEMENS-MAGNETOM Vida 3T;
60214;124;1920;SINT-JOZEFSKLINIEK;IZEGEM;Flandre Occidentale;GE;GE-VOYAGER;
60215;346;1710;POLE HOSPITALIER JOLIMONT - SITE NIVELLES - TUBIZE;NIVELLES;Brabant Wallon;Siemens;SIEMENS-MAGNETOM Sola 1,5T;
60216;134;1830;AZ SINT-VINCENTIUS;DEINZE;Flandre Orientale;GE;GE-Signa Pioneer 3.0T;
60217;7;2790;CHR HAUTE SENNE;SOIGNIES;Hainaut;Siemens;SIEMENS-MAGNETOM Sola 1,5T;
60219;397;1990;O.L.V. VAN LOURDES ZIEKENHUIS WAREGEM;WAREGEM;Flandre Occidentale;SIEMENS;MAGNETOM SOLA 1,5 TESLA;
60220;395;1170;ST.-ANDRIESZIEKENHUIS;TIELT;Flandre Occidentale;Philips;PHILIPS-Ingenia 3.0T;
