Toestelnummer;Erkenningsnummer;Campusnummer;Naam exploitant;Gemeente;Provincie / Brussels Hoofdstedelijk Gewest ;Fabrikant;Model;Ziekenhuizen in associatie
60043;682;1210;AZ MONICA;ANTWERPEN;Antwerpen;Siemens;SIEMENS-MAGNETOM Amira 1,5T;
60044;79;1510;INSTITUT JULES BORDET;BRUSSEL;Brussels Hoofdst. Gew.;Siemens;SIEMENS-MAGNETOM Verio 3T;
60045;264;3260;CHU UCL NAMUR - HOPITAL DINANT;CHIMAY;Henegouwen;Philips;PHILIPS-Achieva 1.5T A-serie;CHR VAL DE SAMBRE - CENTRE DE SANTE DES FAGNES
60046;79;1510;INSTITUT JULES BORDET;BRUSSEL;Brussels Hoofdst. Gew.;Siemens;SIEMENS-MAGNETOM Avanto 1,5T;
60047;310;1980;AZ WEST;VEURNE;West-Vlaanderen;Philips;PHILIPS-Ingenia 3.0T;SINT-REMBERT ZIEKENHUIS TORHOUT
60048;325;2750;CHU CHARLEROI - SITE ANDRE VESALE;MONTIGNY-LE-TILLEUL;Henegouwen;Siemens;SIEMENS-MAGNETOM Avanto 1,5T;
60049;718;3130;CHU CHARLEROI - HOPITAL CIVIL MARIE CURIE;CHARLEROI;Henegouwen;Siemens;SIEMENS-MAGNETOM Skyra 3T;
60052;412;3410;CENTRE HOSPITALIER REGIONAL DE LA CITADELLE;LUIK;Luik;Philips;PHILIPS-Achieva 1.5T A-serie;
60053;719;3615;NOORDERHART - MARIAZIEKENHUIS;OVERPELT;Limburg;Philips;PHILIPS-Achieva 1.5T A-serie;
60059;99;2020;GZA- ZIEKENHUIZEN;ANTWERPEN;Antwerpen;Philips;PHILIPS-Ingenia 1.5T;
60061;716;3670;AZ VESALIUS;TONGEREN;Limburg;Siemens;AERA;
60062;109;1370;RZ TIENEN;TIENEN;Vlaams Brabant;SIEMENS ;SIEMENS-MAGNETOM Avanto 1,5T;
60063;97;1260;ALGEMEEN ZIEKENHUIS HEILIG HART;LIER;Antwerpen;Siemens;MAGNETON AERA 1,5T;
60066;117;1100;AZ DELTA;ROESELARE;West-Vlaanderen;Siemens;SIEMENS-MAGNETOM Avanto 1,5T;
60067;126;1780;ONZE-LIEVE-VROUW ZIEKENHUIS;AALST;Oost-Vlaanderen;GE;GE-Echospeed HDx 1.5T;AZ GLORIEUX RONSE
60068;126;1780;ONZE-LIEVE-VROUW ZIEKENHUIS;AALST;Oost-Vlaanderen;GE;GE-TwinSpeed HDx 3.0T;AZ GLORIEUX RONSE
60069;176;1800;A.S.Z. - AUTONOME VERZORGINGSINSTELLING;AALST;Oost-Vlaanderen;GE;GE-Discovery MR750 GEM 3.0T;
60070;164;3230;VIVALIA - HOPITAL DE MARCHE;MARCHE-EN-FAMENNE;Luxemburg;Siemens;SIEMENS-MAGNETOM SYMPHONY TIM;
60071;87;1560;HOPITAUX IRIS SUD;ELSENE;Brussels Hoofdst. Gew.;Philips;PHILIPS-ACHIEVA 3T XR TX;
60072;87;1540;HOPITAUX IRIS SUD;ANDERLECHT;Brussels Hoofdst. Gew.;Philips;PHILIPS-Ingenia 1.5T;
60074;217;1900;ALGEMEEN ZIEKENHUIS ST. ELISABETH;ZOTTEGEM;Oost-Vlaanderen;Siemens;SIEMENS-MAGNETOM Avanto 1,5T;
60075;710;3450;AZ KLINA;BRASSCHAAT;Antwerpen;GE;GE-Optima 450W;
60076;712;1320;AZ DIEST;DIEST;Vlaams Brabant;Siemens;SIEMENS-MAGNETOM Avanto 1,5T;REGIONAAL ZIEKENHUIS HEILIG HART LEUVEN
60077;595;1860;ALGEMEEN ZIEKENHUIS VITAZ;SINT-NIKLAAS;Oost-Vlaanderen;Siemens;SIEMENS-MAGNETOM Skyra 3T;
60078;108;1360;REGIONAAL ZIEKENHUIS HEILIG HART;LEUVEN;Vlaams Brabant;Philips;PHILIPS-Ingenia 1.5T;AZ DIEST
60084;723;1470;C.H. INTERREGIONAL EDITH CAVELL - SARE;ANDERLECHT;Brussels Hoofdst. Gew.;Siemens;AERA;
60087;243;3570;JESSA ZIEKENHUIS;HASSELT;Limburg;Siemens;SIEMENS-MAGNETOM Avanto 1,5T;
60088;43;1730;CLINIQUE SAINT PIERRE;OTTIGNIES-LOUVAIN-LA-NEUVE;Waals Brabant;Siemens;SIEMENS-AVANTO_FIT;
60093;266;2720;POLE HOSPITALIER JOLIMONT - SITE MONS - WARQUIGNIES;BOUSSU;Henegouwen;GE;GE-Echospeed HDx 1.5T;CHAMBORD
60094;525;1940;AZ DAMIAAN;OOSTENDE;West-Vlaanderen;Siemens;MAGNETRON AERA 1.5 TESLA;
60097;707;2840;CENTRE HOSPITALIER UNIVERSITAIRE SART-TILMAN;LUIK;Luik;Siemens;AERA 1,5T;
60098;707;3860;CENTRE HOSPITALIER UNIVERSITAIRE SART-TILMAN;LUIK;Luik;Siemens;AERA 1,5T;
60101;396;1090;AZ GROENINGE;KORTRIJK;West-Vlaanderen;GE;GE-DISCOVERY 750W GEM 3.0T;
60102;396;1090;AZ GROENINGE;KORTRIJK;West-Vlaanderen;GE;GE-DISCOVERY 750W GEM 3.0T;
60105;290;1630;AZ SINT-LUCAS;GENT;Oost-Vlaanderen;Philips;PHILIPS-Achieva 3.0T TX;
60106;290;1630;AZ SINT-LUCAS;GENT;Oost-Vlaanderen;Philips;PHILIPS-Ingenia 3.0T;
60108;10;3100;GRAND HOPITAL DE CHARLEROI;CHARLEROI;Henegouwen;Siemens;SIEMENS-MAGNETOM Verio 3T;CLINIQUE NOTRE-DAME DE GRACE
60109;10;3170;GRAND HOPITAL DE CHARLEROI;CHARLEROI;Henegouwen;Philips;PHILIPS-Ingenia 1.5T;
60114;9;1180;ZIEKENHUISNETWERK ANTWERPEN (ZNA);ANTWERPEN;Antwerpen;GE;GE-Signa Explorer 1.5T;
60115;96;3220;CHU TIVOLI;LA LOUVIERE;Henegouwen;Siemens;SIEMENS-MAGNETOM Avanto 1,5T;
60117;9;2000;ZIEKENHUISNETWERK ANTWERPEN (ZNA);ANTWERPEN;Antwerpen;GE;GE-Signa Explorer 1.5T;
60121;406;4210;CLINIQUES UNIVERSITAIRES DE BRUXELLES HOPITAL ERASME;ANDERLECHT;Brussels Hoofdst. Gew.;Philips;PHILIPS-Ingenia 3.0T;
60123;246;3690;VIVALIA - HOPITAL ARLON ET VIRTON;AARLEN;Luxemburg;Siemens;SIEMENS-MAGNETOM Avanto 1,5T;
60125;322;4230;UZ LEUVEN;LEUVEN;Vlaams Brabant;Philips;PHILIPS-Ingenia 3.0T;
60126;322;4230;UZ LEUVEN;LEUVEN;Vlaams Brabant;Siemens;SIEMENS MAGNETOM AERA 1,5T;
60130;143;4200;UNIVERSITAIR ZIEKENHUIS BRUSSEL;JETTE;Brussels Hoofdst. Gew.;Siemens;SIEMENS-MAGNETOM Skyra 3T;
60131;143;4200;UNIVERSITAIR ZIEKENHUIS BRUSSEL;JETTE;Brussels Hoofdst. Gew.;Philips;PHILIPS-Intera 1.5T Master ;
60132;143;4200;UNIVERSITAIR ZIEKENHUIS BRUSSEL;JETTE;Brussels Hoofdst. Gew.;Philips;PHILIPS-Ingenia 3.0T;
60136;714;3600;SINT-FRANCISCUS ZIEKENHUIS;HEUSDEN-ZOLDER;Limburg;Siemens;SIEMENS AERA 1,5 T;
60138;140;1000;AZ SINT-LUCAS;BRUGGE;West-Vlaanderen;GE;GE-Optima 450W;
60139;410;3380;CENTRE HOSPITALIER EPICURA - SITE HORNU - BAUDOUR;BOUSSU;Henegouwen;Siemens;SIEMENS AERA 1.5 T;
60140;724;1910;CENTRE HOSPITALIER EPICURA - SITE ATH;ATH;Henegouwen;Siemens;SIEMENS AERA 1.5 T;
60142;106;1340;ALGEMEEN ZIEKENHUIS SINT- MARIA;HALLE;Vlaams Brabant;Siemens;SIEMENS AERA 1,5 T;
60143;550;1680;A.Z. GLORIEUX;RONSE;Oost-Vlaanderen;GE;GE-Signa Pioneer 3.0T;
60144;150;3440;HOPITAL UNIVERSITAIRE DES ENFANTS REINE FABIOLA;BRUSSEL;Brussels Hoofdst. Gew.;Siemens;MAGNETON AREA 1.5T;CHU BRUGMANN
60147;670;3850;UNIVERSITAIR ZIEKENHUIS;GENT;Oost-Vlaanderen;Siemens;AERA;
60150;706;3340;CLINIQUE ST.-LUC;NAMEN;Namen;GE;GE-Optima 450W;
60151;308;1250;AZ HERENTALS;HERENTALS;Antwerpen;Siemens;SIEMENS AVANTO FIT;AZ ST. ELISABETH HERENTALS VZW - AZ TURNHOUT VZW
60152;63;1280;AZ TURNHOUT;TURNHOUT;Antwerpen;Siemens;AERA;AZ HERENTALS  - AZ TURNHOUT
60153;76;1520;CHU SAINT-PIERRE;BRUSSEL;Brussels Hoofdst. Gew.;GE;GE-DISCOVERY MR 450W GEM 1,5T 32CH;
60154;371;3560;ZIEKENHUIS OOST-LIMBURG;GENK;Limburg;Philips;PHILIPS-Ingenia 3.0T;
60155;32;1845;A.Z. ALMA;EEKLO;Oost-Vlaanderen;Siemens;AERA;
60157;713;1610;AZ JAN PALFIJN;GENT;Oost-Vlaanderen;Siemens Healthcare GmbH;SIEMENS-MAGNETOM Avanto Fit;
60158;406;4210;CLINIQUES UNIVERSITAIRES DE BRUXELLES HOPITAL ERASME;ANDERLECHT;Brussels Hoofdst. Gew.;Siemens;SIEMENS MAGNETOM AERA 1.5T;
60159;17;1605;AZ MARIA MIDDELARES;GENT;Oost-Vlaanderen;Philips;PHILIPS-Ingenia 3.0T;
60160;99;1290;GZA- ZIEKENHUIZEN;ANTWERPEN;Antwerpen;Siemens;SIEMENS-MAGNETOM Skyra 3T;
60162;168;3240;VIVALIA - CENTRE HOSPITALIER CENTRE ARDENNE;LIBRAMONT-CHEVIGNY;Luxemburg;Siemens Healthcare GmbH;MAGNETOM AERA;
60163;534;2810;CENTRE HOSPITALIER DE WALLONIE PICARDE;DOORNIK;Henegouwen;Siemens Healthcare GmbH;SIEMENS-MAGNETOM Avanto 1,5T;
60164;723;1760;C.H. INTERREGIONAL EDITH CAVELL - SARE;BRAINE-L'ALLEUD;Waals Brabant;Siemens;MAGNETOM AERA;
60165;12;3460;AZ SINT-BLASIUS;DENDERMONDE;Oost-Vlaanderen;Philips;PHILIPS-Ingenia 3T;
60166;146;3200;POLE HOSPITALIER JOLIMONT - SITE JOLIMONT - LOBBES;LA LOUVIERE;Henegouwen;Siemens;Skyra Fit;
60167;9;2000;ZIEKENHUISNETWERK ANTWERPEN (ZNA);ANTWERPEN;Antwerpen;GE;SIGNA ARTIST;
60168;20;3010;CHR VERVIERS - EAST BELGIUM;VERVIERS;Luik;Siemens;SIEMENS MAGNETOM AERA;
60169;670;3850;UNIVERSITAIR ZIEKENHUIS;GENT;Oost-Vlaanderen;Siemens;Prisma Fit;
60170;332;6140;CHIREC - DELTA;OUDERGEM;Brussels Hoofdst. Gew.;Siemens;Magnetom Aera;
60171;254;2730;C.H.U. AMBROISE PARE;MONS;Henegouwen;Philips;Ingenia;
60172;392;6160;AZ ZENO;KNOKKE-HEIST;West-Vlaanderen;GE;SIGNA PIONEER EXPERT;AZ SINT JAN BRUGGE OOSTENDE
60173;146;3200;POLE HOSPITALIER JOLIMONT - SITE JOLIMONT - LOBBES;LA LOUVIERE;Henegouwen;Siemens;MAGNETOM  AERA;
60174;322;4230;UZ LEUVEN;LEUVEN;Vlaams Brabant;Philips;PHILIPS-Ingenia 1.5T;
60175;57;2700;JAN YPERMAN ZIEKENHUIS;IEPER;West-Vlaanderen;Siemens;MAGNETOM SOLA;
60176;322;4230;UZ LEUVEN;LEUVEN;Vlaams Brabant;Philips;PHILIPS-Ingenia 3.0T;
60178;39;3280;CHU-UCL NAMUR - SITE GODINNE;YVOIR;Namen;Siemens;MAGNETOM AERA;
60180;15;2850;ST. NIKOLAUS HOSPITAL;EUPEN;Luik;GE;SIGNA ARTIST 1.5T;
60181;707;3860;CENTRE HOSPITALIER UNIVERSITAIRE SART-TILMAN;LUIK;Luik;Siemens;Magnetom Vida;
60183;166;3290;CHU UCL NAMUR - SITE STE. ELISABETH NAMUR;NAMEN;Namen;Siemens;MAGNETOM AERA;
60184;77;1570;CHU BRUGMANN;BRUSSEL;Brussels Hoofdst. Gew.;Siemens;Avanto Fit;
60186;104;1270;AZ RIVIERENLAND;RUMST;Antwerpen;Philips;PHILIPS-Ingenia 3.0T;
60187;49;1010;AZ SINT-JAN BRUGGE - OOSTENDE;BRUGGE;West-Vlaanderen;Philips;Ingenia Elition X 3T;
60188;243;3590;JESSA ZIEKENHUIS;HASSELT;Limburg;Philips;Ingenia Elition X 3T;
60189;243;3590;JESSA ZIEKENHUIS;HASSELT;Limburg;Philips;AMBITION X 1,5T;
60190;406;4210;CLINIQUES UNIVERSITAIRES DE BRUXELLES HOPITAL ERASME;ANDERLECHT;Brussels Hoofdst. Gew.;Siemens Healthcare GmbH;SIEMENS MAGNETOM VIDA 3.0T;
60191;117;6210;AZ DELTA;ROESELARE;West-Vlaanderen;Siemens;Magnetom Vida;
60192;117;6210;AZ DELTA;ROESELARE;West-Vlaanderen;Siemens;MAGNETOM SOLA;
60193;99;1290;GZA- ZIEKENHUIZEN;ANTWERPEN;Antwerpen;Siemens;MAGNETOM SOLA 1.5T;
60194;152;6200;GROUPE SANTE CHC - SITE MONTLEGIA LIEGE ET WAREMME;LUIK;Luik;Siemens;SIEMENS MAGNETOM SOLA;
60195;152;6200;GROUPE SANTE CHC - SITE MONTLEGIA LIEGE ET WAREMME;LUIK;Luik;Siemens;SIEMENS MAGNETOM VIDA;
60196;158;2970;GROUPE SANTE CHC - SITE HERMALLE ET HEUSY;VERVIERS;Luik;Siemens;SIEMENS-MAGNETOM Avanto 1,5T;
60197;10;3100;GRAND HOPITAL DE CHARLEROI;CHARLEROI;Henegouwen;Siemens;Magnetom Aera;CLINIQUE NOTRE-DAME DE GRACE
60198;170;1660;AZ OUDENAARDE;OUDENAARDE;Oost-Vlaanderen;Siemens;MAGNETOM LUMINA;
60200;412;3410;CENTRE HOSPITALIER REGIONAL DE LA CITADELLE;LUIK;Luik;Philips;AMBITION X;
60201;111;1420;EUROPAZIEKENHUIZEN V.Z.W.;ETTERBEEK;Brussels Hoofdst. Gew.;GE;GE SIGNA ARTIST  1,5 T;
60202;26;6170;AZ SINT-MAARTEN;MECHELEN;Antwerpen;Siemens;SIEMENS - MAGNETOM SOLA FIT;
60203;42;2990;CENTRE HOSPITALIER BOIS DE L'ABBAYE;SERAING;Luik;GE;GE SIGNA ARTIST  1,5 T;
60205;689;2040;IMELDA ZIEKENHUIS;BONHEIDEN;Antwerpen;Siemens;SIEMENS-MAGNETOM Sola 1,5T;
60206;717;6120;ZIEKENHUIS OOST-LIMBURG - CAMPUS MAAS EN KEMPEN;MAASEIK;Limburg;Siemens;SIEMENS-MAGNETOM Lumina 3T;
60208;371;3560;ZIEKENHUIS OOST-LIMBURG;GENK;Limburg;Siemens;SIEMENS-MAGNETOM Sola 1,5T;
60210;409;3350;CLINIQUE NOTRE-DAME DE GRACE;CHARLEROI;Henegouwen;Toshiba;Toshiba-Vantage Titan 1.5T;
60211;68;2870;CENTRE HOSPITALIER REGIONAL DE HUY;HOEI;Luik;Siemens;SIEMENS-MAGNETOM Sola 1,5T;
60212;595;1650;ALGEMEEN ZIEKENHUIS VITAZ;LOKEREN;Oost-Vlaanderen;Philips;PHILIPS-Ingenia Elition X 3.0T;
60213;300;4220;UNIVERSITAIR ZIEKENHUIS ANTWERPEN;EDEGEM;Antwerpen;Siemens;SIEMENS-MAGNETOM Vida 3T;
60214;124;1920;SINT-JOZEFSKLINIEK;IZEGEM;West-Vlaanderen;GE;GE-VOYAGER;
60215;346;1710;POLE HOSPITALIER JOLIMONT - SITE NIVELLES - TUBIZE;NIJVEL;Waals Brabant;Siemens;SIEMENS-MAGNETOM Sola 1,5T;
60216;134;1830;AZ SINT-VINCENTIUS;DEINZE;Oost-Vlaanderen;GE;GE-Signa Pioneer 3.0T;
60217;7;2790;CHR HAUTE SENNE;SOIGNIES;Henegouwen;Siemens;SIEMENS-MAGNETOM Sola 1,5T;
60219;397;1990;O.L.V. VAN LOURDES ZIEKENHUIS WAREGEM;WAREGEM;West-Vlaanderen;SIEMENS;MAGNETOM SOLA 1,5 TESLA;
60220;395;1170;ST.-ANDRIESZIEKENHUIS;TIELT;West-Vlaanderen;Philips;PHILIPS-Ingenia 3.0T;
