Numéro d'appareil;Numéro d'agrément;Numéro de campus;Nom de l'exploitant;Commune;Province;Fabricant;Modèle;Type d'utilisation;Hopitaux en association
60032;371.0;3560.0;ZIEKENHUIS OOST-LIMBURG;Genk;Limbourg;Siemens;MAGNETOM AERA;Utilisation clinique uniquement;
60036;257.0;2980.0;KLINIK ST.-JOSEF;Sankt Vith;Liège;Siemens;SIEMENS-MAGNETOM Avanto 1,5T;Utilisation clinique uniquement;
60039;204.0;1460.0;ALGEMEEN ZIEKENHUIS JAN PORTAELS;Vilvoorde;Brabant Flamand;Siemens;SIEMENS MAGNETOM AREA 1,5T;Utilisation clinique uniquement;
60040;6.0;3300.0;CENTRE HOSPITALIER REGIONAL DE NAMUR;Namur;Namur;Philips;PHILIPS-Achieva 3.0T XR TX;Utilisation clinique uniquement;
60043;682.0;1210.0;A.Z. MONICA;Anvers;Anvers;Siemens;SIEMENS-MAGNETOM Amira 1,5T;Utilisation clinique uniquement;AZ MONICA CAMPUS ANTWERPEN
60044;79.0;1510.0;INSTITUT JULES BORDET;Bruxelles;Bruxelles-Capitale;Siemens;SIEMENS-MAGNETOM Verio 3T;Utilisation clinique uniquement;
60045;264.0;3260.0;CHU UCL NAMUR - SITE DE DINANT;Chimay;Hainaut;Philips;PHILIPS-Achieva 1.5T A-serie;Utilisation clinique uniquement;CHR VAL DE SAMBRE, CENTRE DE SANTE DES FAGNES
60046;79.0;1510.0;INSTITUT JULES BORDET;Bruxelles;Bruxelles-Capitale;Siemens;SIEMENS-MAGNETOM Avanto 1,5T;Utilisation clinique uniquement;
60047;310.0;1980.0;AZ WEST;Veurne;Flandre Occidentale;Philips;PHILIPS-Ingenia 3.0T;Utilisation clinique uniquement;SINT-REMBERT ZIEKENHUIS TORHOUT
60048;325.0;2750.0;CENTRE HOSPITALIER UNIVERSITAIRE A. VESALE;Montigny-Le-Tilleul;Hainaut;Siemens;SIEMENS-MAGNETOM Avanto 1,5T;Utilisation clinique uniquement;
60049;718.0;3130.0;C.H.U. CHARLEROI;Charleroi;Hainaut;Siemens;SIEMENS-MAGNETOM Skyra 3T;Utilisation clinique uniquement;
60051;412.0;3410.0;CENTRE HOSPITALIER REGIONAL DE LA CITADELLE;Liège;Liège;Philips;PHILIPS-INTERA 1.5T Explorer;Utilisation clinique uniquement;
60052;412.0;3410.0;CENTRE HOSPITALIER REGIONAL DE LA CITADELLE;Liège;Liège;Philips;PHILIPS-Achieva 1.5T A-serie;Utilisation clinique uniquement;
60053;719.0;3615.0;MARIA ZIEKENHUIS NOORD-LIMBURG;Overpelt;Limbourg;Philips;PHILIPS-Achieva 1.5T A-serie;Utilisation clinique uniquement;
60057;99.0;1290.0;GZA- ZIEKENHUIZEN;Anvers;Anvers;Siemens;SIEMENS-MAGNETOM Avanto 1,5T;Utilisation clinique uniquement;
60059;99.0;2020.0;GZA- ZIEKENHUIZEN;Anvers;Anvers;Philips;PHILIPS-Ingenia 1.5T;Utilisation clinique uniquement;
60061;716.0;3670.0;ALGEMEEN ZIEKENHUIS VESALIUS;Tongeren;Limbourg;Siemens;AERA;Utilisation clinique uniquement;
60062;109.0;1370.0;REGIONAAL ZIEKENHUIS HEILIG HART TIENEN;Tienen;Brabant Flamand;SIEMENS ;SIEMENS-MAGNETOM Avanto 1,5T;Utilisation clinique uniquement;
60063;97.0;1260.0;HEILIG HART ZIEKENHUIS V.Z.W.;Lier;Anvers;Siemens;MAGNETON AERA 1,5T;Utilisation clinique uniquement;
60064;117.0;1950.0;ALGEMEEN ZIEKENHUIS DELTA;Roulers;Flandre occidentale;Siemens;SIEMENS-MAGNETOM Skyra 3T;Utilisation clinique uniquement;
60065;117.0;1950.0;ALGEMEEN ZIEKENHUIS DELTA;Roulers;Flandre occidentale;Philips;PHILIPS-Achieva 1.5T A-serie;Utilisation clinique uniquement;
60066;117.0;1100.0;ALGEMEEN ZIEKENHUIS DELTA;Roulers;Flandre occidentale;Siemens;SIEMENS-MAGNETOM Avanto 1,5T;Utilisation clinique uniquement;
60067;126.0;1780.0;ONZE LIEVE VROUW ZIEKENHUIS;Alost;Flandre Orientale;GE;GE-Echospeed HDx 1.5T;Utilisation clinique uniquement;AZ GLORIEUX RONSE
60068;126.0;1780.0;ONZE LIEVE VROUW ZIEKENHUIS;Alost;Flandre Orientale;GE;GE-TwinSpeed HDx 3.0T;Utilisation clinique uniquement;AZ GLORIEUX RONSE
60069;176.0;1800.0;A.S.Z. - AUTONOME VERZORGINGSINSTELLING;Alost;Flandre Orientale;GE;GE-Discovery MR750 GEM 3.0T;Utilisation clinique uniquement;
60070;164.0;3230.0;VIVALIA - IFAC;Marche-En-Famenne;Luxembourg;Siemens;SIEMENS-MAGNETOM SYMPHONY TIM;Utilisation clinique uniquement;
60071;87.0;1560.0;HOPITAUX IRIS SUD - IRIS ZIEKENHUIZEN ZUID;Ixelles;Bruxelles-Capitale;Philips;PHILIPS-ACHIEVA 3T XR TX;Utilisation clinique uniquement;
60074;217.0;1900.0;ALGEMEEN ZIEKENHUIS ST. ELISABETH;Zottegem;Flandre Orientale;Siemens;SIEMENS-MAGNETOM Avanto 1,5T;Utilisation clinique uniquement;
60075;710.0;3450.0;ALGEMEEN ZIEKENHUIS KLINA V.Z.W.;Brasschaat;Anvers;GE;GE-Optima 450W;Utilisation clinique uniquement;
60076;712.0;1320.0;ALGEMEEN ZIEKENHUIS DIEST;Diest;Brabant Flamand;Siemens;SIEMENS-MAGNETOM Avanto 1,5T;Utilisation clinique uniquement;REGIONAAL ZIEKENHUIS HEILIG HART LEUVEN
60077;595.0;1860.0;ALGEMEEN ZIEKENHUIS NIKOLAAS;Sint-Niklaas;Flandre Orientale;Siemens;SIEMENS-MAGNETOM Skyra 3T;Utilisation clinique uniquement;
60078;108.0;1360.0;REGIONAAL ZIEKENHUIS HEILIG HART;Leuven;Brabant Flamand;Philips;PHILIPS-Ingenia 1.5T;Utilisation clinique uniquement;AZ DIEST
60084;723.0;1470.0;C.H. INTERREGIONAL EDITH CAVELL - SARE;Anderlecht;Bruxelles-Capitale;Siemens;AERA;Utilisation clinique uniquement;
60087;243.0;3570.0;JESSA ZIEKENHUIS;Hasselt;Limbourg;Siemens;SIEMENS-MAGNETOM Avanto 1,5T;Utilisation clinique uniquement;
60088;43.0;1730.0;CLINIQUE SAINT PIERRE;Ottignies-Louvain-La-Neuve;Brabant Wallon;Siemens;SIEMENS-AVANTO_FIT;Utilisation clinique uniquement;
60090;68.0;2870.0;CENTRE HOSPITALIER REGIONAL DE HUY;Huy;Liège;Siemens; AERA;Utilisation clinique uniquement;
60093;266.0;2720.0;CHR MONS - HAINAUT;Boussu;Hainaut;GE;GE-Echospeed HDx 1.5T;Utilisation clinique uniquement;CHAMBORD
60094;525.0;1940.0;ALGEMEEN ZIEKENHUIS DAMIAAN;Ostende;Flandre Occidentale;Siemens;MAGNETRON AERA 1.5 TESLA;Utilisation clinique uniquement;
60097;707.0;2840.0;CENTRE HOSPITALIER UNIVERSITAIRE SART-TILMAN;Chênée;Liège;Siemens;AERA 1,5T;Utilisation clinique uniquement;
60098;707.0;3860.0;CENTRE HOSPITALIER UNIVERSITAIRE SART-TILMAN;Liège;Liège;Siemens;AERA 1,5T;Utilisation clinique uniquement;
60101;396.0;1090.0;ALGEMEEN ZIEKENHUIS GROENINGE;Kortrijk;Flandre Occidentale;GE;GE-DISCOVERY 750W GEM 3.0T;Utilisation clinique uniquement;
60102;396.0;1090.0;ALGEMEEN ZIEKENHUIS GROENINGE;Kortrijk;Flandre Occidentale;GE;GE-DISCOVERY 750W GEM 3.0T;Utilisation clinique uniquement;
60105;290.0;1630.0;ALGEMEEN ZIEKENHUIS ST. LUCAS;Gand;Flandre Orientale;Philips;PHILIPS-Achieva 3.0T TX;Utilisation clinique uniquement;
60106;290.0;1630.0;ALGEMEEN ZIEKENHUIS ST. LUCAS;Gand;Flandre Orientale;Philips;PHILIPS-Ingenia 3.0T;Utilisation clinique uniquement;
60107;10.0;3100.0;GRAND HOPITAL DE CHARLEROI;Charleroi;Hainaut;Siemens;SIEMENS- MAGNETOM SYMPHONY 1,5T;Utilisation clinique uniquement;CLINIQUE NOTRE-DAME DE GRACE
60108;10.0;3100.0;GRAND HOPITAL DE CHARLEROI;Charleroi;Hainaut;Siemens;SIEMENS-MAGNETOM Verio 3T;Utilisation clinique uniquement;CLINIQUE NOTRE-DAME DE GRACE
60109;10.0;3170.0;GRAND HOPITAL DE CHARLEROI;Gilly;Hainaut;Philips;PHILIPS-Ingenia 1.5T;Utilisation clinique uniquement;
60114;9.0;1180.0;ZIEKENHUISNETWERK ANTWERPEN VZW;Anvers;Anvers;GE;GE-Signa Explorer 1.5T;Utilisation clinique uniquement;
60115;96.0;3220.0;CENTRE HOSPITALIER UNIVERSITAIRE TIVOLI;La Louviere;Hainaut;Siemens;SIEMENS-MAGNETOM Avanto 1,5T;Utilisation clinique uniquement;
60117;9.0;2000.0;ZIEKENHUISNETWERK ANTWERPEN VZW;Anvers;Anvers;GE;GE-Signa Explorer 1.5T;Utilisation clinique uniquement;
60119;406.0;4210.0;CLINIQUES UNIVERSITAIRES DE BRUXELLES HOPITAL ERASME;Anderlecht;Bruxelles-Capitale;Philips;PHILIPS-Achieva 3.0T TX;Utilisation clinique uniquement;
60121;406.0;4210.0;CLINIQUES UNIVERSITAIRES DE BRUXELLES HOPITAL ERASME;Anderlecht;Bruxelles-Capitale;Philips;PHILIPS-Ingenia 3.0T;Utilisation clinique uniquement;
60123;246.0;3690.0;VIVALIA - CLINIQUE DU SUD-LUXEMBOURG;Arlon;Luxembourg;Siemens;SIEMENS-MAGNETOM Avanto 1,5T;Utilisation clinique uniquement;
60125;322.0;4230.0;UNIVERSITAIRE ZIEKENHUIZEN K.U.L.;Leuven;Brabant Flamand;Philips;PHILIPS-Ingenia 3.0T;Utilisation clinique uniquement;
60126;322.0;4230.0;UNIVERSITAIRE ZIEKENHUIZEN K.U.L.;Leuven;Brabant Flamand;Siemens;SIEMENS MAGNETOM AERA 1,5T;Utilisation clinique uniquement;
60130;143.0;4200.0;UNIVERSITAIR ZIEKENHUIS BRUSSEL;Jette;Bruxelles-Capitale;Siemens;SIEMENS-MAGNETOM Skyra 3T;Utilisation clinique uniquement;
60131;143.0;4200.0;UNIVERSITAIR ZIEKENHUIS BRUSSEL;Jette;Bruxelles-Capitale;Philips;PHILIPS-Intera 1.5T Master ;Utilisation clinique uniquement;
60132;143.0;4200.0;UNIVERSITAIR ZIEKENHUIS BRUSSEL;Jette;Bruxelles-Capitale;Philips;PHILIPS-Ingenia 3.0T;Utilisation clinique uniquement;
60136;714.0;3600.0;SINT-FRANCISCUSZIEKENHUIS;Heusden-Zolder;Limbourg;Siemens;SIEMENS AERA 1,5 T;Utilisation clinique uniquement;
60138;140.0;1000.0;ALGEMEEN ZIEKENHUIS ST. LUCAS;Bruges;Flandre Occidentale;GE;GE-Optima 450W;Utilisation clinique uniquement;
60139;410.0;3380.0;CENTRE HOSPITALIER EPICURA;Boussu;Hainaut;Siemens;SIEMENS AERA 1.5 T;Utilisation clinique uniquement;
60140;724.0;1910.0;CENTRE HOSPITALIER EPICURA;Ath;Hainaut;Siemens;SIEMENS AERA 1.5 T;Utilisation clinique uniquement;
60142;106.0;1340.0;ALGEMEEN ZIEKENHUIS SINT- MARIA;Halle;Brabant Flamand;Siemens;SIEMENS AERA 1,5 T;Utilisation clinique uniquement;
60143;550.0;1680.0;A.Z. GLORIEUX;Ronse;Flandre Orientale;GE;GE-Signa Pioneer 3.0T;Utilisation clinique uniquement;
60144;150.0;3440.0;HOPITAL UNIVERSITAIRE DES ENFANTS REINE FABIOLA;Bruxelles;Bruxelles-Capitale;Siemens;MAGNETON AREA 1.5T;Utilisation clinique uniquement;CHU BRUGMANN
60145;395.0;1170.0;ST.-ANDRIESZIEKENHUIS;Tielt;Flandre Occidentale;Philips;PHILIPS-Ingenia 3.0T;Utilisation clinique uniquement;AZ DELTA ROESELARE, SINT-JOZEFSKLINIEK IZEGEM
60146;42.0;2990.0;CENTRE HOSPITALIER BOIS DE L'ABBAYE;Seraing;Liège;Siemens;MAGNETOM SYMPHONY A TIM SYSTEM;Utilisation clinique uniquement;
60147;670.0;3850.0;UNIVERSITAIR ZIEKENHUIS;Gand;Flandre Orientale;Siemens;AERA;Utilisation clinique uniquement;
60150;706.0;3340.0;CLINIQUE ST.-LUC;Namur;Namur;GE;GE-Optima 450W;Utilisation clinique uniquement;
60151;;;VZW HETU;Herentals;Anvers;Siemens;SIEMENS AVANTO FIT;Utilisation clinique uniquement;AZ ST. ELISABETH HERENTALS VZW, AZ TURNHOUT VZW
60152;;;VZW HETU;Turnhout;Anvers;Siemens;AERA;Utilisation clinique uniquement;AZ HERENTALS, AZ TURNHOUT
60153;76.0;1520.0;CENTRE HOSPITALIER UNIVERSITAIRE ST. PIERRE;Bruxelles;Bruxelles-Capitale;GE;GE-DISCOVERY MR 450W GEM 1,5T 32CH;Utilisation clinique uniquement;
60154;371.0;3560.0;ZIEKENHUIS OOST-LIMBURG;Genk;Limbourg;Philips;PHILIPS-Ingenia 3.0T;Utilisation clinique uniquement;
60155;32.0;1845.0;ALGEMEEN ZIEKENHUIS ALMA;Eeklo;Flandre Orientale;Siemens;AERA;Utilisation clinique uniquement;
60157;713.0;1610.0;ALGEMEEN ZIEKENHUIS JAN PALFIJN;Gand;Flandre Orientale;Siemens Healthcare GmbH;SIEMENS-MAGNETOM Avanto Fit;Utilisation clinique uniquement;
60158;406.0;4210.0;CLINIQUES UNIVERSITAIRES DE BRUXELLES HOPITAL ERASME;Anderlecht;Bruxelles-Capitale;Siemens;SIEMENS MAGNETOM AERA 1.5T;Utilisation clinique uniquement;
60159;17.0;1605.0;ALGEMEEN ZIEKENHUIS MARIA MIDDELARES;Gand;Flandre Orientale;Philips;PHILIPS-Ingenia 3.0T;Utilisation clinique uniquement;
60160;99.0;1290.0;GZA- ZIEKENHUIZEN;Anvers;Anvers;Siemens;SIEMENS-MAGNETOM Skyra 3T;Utilisation clinique uniquement;
60162;168.0;3240.0;VIVALIA - CENTRE HOSPITALIER DE L'ARDENNE;Libramont-Chevigny;Luxembourg;Siemens Healthcare GmbH;MAGNETOM AERA;Utilisation clinique uniquement;
60163;534.0;2810.0;CENTRE HOSPITALIER DE WALLONIE PICARDE;Tournai;Hainaut;Siemens Healthcare GmbH;SIEMENS-MAGNETOM Avanto 1,5T;Utilisation clinique uniquement;
60164;723.0;1760.0;C.H. INTERREGIONAL EDITH CAVELL - SARE;Braine-L'Alleud;Brabant Wallon;Siemens;MAGNETOM AERA;Utilisation clinique uniquement;
60165;12.0;3460.0;ALGEMEEN ZIEKENHUIS ST. BLASIUS;Dendermonde;Flandre Orientale;Philips;PHILIPS-Ingenia 3T;Utilisation clinique uniquement;
60166;146.0;3200.0;CENTRES HOSPITALIERS JOLIMONT;La Louviere;Hainaut;Siemens;Skyra Fit;Utilisation clinique uniquement;
60167;9.0;2000.0;ZIEKENHUISNETWERK ANTWERPEN VZW;Anvers;Anvers;GE;SIGNA ARTIST;Utilisation clinique uniquement;
60168;20.0;3010.0;CENTRE HOSPITALIER REGIONAL DE VERVIERS;Verviers;Liège;Siemens;SIEMENS MAGNETOM AERA;Utilisation clinique uniquement;
60169;670.0;3850.0;UNIVERSITAIR ZIEKENHUIS;Gand;Flandre Orientale;Siemens;Prisma Fit;Utilisation clinique uniquement;
60170;332.0;6140.0;CHIREC - DELTA;Auderghem;Bruxelles-Capitale;Siemens;AERA;Utilisation clinique uniquement;
60171;254.0;2730.0;C.H.U. AMBROISE PARE;Mons;Hainaut;Philips;PHILIPS-Ingenia 1.5T;Utilisation clinique uniquement;
60172;392.0;6160.0;ALGEMEEN ZIEKENHUIS ZENO;Knokke-Heist;Flandre Occidentale;GE;SIGNA PIONEER EXPERT;Utilisation clinique uniquement;AZ SINT JAN BRUGGE OOSTENDE
60173;146.0;3200.0;CENTRES HOSPITALIERS JOLIMONT;La Louviere;Hainaut;Siemens;MAGNETOM  AERA;Utilisation clinique uniquement;
60174;322.0;4230.0;UNIVERSITAIRE ZIEKENHUIZEN K.U.L.;Leuven;Brabant Flamand;Philips;PHILIPS-Ingenia 1.5T;Utilisation clinique uniquement;
60175;57.0;2700.0;JAN YPERMAN ZIEKENHUIS;Ypres;Flandre Occidentale;Siemens;MAGNETOM SOLA;Utilisation clinique uniquement;
60176;322.0;4230.0;UNIVERSITAIRE ZIEKENHUIZEN K.U.L.;Leuven;Brabant Flamand;Philips;PHILIPS-Ingenia 3.0T;Utilisation clinique uniquement;
60178;39.0;3280.0;CHU UCL NAMUR;Yvoir;Namur;Siemens;MAGNETOM AERA;Utilisation clinique uniquement;
60179;26.0;6170.0;ALGEMEEN ZIEKENHUIS ST. MAARTEN;Mechelen;Anvers;Siemens;SIEMENS - MAGNETOM AERA 1,5T;Utilisation clinique uniquement;
60181;707.0;3860.0;CENTRE HOSPITALIER UNIVERSITAIRE SART-TILMAN;Liège;Liège;Siemens;SIEMENS-MAGNETOM-VIDA 3T;Utilisation clinique uniquement;
60183;166.0;3290.0;CHU UCL NAMUR - CLINIQUE STE. ELISABETH;Namur;Namur;Siemens;MAGNETOM AERA;Utilisation clinique uniquement;
60184;77.0;1570.0;CHU BRUGMANN;Bruxelles;Bruxelles-Capitale;Siemens;SIEMENS-MAGNETOM Avanto 1,5T;Utilisation clinique uniquement;
60186;104.0;1270.0;AZ RIVIERENLAND;Rumst;Anvers;Philips;PHILIPS-Ingenia 3.0T;Utilisation clinique uniquement;
60187;49.0;1010.0;A.Z. ST. JAN BRUGGE - OOSTENDE;Bruges;Flandre Occidentale;Philips;Ingenia Elition X 3T;Utilisation clinique uniquement;
60188;243.0;3590.0;JESSA ZIEKENHUIS;Hasselt;Limbourg;Philips;Ingenia Elition X 3T;Utilisation clinique uniquement;
60189;243.0;3590.0;JESSA ZIEKENHUIS;Hasselt;Limbourg;Philips;AMBITION X 1,5T;Utilisation clinique uniquement;
