MID-ID;Toestelnummer;Erkenningsnummer;Campusnummer;Naam exploitant;Gemeente;Provincie / Brussels Hoofdstedelijk Gewest ;Fabrikant;Model;Ziekenhuizen in associatie
MID-000432;50137;719;3615;NOORDERHART - MARIAZIEKENHUIS - MARIAZIEKENHUIS;Pelt;Limburg;GE;Discovery 670 NM/CT ES;
MID-000433;50138;332;6140;CHIREC - DELTA - DELTA;Oudergem;Brussels Hoofdstedelijk Gewest;Philips;PHILIPS-BrightView-XCT;
MID-000434;50139;332;6140;CHIREC - DELTA - DELTA;Oudergem;Brussels Hoofdstedelijk Gewest;GE;GE-Discovery NM/CT 670;
MID-000435;50140;392;6160;AZ ZENO - AZ ZENO KNOKKE-HEIST;Knokke-Heist;West-Vlaanderen;GE;GE-Optima NM/CT 640;
MID-000436;50141;99;2020;GZA- ZIEKENHUIZEN - GZA - SINT-VINCENTIUS;Antwerpen;Antwerpen;GE;GE-Discovery NM/CT 670;
MID-000437;50142;76;1500;CHU SAINT-PIERRE - CESAR DE PAEPE;Brussel;Brussels Hoofdstedelijk Gewest;GE;NMCT DISCOVERY 870DR;
MID-000438;50143;243;3590;JESSA ZIEKENHUIS - VIRGA JESSE;Hasselt;Limburg;Philips;PHILIPS-BrightView-XCT;
MID-000439;50144;322;4230;UZ LEUVEN - GASTHUISBERG;Leuven;Vlaams Brabant;Siemens;Symbia Intevo 16;
MID-000440;50145;15;2850;ST. NIKOLAUS HOSPITAL - ST. NIKOLAUS;Eupen;Luik;GE;GE-Infinia Hawkeye;
MID-000441;50146;26;6170;AZ SINT-MAARTEN - AZ SINT-MAARTEN;Mechelen;Antwerpen;GE;GE-Discovery NM/CT 670;
MID-000442;50147;168;3240;VIVALIA - CENTRE HOSPITALIER CENTRE ARDENNE - HOPITAL DE LIBRAMONT;Libramont-Chevigny;Luxemburg;GE;DISCOVERY D870 CZT;
MID-000444;50149;12;3460;AZ SINT-BLASIUS - DENDERMONDE;Dendermonde;Oost-Vlaanderen;GE;DISCOVERY / CT 870 CZT;
MID-000445;50150;143;4200;UNIVERSITAIR ZIEKENHUIS BRUSSEL - U.Z. BRUSSEL;Jette;Brussels Hoofdstedelijk Gewest;Siemens;SIEMENS-Symbia Intevo Bold;
MID-000446;50151;724;1910;CENTRE HOSPITALIER EPICURA - SITE ATH - EPICURA ATH;Aat;Henegouwen;GE;Discovery NM/CT 850;
MID-000447;50152;104;2060;AZ RIVIERENLAND - BORNEM;Bornem;Antwerpen;GE;GE-Discovery NM/CT 670 DR;
MID-000448;50153;126;1780;ONZE-LIEVE-VROUW ZIEKENHUIS - OLV ZIEKENHUIS AALST;Aalst;Oost-Vlaanderen;Siemens;SIEMENS-Symbia Intevo Bold;
MID-000449;50154;534;2830;CENTRE HOSPITALIER DE WALLONIE PICARDE - UNION TOURNAI;Doornik;Henegouwen;GE;DISCOVERY 870 CZT;
MID-000450;50155;332;6180;CHIREC - DELTA - CENTRE MEDICAL EDITH CAVELL;Ukkel;Brussels Hoofdstedelijk Gewest;Siemens;SIEMENS-Symbia T;
MID-000451;50156;143;4200;UNIVERSITAIR ZIEKENHUIS BRUSSEL - U.Z. BRUSSEL;Jette;Brussels Hoofdstedelijk Gewest;Siemens;SIEMENS-Symbia Intevo Bold;
MID-000452;50157;264;3260;CHU UCL NAMUR - HOPITAL DINANT - CHU UCL NAMUR - SITE ST.VINCENT;Dinant;Namen;Mediso;MEDISO-AnyScan SC;
MID-000453;50158;176;1820;A.S.Z. - AUTONOME VERZORGINGSINSTELLING - ASZ GERAARDSBERGEN;Geraardsbergen;Oost-Vlaanderen;Siemens;SIEMENS-Symbia Intevo Bold;
MID-000454;50160;713;1610;AZ JAN PALFIJN - JAN PALFIJN;Gent;Oost-Vlaanderen;GE;Discovery 870 DR;
MID-000455;50161;7;2790;CHR HAUTE SENNE - LE TILLERIAU SOIGNIES;Zinnik;Henegouwen;GE;GE-NM/CT 860;
MID-000456;50162;158;2970;GROUPE SANTE CHC - SITE HERMALLE ET HEUSY - CLINIQUE CHC HEUSY;Verviers;Luik;GE;GE-NM/CT 870 DR;
MID-000457;50163;20;3010;CHR VERVIERS - EAST BELGIUM - LA TOURELLE;Verviers;Luik;GE;NM/CT Discovery 870;
MID-000458;50164;77;1570;CHU BRUGMANN - VICTOR HORTA;Brussel;Brussels Hoofdstedelijk Gewest;Siemens;SIEMENS-Symbia Intevo bold;HUDERF
MID-000459;50165;117;6210;AZ DELTA - AZ DELTA RUMBEKE;Roeselare;West-Vlaanderen;Siemens;SIEMENS-Symbia Intevo;
MID-000460;50166;117;6210;AZ DELTA - AZ DELTA RUMBEKE;Roeselare;West-Vlaanderen;Siemens;SIEMENS-Symbia T;
MID-000461;50167;117;6210;AZ DELTA - AZ DELTA RUMBEKE;Roeselare;West-Vlaanderen;Siemens;SIEMENS-Symbia Intevo Bold;
MID-000462;50168;152;6200;GROUPE SANTE CHC - SITE MONTLEGIA LIEGE ET WAREMME - CLINIQUE CHC MONTLEGIA;Luik;Luik;Philips;PHILIPS-BrightView-XCT;
MID-000463;50169;152;6200;GROUPE SANTE CHC - SITE MONTLEGIA LIEGE ET WAREMME - CLINIQUE CHC MONTLEGIA;Luik;Luik;GE;GE-NM/CT 870 DR;
MID-000464;50170;152;6200;GROUPE SANTE CHC - SITE MONTLEGIA LIEGE ET WAREMME - CLINIQUE CHC MONTLEGIA;Luik;Luik;GE;GE-NM/CT 870 DR;
MID-000465;50171;536;2090;AZ VOORKEMPEN - AZ VOORKEMPEN MALLE;Malle;Antwerpen;GE;Discovery NMCT 870 DR;
MID-000466;50172;706;3340;CLINIQUE ST.-LUC - ST. LUC BOUGE;Namen;Namen;GE;GE-NM/CT 870 DR;
MID-000467;50173;140;1000;AZ SINT-LUCAS - SINT- LUCAS;Brugge;West-Vlaanderen;Siemens;SIEMENS-Symbia Intevo Bold;
MID-000468;50174;246;3690;VIVALIA - HOPITAL ARLON ET VIRTON - HOPITAL ARLON;Aarlen;Luxemburg;GE;GE DISCOVERY NM/CT 870 CZT;
MID-000469;50175;49;1930;AZ SINT-JAN BRUGGE - OOSTENDE - HENRI SERRUYS OOSTENDE;Oostende;West-Vlaanderen;Siemens;SIEMENS-Symbia Intevo Bold;
MID-000470;50176;410;3060;CENTRE HOSPITALIER EPICURA - SITE HORNU - BAUDOUR - EPICURA BAUDOUR;Saint-Ghislain;Henegouwen;GE;Discovery NMCT 850;
MID-000471;50177;410;3060;CENTRE HOSPITALIER EPICURA - SITE HORNU - BAUDOUR - EPICURA BAUDOUR;Saint-Ghislain;Henegouwen;GE;Discovery NMCT 860;
MID-000472;50178;689;2040;IMELDA ZIEKENHUIS - IMELDA;Bonheiden;Antwerpen;Siemens;SIEMENS-Symbia Intevo Bold;
MID-000473;50179;111;1420;EUROPAZIEKENHUIZEN V.Z.W. - ST. MICHIEL;Etterbeek;Brussels Hoofdstedelijk Gewest;Siemens;SIEMENS-Symbia Intevo;
MID-000474;50180;17;1605;AZ MARIA MIDDELARES - AZ MARIA MIDDELARES;Gent;Oost-Vlaanderen;Siemens;SIEMENS-Symbia Intevo Bold;
MID-000475;50181;103;3310;CHR SAMBRE ET MEUSE (SITE SAMBRE) - CHRSM - SITE SAMBRE;Sambreville;Namen;Mediso;ANYSCAN SC TRIO;
MID-000476;50182;168;3720;VIVALIA - CENTRE HOSPITALIER CENTRE ARDENNE - HOPITAL DE BASTOGNE;Bastenaken;Luxemburg;GE;GE-NM/CT 860;
MID-000477;50183;109;1370;RZ HEILIG HART TIENEN - MARIENDAL;Tienen;Vlaams Brabant;Siemens;SIEMENS-Symbia Intevo Bold;
MID-000478;50184;109;1380;RZ HEILIG HART TIENEN - MEDISCH CENTRUM AARSCHOT;Aarschot;Vlaams Brabant;Siemens;SIEMENS-Symbia T;
MID-000479;50185;42;2990;CENTRE HOSPITALIER BOIS DE L'ABBAYE - CHBA SERAING;Seraing;Luik;SPECTRUM DYNAMICS MEDICAL;VERITON CT;
MID-000480;50186;96;3220;CHU TIVOLI - CHU TIVOLI;La Louvière;Henegouwen;GE;Discovery 870 DR;
MID-000659;50187;403;4190;CLINIQUES UNIVERSITAIRES ST.-LUC - ST. LUC BRUXELLES;Sint-Lambrechts-Woluwe;Brussels Hoofdstedelijk Gewest;GE;SPECT/CT CZT STARGUIDE;
MID-000660;50188;254;2730;C.H.U. AMBROISE PARE - AMBROISE PARE;Bergen;Henegouwen;GE;GE DISCOVERY 870 DR;
MID-000661;50189;406;4210;CLINIQUES UNIVERSITAIRES DE BRUXELLES HOPITAL ERASME - ERASME;Anderlecht;Brussels Hoofdstedelijk Gewest;GE;Starguide;
MID-000662;50190;79;6220;JULES BORDET INSTITUT - NEW BORDET;Anderlecht;Brussels Hoofdstedelijk Gewest;GE;GE DISCOVERY 870 DR;
MID-000663;50191;79;6220;JULES BORDET INSTITUT - NEW BORDET;Anderlecht;Brussels Hoofdstedelijk Gewest;GE;SPECT/CT CZT STARGUIDE;
MID-000664;50192;707;3860;CENTRE HOSPITALIER UNIVERSITAIRE SART-TILMAN - SART-TILMAN;Luik;Luik;Siemens;SIEMENS-Symbia Intevo Bold;
MID-000665;50193;707;3860;CENTRE HOSPITALIER UNIVERSITAIRE SART-TILMAN - SART-TILMAN;Luik;Luik;SPECTRUM DYNAMICS MEDICAL SA;SPECTRUM CZT - VERITON CT64;
MID-000666;50194;111;1400;EUROPAZIEKENHUIZEN V.Z.W. - ST. ELISABETH;Ukkel;Brussels Hoofdstedelijk Gewest;Siemens;SIEMENS-Symbia Intevo Excel;
MID-000667;50195;111;1400;EUROPAZIEKENHUIZEN V.Z.W. - ST. ELISABETH;Ukkel;Brussels Hoofdstedelijk Gewest;Siemens;SIEMENS-Symbia Intevo;
MID-000668;50196;124;1920;SINT-JOZEFSKLINIEK - SINT-JOZEFSKLINIEK;Izegem;West-Vlaanderen;GE;GE-NMCT 870 DR;
MID-000669;50197;371;3560;ZIEKENHUIS OOST-LIMBURG - SINT-JAN GENK;Genk;Limburg;Siemens;SYMBIA INTEVO BOLD;
MID-000670;50198;76;1520;CHU SAINT-PIERRE - PORTE DE HAL;Brussel;Brussels Hoofdstedelijk Gewest;Siemens;SIEMENS-Symbia Intevo;
MID-000370;50199;412;3410;HOPITAL DE LA CITADELLE - CITADELLE;Luik;Luik;GE;GE-Discovery NM/CT 670;
MID-000693;50200;719;3615;NOORDERHART - MARIAZIEKENHUIS - MARIAZIEKENHUIS;Pelt;Limburg;GE;GE-NM/CT 870 CZT;
MID-000671;50201;412;3410;HOPITAL DE LA CITADELLE - CITADELLE;Luik;Luik;GE;STARGUIDE;
MID-000672;50202;43;1730;CLINIQUE SAINT PIERRE - ST. PIERRE OTTIGNIES;Ottignies-Louvain-la-Neuve;Waals Brabant;Siemens;SIEMENS-Symbia Intevo Bold;
MID-001016;50203;709;2690;ZIEKENHUIS GEEL - ZIEKENHUIS GEEL;Geel;Antwerpen;GE;GE-NM/CT 860;
