Numéro d'appareil;Numéro d'agrément;Numéro de campus;Nom de l'exploitant;Commune;Province/Région de Région de Bruxelles-Capitale;Fabricant;Modèle;Type d'utilisation;Hopitaux en association
10159;111;1400;EUROPAZIEKENHUIZEN V.Z.W.;Uccle;Région de Bruxelles-Capitale;Siemens;SIEMENS-SOMATOM Definition Flash;;
10165;332;1740;CHIREC - DELTA;Uccle;Région de Bruxelles-Capitale;Siemens;SIEMENS-SOMATOM Sensation;;
10167;723;1760;C.H. INTERREGIONAL EDITH CAVELL - SARE;Braine-L'Alleud;Brabant Wallon;Siemens;SIEMES-SOMATOM Definition AS;;
10170;243;3590;JESSA ZIEKENHUIS;Hasselt;Limbourg;Toshiba;TOSHIBA-Aquilion One Vision;;
10172;43;1730;CLINIQUE SAINT PIERRE;Ottignies-Louvain-La-Neuve;Brabant Wallon;Siemens;SIEMES-SOMATOM Definition AS;;
10173;12;3480;ALGEMEEN ZIEKENHUIS ST. BLASIUS;Zele;Flandre orientale;Philips;PHILIPS-MX 16;;
10174;68;2870;CENTRE HOSPITALIER REGIONAL DE HUY;Huy;Liège;Siemens;SIEMENS-SOMATOM Definition Flash;;
10175;17;1605;ALGEMEEN ZIEKENHUIS MARIA MIDDELARES;Gand;Flandre Orientale;Siemens;SIEMENS-SOMATOM Definition Flash;;
10177;17;1850;ALGEMEEN ZIEKENHUIS MARIA MIDDELARES;Gand;Flandre Orientale;GE;GE-LightSpeed VCT;;
10178;264;3260;CHU UCL NAMUR - SITE DE DINANT;Dinant;Namur;Toshiba;TOSHIBA-Astelion advance;;
10179;264;3260;CHU UCL NAMUR - SITE DE DINANT;Dinant;Namur;Toshiba;TOSHIBA-Aquilion Prime;;
10180;243;3590;JESSA ZIEKENHUIS;Hasselt;Limbourg;Philips;PHILIPS-Brilliance Big Bore;;
10184;266;2710;CHR MONS - HAINAUT;Mons;Hainaut;Siemens;SIEMENS-SOMATOM Emotion;;
10185;266;2710;CHR MONS - HAINAUT;Mons;Hainaut;Siemens;SIEMENS-SOMATOM Sensation;;
10186;266;2720;CHR MONS - HAINAUT;Boussu;Hainaut;Siemens;SIEMENS-SOMATOM Emotion;;
10187;10;3100;GRAND HOPITAL DE CHARLEROI;Charleroi;Hainaut;Siemens;SIEMES-SOMATOM Definition AS;;
10188;10;3100;GRAND HOPITAL DE CHARLEROI;Charleroi;Hainaut;Siemens;SIEMENS-SOMATOM Sensation;;
10189;10;3170;GRAND HOPITAL DE CHARLEROI;Gilly;Hainaut;Toshiba;TOSHIBA-Aquilion One Vision;;
10190;10;3170;GRAND HOPITAL DE CHARLEROI;Gilly;Hainaut;Siemens;SIEMENS-SOMATOM Emotion;;
10191;10;3190;GRAND HOPITAL DE CHARLEROI;Montignies-Sur-Sambre;Hainaut;Siemens;SIEMENS-SOMATOM Emotion;;
10192;10;3180;GRAND HOPITAL DE CHARLEROI;Gerpinnes;Hainaut;Siemens;SIEMENS-SOMATOM Emotion;;
10194;525;1940;ALGEMEEN ZIEKENHUIS DAMIAAN;Ostende;Flandre Occidentale;Siemens;SIEMENS-SOMATOM Definition Flash;;
10195;525;1940;ALGEMEEN ZIEKENHUIS DAMIAAN;Ostende;Flandre Occidentale;Siemens;SIEMENS-SOMATOM Emotion;;
10196;20;3010;CENTRE HOSPITALIER REGIONAL DE VERVIERS;Verviers;Liège;Siemens;SIEMENS-SOMATOM Definition AS;;
10197;20;3010;CENTRE HOSPITALIER REGIONAL DE VERVIERS;Verviers;Liège;Siemens;SIEMENS-SOMATOM Definition AS+;;
10202;707;3860;CENTRE HOSPITALIER UNIVERSITAIRE SART-TILMAN;Liège;Liège;Siemens;SIEMENS-SOMATOM Emotion;;
10203;707;3870;CENTRE HOSPITALIER UNIVERSITAIRE SART-TILMAN;Esneux;Liège;Siemens;SIEMENS-SOMATOM Emotion;;
10204;707;3860;CENTRE HOSPITALIER UNIVERSITAIRE SART-TILMAN;Liège;Liège;Philips;PHILIPS-Brilliance Big Bore;;
10205;707;2840;CENTRE HOSPITALIER UNIVERSITAIRE SART-TILMAN;Chênée;Liège;GE;GE-Brightspeed Elite;;
10206;707;3860;CENTRE HOSPITALIER UNIVERSITAIRE SART-TILMAN;Liège;Liège;GE;GE-Brightspeed Elite;;
10208;290;1630;ALGEMEEN ZIEKENHUIS ST. LUCAS;Gand;Flandre Orientale;GE;GE-Brightspeed Elite;;
10212;265;1650;ALGEMEEN ZIEKENHUIS LOKEREN;Lokeren;Flandre Orientale;Toshiba;TOSHIBA-Aquilion ONE;;
10213;396;1090;ALGEMEEN ZIEKENHUIS GROENINGE;Kortrijk;Flandre Occidentale;GE;GE-Discovery CT750 HD;;
10217;143;4200;UNIVERSITAIR ZIEKENHUIS BRUSSEL;Jette;Région de Bruxelles-Capitale;Philips;BRILLIANCE ICT 256;;
10220;143;4200;UNIVERSITAIR ZIEKENHUIS BRUSSEL;Jette;Région de Bruxelles-Capitale;GE;GE-Discovery CT750 HD;;
10221;143;4200;UNIVERSITAIR ZIEKENHUIS BRUSSEL;Jette;Région de Bruxelles-Capitale;GE;GE-Revolution CT;;
10222;713;1610;ALGEMEEN ZIEKENHUIS JAN PALFIJN;Gand;Flandre Orientale;GE;GE-LightSpeed VCT;;
10225;146;3200;CENTRES HOSPITALIERS JOLIMONT;La Louviere;Hainaut;Siemens;SIEMENS-SOMATOM Definition AS+;;
10227;146;3200;CENTRES HOSPITALIERS JOLIMONT;La Louviere;Hainaut;Siemens;SIEMENS-SOMATOM Definition Flash;;
10228;146;3210;CENTRES HOSPITALIERS JOLIMONT;Lobbes;Hainaut;Siemens;SIEMENS-SOMATOM Definition AS;;
10229;9;2000;ZIEKENHUISNETWERK ANTWERPEN VZW;Anvers;Anvers;Philips;PHILIPS-Brilliance;;
10230;9;1180;ZIEKENHUISNETWERK ANTWERPEN VZW;Anvers;Anvers;Philips;PHILIPS-Ingenuity Core;;
10231;96;3220;CENTRE HOSPITALIER UNIVERSITAIRE TIVOLI;La Louviere;Hainaut;Siemens;SIEMENS-SOMATOM Definition AS+;;
10232;96;3220;CENTRE HOSPITALIER UNIVERSITAIRE TIVOLI;La Louviere;Hainaut;Toshiba;TOSHIBA-Aquilion One Vision;;
10233;9;2000;ZIEKENHUISNETWERK ANTWERPEN VZW;Anvers;Anvers;Toshiba;Aquilion One;;
10234;9;1190;ZIEKENHUISNETWERK ANTWERPEN VZW;Borgerhout;Anvers;Philips;PHILIPS-Brilliance;;
10235;9;3360;ZIEKENHUISNETWERK ANTWERPEN VZW;Merksem;Anvers;Siemens;SIEMENS-SOMATOM Definition Flash;;
10236;406;4210;CLINIQUES UNIVERSITAIRES DE BRUXELLES HOPITAL ERASME;Anderlecht;Région de Bruxelles-Capitale;Siemens;SIEMENS-SOMATOM Sensation;;
10237;406;4210;CLINIQUES UNIVERSITAIRES DE BRUXELLES HOPITAL ERASME;Anderlecht;Région de Bruxelles-Capitale;Siemens;SIEMENS-SOMATOM Emotion;;
10238;406;4210;CLINIQUES UNIVERSITAIRES DE BRUXELLES HOPITAL ERASME;Anderlecht;Région de Bruxelles-Capitale;Siemens;SIEMENS-SOMATOM Force;;
10240;246;3700;VIVALIA - CLINIQUE DU SUD-LUXEMBOURG;Saint-Mard;Luxembourg;Siemens;SIEMENS-SOMATOM Emotion;;
10241;246;3690;VIVALIA - CLINIQUE DU SUD-LUXEMBOURG;Arlon;Luxembourg;Siemens;SIEMENS-SOMATOM Perspective;;
10242;246;3690;VIVALIA - CLINIQUE DU SUD-LUXEMBOURG;Arlon;Luxembourg;Siemens;SIEMENS-SOMATOM Force;;
10243;322;4230;UNIVERSITAIRE ZIEKENHUIZEN K.U.L.;Leuven;Brabant Flamand;Philips;PHILIPS-Ingenuity Core;;
10244;322;4230;UNIVERSITAIRE ZIEKENHUIZEN K.U.L.;Leuven;Brabant Flamand;Siemens;SIEMENS-SOMATOM Definition Flash;;
10248;322;4230;UNIVERSITAIRE ZIEKENHUIZEN K.U.L.;Leuven;Brabant Flamand;Siemens;SIEMENS-SOMATOM Definition Flash;;
10249;322;4230;UNIVERSITAIRE ZIEKENHUIZEN K.U.L.;Leuven;Brabant Flamand;Toshiba;TOSHIBA-Aquilion One Vision;;
10250;322;4230;UNIVERSITAIRE ZIEKENHUIZEN K.U.L.;Leuven;Brabant Flamand;Siemens;SIEMENS-SOMATOM Force;;
10251;403;4190;CLINIQUES UNIVERSITAIRES ST.-LUC;Woluwe-Saint-Lambert;Région de Bruxelles-Capitale;Philips;PHILIPS-IQon;;
10254;77;1570;CHU BRUGMANN;Bruxelles;Région de Bruxelles-Capitale;Siemens;SIEMES-SOMATOM Definition AS;;
10255;140;1000;ALGEMEEN ZIEKENHUIS ST. LUCAS;Bruges;Flandre Occidentale;Siemens;SIEMENS-SOMATOM Definition Flash;;
10256;410;3060;CENTRE HOSPITALIER EPICURA;Baudour;Hainaut;Siemens;SIEMENS-SOMATOM Definition AS+;;
10257;410;3380;CENTRE HOSPITALIER EPICURA;Boussu;Hainaut;GE;GE-LightSpeed Ultra;;
10258;410;3380;CENTRE HOSPITALIER EPICURA;Boussu;Hainaut;GE;GE-LightSpeed VCT;;
10259;410;3390;CENTRE HOSPITALIER EPICURA;Frameries;Hainaut;GE;BRIGHTSPEED VELOCITY;;
10260;724;1910;CENTRE HOSPITALIER EPICURA;Ath;Hainaut;Siemens;SIEMENS-SOMATOM Definition AS+;;
10261;4;2950;CLINIQUE REINE ASTRID;Malmedy;Liège;GE;GE-Optima CT540;;
10263;412;3410;CENTRE HOSPITALIER REGIONAL DE LA CITADELLE;Liège;Liège;Mobius Imaging;AIRO;;
10264;150;3440;HOPITAL UNIVERSITAIRE DES ENFANTS REINE FABIOLA;Bruxelles;Région de Bruxelles-Capitale;Siemens;SIEMENS-SOMATOM Sensation;;
10267;42;2990;CENTRE HOSPITALIER BOIS DE L'ABBAYE;Seraing;Liège;Siemens;SIEMENS-SOMATOM Definition AS+;;
10268;42;2990;CENTRE HOSPITALIER BOIS DE L'ABBAYE;Seraing;Liège;Siemens;SIEMENS-SOMATOM Definition Flash;;
10269;42;3000;CENTRE HOSPITALIER BOIS DE L'ABBAYE;Waremme;Liège;Siemens;SIEMENS-SOMATOM Emotion;;
10270;346;1710;CENTRES HOSPITALIERS JOLIMONT;Nivelles;Brabant wallon;Siemens;SIEMES-SOMATOM Definition AS 128;;
10271;346;1720;CENTRES HOSPITALIERS JOLIMONT;Tubize;Brabant wallon;Siemens;SIEMENS-SOMATOM Emotion;;
10272;77;1571;CHU BRUGMANN;Neder-Over-Heembeek;Région de Bruxelles-Capitale;Siemens;SIEMENS-SOMATOM Definition AS+;;
10273;106;1340;ALGEMEEN ZIEKENHUIS SINT- MARIA;Halle;Brabant Flamand;Siemens;SIEMENS-SOMATOM Definition AS+;;
10274;87;1540;HOPITAUX IRIS SUD - IRIS ZIEKENHUIZEN ZUID;Anderlecht;Région de Bruxelles-Capitale;GE;GE-Revolution Evo;;
10275;689;2040;IMELDA ZIEKENHUIS;Bonheiden;Anvers;Siemens;SIEMENS SOMATOM FORCE;;
10276;322;4230;UNIVERSITAIRE ZIEKENHUIZEN K.U.L.;Leuven;Brabant Flamand;Brainlab;AIRO;;
10277;126;1790;ONZE LIEVE VROUW ZIEKENHUIS;Ninove;Flandre Orientale;Siemens;SIEMENS-SOMATOM Perspective;;
10278;87;1560;HOPITAUX IRIS SUD - IRIS ZIEKENHUIZEN ZUID;Ixelles;Région de Bruxelles-Capitale;GE;REVOLUTION EVO;;
10279;396;1090;ALGEMEEN ZIEKENHUIS GROENINGE;Kortrijk;Flandre Occidentale;GE;GE-Optima CT580W;;
10281;371;3560;ZIEKENHUIS OOST-LIMBURG;Genk;Limbourg;Siemens;SIEMENS-SOMATOM Force;;
10282;23;2860;CLINIQUE ANDRE RENARD;Herstal;Liège;Toshiba;TOSHIBA-Aquilion Prime;;
10283;143;4200;UNIVERSITAIR ZIEKENHUIS BRUSSEL;Jette;Région de Bruxelles-Capitale;GE;GE-Revolution CT;;
10284;396;1090;ALGEMEEN ZIEKENHUIS GROENINGE;Kortrijk;Flandre Occidentale;GE;GE-Revolution Evo;;
10285;396;1090;ALGEMEEN ZIEKENHUIS GROENINGE;Kortrijk;Flandre Occidentale;GE;GE-Revolution CT;;
10286;32;1845;ALGEMEEN ZIEKENHUIS ALMA;Eeklo;Flandre Orientale;GE;GE-Revolution CT;;
10287;412;3420;CENTRE HOSPITALIER REGIONAL DE LA CITADELLE;Liège;Liège;Siemens;Somatom Scope Power 32;;
10288;716;3670;ALGEMEEN ZIEKENHUIS VESALIUS;Tongeren;Limbourg;GE;GE-Revolution CT;;
10289;7;2790;CENTRE HOSPITALIER DE LA HAUTE SENNE;Soignies;Hainaut;GE HEALTHCARE;REVOLUTION DISCOVERY CT;;
10290;168;3240;VIVALIA - CENTRE HOSPITALIER DE L'ARDENNE;Libramont-Chevigny;Luxembourg;Siemens;Somatom Perspective 128;;
10291;247;2770;CENTRE HOSPITALIER DE MOUSCRON;Mouscron;Hainaut;Toshiba;Aquilion Prime 160 (TSX-303A/BK);;
10292;63;1280;ALGEMEEN ZIEKENHUIS TURNHOUT;Turnhout;Anvers;GE;GE-Revolution CT;;
10293;406;4210;CLINIQUES UNIVERSITAIRES DE BRUXELLES HOPITAL ERASME;Anderlecht;Région de Bruxelles-Capitale;Siemens;SIEMENS SOMATOM DEFINITION AS ;;
10294;247;2770;CENTRE HOSPITALIER DE MOUSCRON;Mouscron;Hainaut;Toshiba;Aquilion Prime 80 (TSX-303A/AC);;
10295;124;1920;ST.-JOZEFSKLINIEK;Izegem;Flandre Occidentale;GE;GE-Revolution Evo;;
10296;168;3240;VIVALIA - CENTRE HOSPITALIER DE L'ARDENNE;Libramont-Chevigny;Luxembourg;Siemens Healthcare GmbH;SOMATOM Force;;
10297;412;3410;CENTRE HOSPITALIER REGIONAL DE LA CITADELLE;Liège;Liège;Siemens;SOMATOM GO UP;;
10299;717;6120;ZIEKENHUIS MAAS EN KEMPEN V.Z.W.;Maaseik;Limbourg;GE;GE-Revolution Evo;;
10300;77;1590;CHU BRUGMANN;Schaerbeek;Région de Bruxelles-Capitale;Siemens;Somatom Definition AS128;;
10302;158;2940;GROUPE SANTE CHC;"Hermalle-Sous
-Argenteau";Liège;GE;GE-Brightspeed Elite;;
10303;332;6140;CHIREC - DELTA;Auderghem;Région de Bruxelles-Capitale;Siemens;SIEMES-SOMATOM Definition AS;;
10304;332;6140;CHIREC - DELTA;Auderghem;Région de Bruxelles-Capitale;Siemens;SIEMENS-SOMATOM Force;;
10305;332;6140;CHIREC - DELTA;Auderghem;Région de Bruxelles-Capitale;Siemens;SOMATOM CONFIDENCE;;
10306;290;1630;ALGEMEEN ZIEKENHUIS ST. LUCAS;Gand;Flandre Orientale;GE;DISCOVERY 590 RT;;
10308;257;2980;KLINIK ST.-JOSEF;Sankt Vith;Liège;Siemens;SIEMENS-SOMATOM Definition Edge;;
10309;164;3720;VIVALIA - IFAC;Bastogne;Luxembourg;Siemens;Somatom Definition AS128;;
10310;595;1860;ALGEMEEN ZIEKENHUIS NIKOLAAS;Sint-Niklaas;Flandre Orientale;GE;GE-Revolution CT;;
10311;392;6160;ALGEMEEN ZIEKENHUIS ZENO;Knokke-Heist;Flandre Occidentale;GE;GE-Revolution CT;;
