Numéro d'appareil;Numéro d'agrément;Numéro de campus;Nom de l'exploitant;Commune;Province/Région de Bruxelles-Capitale;Fabricant;Modèle;Type d'utilisation;Hopitaux en association
30029;670;3850.0;UNIVERSITAIR ZIEKENHUIS;GAND;Flandre Orientale;GE MEDICAL SYSTEMS;DISCOVERY MI ;Utilisation clinique et scientifique;
30030;689;2040.0;IMELDA ZIEKENHUIS;BONHEIDEN;Anvers;Siemens;BIOGRAPH MCT 40 FLOW;Utilisation clinique uniquement;"IMELDA ZIEKENHUIS
AZ ST-MAARTEN
HEILIG HART ZIEKENHUIS LIER
AZ DIEST
RZ HEILIG HART TIENEN
RZ HEILIG HART LEUVEN
AZ JAN PORTAELS"
30031;534;2830.0;CENTRE HOSPITALIER DE WALLONIE PICARDE;TOURNAI;Hainaut;GE;DISCOVERY MI;Utilisation clinique uniquement;CHM - EPICURA
30032;406;4210.0;CLINIQUES UNIVERSITAIRES DE BRUXELLES HOPITAL ERASME;ANDERLECHT;Région Bruxelles Cap.;Philips;Philips-Vereos PET/CT;Utilisation clinique et scientifique;
30033;332;6140.0;CHIREC - DELTA;AUDERGHEM;Région Bruxelles Cap.;GE;DISCOVERY MI;Utilisation clinique uniquement;
30034;290;1630.0;AZ SINT-LUCAS;GAND;Flandre Orientale;Siemens;Biograph mCT Flow 40;Utilisation clinique et scientifique;"AZ ALMA EEKLO; AZ JAN PALFIJN GENT; SV ZIEKENHUIS DEINZE"
30035;126;1780.0;ONZE-LIEVE-VROUW ZIEKENHUIS;ALOST;Flandre Orientale;Siemens;Biograph mCT 40 Flow;Utilisation clinique uniquement;ASSOCIATIE ZUID OOST VLAANDEREN
30036;403;4190.0;CLINIQUES UNIVERSITAIRES ST.-LUC;WOLUWE-SAINT-LAMBERT;Région Bruxelles Cap.;Philips;Philips-Vereos PET/CT;Utilisation clinique et scientifique;
30037;322;4230.0;UZ LEUVEN;LOUVAIN;Brabant Flamand;GE;DISCOVERY MI;Utilisation clinique et scientifique;
30038;9;3360.0;ZIEKENHUISNETWERK ANTWERPEN (ZNA);ANVERS;Anvers;Philips;Philips-Vereos PET/CT;Utilisation clinique uniquement;GZA UZA MONICA KLINA MALLE BORNEM RUMST
30039;243;3590.0;JESSA ZIEKENHUIS;HASSELT;Limbourg;Philips;Philips-Vereos PET/CT;Utilisation clinique uniquement;VZW JESSA - ZIEKENHUIS OOST LIMBURG AV - AZ VESALIUS AV - VZW MARIAZIEKENHUIS NOORD-LIMBURG - VZW ZIEKENHUIS MAAS EN KEMPEN - VZW REGIONAAL ZIEKENHUIS SINT-TRUDO - VZW SINT-FRANCISKUSZIEKENHUIS - UNIVERSITAIRE ZIEKENHUIZEN K.U.L.
30040;300;4220.0;UNIVERSITAIR ZIEKENHUIS ANTWERPEN;EDEGEM;Anvers;GE;DISCOVERY MI;Utilisation clinique et scientifique;
30041;403;4190.0;CLINIQUES UNIVERSITAIRES ST.-LUC;WOLUWE-SAINT-LAMBERT;Région Bruxelles Cap.;Philips;Philips-Gemini TF PET/CT;Utilisation clinique et scientifique;
30042;99;1290.0;GZA- ZIEKENHUIZEN;ANVERS;Anvers;Philips;Philips-Vereos PET/CT;Utilisation clinique uniquement;UZA - ZNA Q105AZ MONICA - AZ KLINA - AZ ST JOZEF MALLE - SINT JOZEFKLINIEK BORNEM - AZ HEILIGE FAMILIE RUMST
30043;300;4220.0;UNIVERSITAIR ZIEKENHUIS ANTWERPEN;EDEGEM;Anvers;GE Healthcare;DISCOVERY MI;Utilisation clinique et scientifique;
30044;146;3200.0;POLE HOSPITALIER JOLIMONT - SITE JOLIMONT - LOBBES;LA LOUVIERE;Hainaut;GE;Discovery MI;Utilisation clinique uniquement;
30045;152;6200.0;GROUPE SANTE CHC - SITE MONTLEGIA LIEGE ET WAREMME;LIEGE;Liège;GE;DISCOVERY MI;Utilisation clinique uniquement;CHR DE LA CITADELLE
