Toestelnummer;Erkenningsnummer;Campusnummer;Naam exploitant;Gemeente;Provincie / Brussels Hoofdstedelijk Gewest ;Fabrikant;Model;Type gebruik;Ziekenhuizen in associatie
10104;412;3410;CENTRE HOSPITALIER REGIONAL DE LA CITADELLE;Luik;Luik;Siemens;SIEMENS-SOMATOM Perspective;;
10105;412;3430;CENTRE HOSPITALIER REGIONAL DE LA CITADELLE;Herstal;Luik;Siemens;SIEMENS-SOMATOM Emotion;;
10106;719;3615;MARIA ZIEKENHUIS NOORD-LIMBURG;Overpelt;Limburg;GE;GE-Discovery CT750 HD;;
10108;39;3280;CHU UCL NAMUR;Yvoir;Namen;Philips;PHILIPS-Ingenuity Core;;
10109;39;3280;CHU UCL NAMUR;Yvoir;Namen;Philips;PHILIPS-Brilliance;;
10112;166;3290;CHU UCL NAMUR - CLINIQUE STE. ELISABETH;Namen;Namen;GE;GE-LightSpeed VCT;;
10113;166;3290;CHU UCL NAMUR - CLINIQUE STE. ELISABETH;Namen;Namen;GE;GE-Discovery CT750 HD;;
10114;166;3290;CHU UCL NAMUR - CLINIQUE STE. ELISABETH;Namen;Namen;GE;LIGHTSPEED RT16;;
10118;99;1290;GZA- ZIEKENHUIZEN;Antwerpen;Antwerpen;Philips;PHILIPS-Brilliance Big Bore;;
10122;254;2730;C.H.U. AMBROISE PARE;Mons;Henegouwen;Toshiba;TOSHIBA-Aquilion 64;;
10123;254;2730;C.H.U. AMBROISE PARE;Mons;Henegouwen;Toshiba;TOSHIBA-Aquilion ONE;;
10124;109;1370;REGIONAAL ZIEKENHUIS HEILIG HART TIENEN;Tienen;Vlaams Brabant;Philips;PHILIPS-Brilliance;;
10126;97;1260;HEILIG HART ZIEKENHUIS V.Z.W.;Lier;Antwerpen;Siemens;SIEMENS-SOMATOM Definition AS+;;
10127;97;1260;HEILIG HART ZIEKENHUIS V.Z.W.;Lier;Antwerpen;Siemens;SIEMENS-SOMATOM Emotion;;
10131;117;1960;ALGEMEEN ZIEKENHUIS DELTA;Roulers;West-Vlaanderen;GE;GE-Optima CT660;;
10132;12;3460;ALGEMEEN ZIEKENHUIS ST. BLASIUS;Dendermonde;Oost-Vlaanderen;Philips;PHILIPS-MX 16;;
10133;12;3460;ALGEMEEN ZIEKENHUIS ST. BLASIUS;Dendermonde;Oost-Vlaanderen;Philips;PHILIPS-Brilliance;;
10134;126;1780;ONZE LIEVE VROUW ZIEKENHUIS;Aalst;Oost-Vlaanderen;Siemens;SIEMENS-SOMATOM Definition Flash;;
10136;126;1300;ONZE LIEVE VROUW ZIEKENHUIS;Asse;Vlaams Brabant;Toshiba;TOSHIBA-Aquilion 32;;
10137;126;1780;ONZE LIEVE VROUW ZIEKENHUIS;Aalst;Oost-Vlaanderen;Philips;PHILIPS-Brilliance Big Bore;;
10138;108;1360;REGIONAAL ZIEKENHUIS HEILIG HART;Leuven;Vlaams Brabant;Toshiba;TOSHIBA-Aquilion ONE;;
10139;176;1800;A.S.Z. - AUTONOME VERZORGINGSINSTELLING;Aalst;Oost-Vlaanderen;GE;GE-Discovery CT750 HD;;
10142;176;1820;A.S.Z. - AUTONOME VERZORGINGSINSTELLING;Geraardsbergen;Oost-Vlaanderen;GE;GE-LightSpeed VCT;;
10143;164;3230;VIVALIA - IFAC;Marche-En-Famenne;Luxemburg;Siemens;SIEMENS-SOMATOM DEFINITION 64;;
10144;409;3350;CLINIQUE NOTRE-DAME DE GRACE;Charleroi;Henegouwen;Toshiba;TOSHIBA-Aquilion RXL;;
10145;409;3350;CLINIQUE NOTRE-DAME DE GRACE;Charleroi;Henegouwen;Toshiba;TOSHIBA-Aquilion Prime;;
10146;164;3720;VIVALIA - IFAC;Vielsalm;Luxemburg;Siemens;SIEMENS-SOMATOM Emotion;;
10151;217;1900;ALGEMEEN ZIEKENHUIS ST. ELISABETH;Zottegem;Oost-Vlaanderen;GE;GE-Discovery CT750 HD;;
10153;595;1860;ALGEMEEN ZIEKENHUIS NIKOLAAS;Sint-Niklaas;Oost-Vlaanderen;GE;GE-Optima CT660;;
10154;595;1870;ALGEMEEN ZIEKENHUIS NIKOLAAS;Beveren-Waas;Oost-Vlaanderen;GE;GE-Brightspeed Elite;;
10156;710;3450;ALGEMEEN ZIEKENHUIS KLINA V.Z.W.;Brasschaat;Antwerpen;GE;GE-Revolution CT;;
10157;712;1320;ALGEMEEN ZIEKENHUIS DIEST;Diest;Vlaams Brabant;Siemens;SIEMES-SOMATOM Definition AS;;
10159;111;1400;EUROPAZIEKENHUIZEN V.Z.W.;Ukkel;Brussels Hoofdstedelijk Gewest;Siemens;SIEMENS-SOMATOM Definition Flash;;
10165;332;1740;CHIREC - DELTA;Ukkel;Brussels Hoofdstedelijk Gewest;Siemens;SIEMENS-SOMATOM Sensation;;
10167;723;1760;C.H. INTERREGIONAL EDITH CAVELL - SARE;Eigenbrakel;Waals Brabant;Siemens;SIEMES-SOMATOM Definition AS;;
10170;243;3590;JESSA ZIEKENHUIS;Hasselt;Limburg;Toshiba;TOSHIBA-Aquilion One Vision;;
10172;43;1730;CLINIQUE SAINT PIERRE;Ottignies-Louvain-La-Neuve;Waals Brabant;Siemens;SIEMES-SOMATOM Definition AS;;
10173;12;3480;ALGEMEEN ZIEKENHUIS ST. BLASIUS;Zele;Oost-Vlaanderen;Philips;PHILIPS-MX 16;;
10174;68;2870;CENTRE HOSPITALIER REGIONAL DE HUY;Hoei;Luik;Siemens;SIEMENS-SOMATOM Definition Flash;;
10175;17;1605;ALGEMEEN ZIEKENHUIS MARIA MIDDELARES;Gent;Oost-Vlaanderen;Siemens;SIEMENS-SOMATOM Definition Flash;;
10177;17;1850;ALGEMEEN ZIEKENHUIS MARIA MIDDELARES;Gent;Oost-Vlaanderen;GE;GE-LightSpeed VCT;;
10178;264;3260;CHU UCL NAMUR - SITE DE DINANT;Dinant;Namen;Toshiba;TOSHIBA-Astelion advance;;
10179;264;3260;CHU UCL NAMUR - SITE DE DINANT;Dinant;Namen;Toshiba;TOSHIBA-Aquilion Prime;;
10180;243;3590;JESSA ZIEKENHUIS;Hasselt;Limburg;Philips;PHILIPS-Brilliance Big Bore;;
10184;266;2710;CHR MONS - HAINAUT;Mons;Henegouwen;Siemens;SIEMENS-SOMATOM Emotion;;
10185;266;2710;CHR MONS - HAINAUT;Mons;Henegouwen;Siemens;SIEMENS-SOMATOM Sensation;;
10186;266;2720;CHR MONS - HAINAUT;Boussu;Henegouwen;Siemens;SIEMENS-SOMATOM Emotion;;
10187;10;3100;GRAND HOPITAL DE CHARLEROI;Charleroi;Henegouwen;Siemens;SIEMES-SOMATOM Definition AS;;
10188;10;3100;GRAND HOPITAL DE CHARLEROI;Charleroi;Henegouwen;Siemens;SIEMENS-SOMATOM Sensation;;
10189;10;3170;GRAND HOPITAL DE CHARLEROI;Gilly;Henegouwen;Toshiba;TOSHIBA-Aquilion One Vision;;
10190;10;3170;GRAND HOPITAL DE CHARLEROI;Gilly;Henegouwen;Siemens;SIEMENS-SOMATOM Emotion;;
10191;10;3190;GRAND HOPITAL DE CHARLEROI;Montignies-Sur-Sambre;Henegouwen;Siemens;SIEMENS-SOMATOM Emotion;;
10192;10;3180;GRAND HOPITAL DE CHARLEROI;Gerpinnes;Henegouwen;Siemens;SIEMENS-SOMATOM Emotion;;
10194;525;1940;ALGEMEEN ZIEKENHUIS DAMIAAN;Oostende;West-Vlaanderen;Siemens;SIEMENS-SOMATOM Definition Flash;;
10195;525;1940;ALGEMEEN ZIEKENHUIS DAMIAAN;Oostende;West-Vlaanderen;Siemens;SIEMENS-SOMATOM Emotion;;
10196;20;3010;CENTRE HOSPITALIER REGIONAL DE VERVIERS;Verviers;Luik;Siemens;SIEMENS-SOMATOM Definition AS;;
10197;20;3010;CENTRE HOSPITALIER REGIONAL DE VERVIERS;Verviers;Luik;Siemens;SIEMENS-SOMATOM Definition AS+;;
10202;707;3860;CENTRE HOSPITALIER UNIVERSITAIRE SART-TILMAN;Luik;Luik;Siemens;SIEMENS-SOMATOM Emotion;;
10203;707;3870;CENTRE HOSPITALIER UNIVERSITAIRE SART-TILMAN;Esneux;Luik;Siemens;SIEMENS-SOMATOM Emotion;;
10204;707;3860;CENTRE HOSPITALIER UNIVERSITAIRE SART-TILMAN;Luik;Luik;Philips;PHILIPS-Brilliance Big Bore;;
10205;707;2840;CENTRE HOSPITALIER UNIVERSITAIRE SART-TILMAN;Chênée;Luik;GE;GE-Brightspeed Elite;;
10206;707;3860;CENTRE HOSPITALIER UNIVERSITAIRE SART-TILMAN;Luik;Luik;GE;GE-Brightspeed Elite;;
10208;290;1630;ALGEMEEN ZIEKENHUIS ST. LUCAS;Gent;Oost-Vlaanderen;GE;GE-Brightspeed Elite;;
10212;265;1650;ALGEMEEN ZIEKENHUIS LOKEREN;Lokeren;Oost-Vlaanderen;Toshiba;TOSHIBA-Aquilion ONE;;
10213;396;1090;ALGEMEEN ZIEKENHUIS GROENINGE;Kortrijk;West-Vlaanderen;GE;GE-Discovery CT750 HD;;
10217;143;4200;UNIVERSITAIR ZIEKENHUIS BRUSSEL;Jette;Brussels Hoofdstedelijk Gewest;Philips;BRILLIANCE ICT 256;;
10220;143;4200;UNIVERSITAIR ZIEKENHUIS BRUSSEL;Jette;Brussels Hoofdstedelijk Gewest;GE;GE-Discovery CT750 HD;;
10221;143;4200;UNIVERSITAIR ZIEKENHUIS BRUSSEL;Jette;Brussels Hoofdstedelijk Gewest;GE;GE-Revolution CT;;
10222;713;1610;ALGEMEEN ZIEKENHUIS JAN PALFIJN;Gent;Oost-Vlaanderen;GE;GE-LightSpeed VCT;;
10225;146;3200;CENTRES HOSPITALIERS JOLIMONT;La Louviere;Henegouwen;Siemens;SIEMENS-SOMATOM Definition AS+;;
10227;146;3200;CENTRES HOSPITALIERS JOLIMONT;La Louviere;Henegouwen;Siemens;SIEMENS-SOMATOM Definition Flash;;
10228;146;3210;CENTRES HOSPITALIERS JOLIMONT;Lobbes;Henegouwen;Siemens;SIEMENS-SOMATOM Definition AS;;
10229;9;2000;ZIEKENHUISNETWERK ANTWERPEN VZW;Antwerpen;Antwerpen;Philips;PHILIPS-Brilliance;;
10230;9;1180;ZIEKENHUISNETWERK ANTWERPEN VZW;Antwerpen;Antwerpen;Philips;PHILIPS-Ingenuity Core;;
10231;96;3220;CENTRE HOSPITALIER UNIVERSITAIRE TIVOLI;La Louviere;Henegouwen;Siemens;SIEMENS-SOMATOM Definition AS+;;
10232;96;3220;CENTRE HOSPITALIER UNIVERSITAIRE TIVOLI;La Louviere;Henegouwen;Toshiba;TOSHIBA-Aquilion One Vision;;
10233;9;2000;ZIEKENHUISNETWERK ANTWERPEN VZW;Antwerpen;Antwerpen;Toshiba;Aquilion One;;
10234;9;1190;ZIEKENHUISNETWERK ANTWERPEN VZW;Borgerhout;Antwerpen;Philips;PHILIPS-Brilliance;;
10235;9;3360;ZIEKENHUISNETWERK ANTWERPEN VZW;Merksem;Antwerpen;Siemens;SIEMENS-SOMATOM Definition Flash;;
10236;406;4210;CLINIQUES UNIVERSITAIRES DE BRUXELLES HOPITAL ERASME;Anderlecht;Brussels Hoofdstedelijk Gewest;Siemens;SIEMENS-SOMATOM Sensation;;
10237;406;4210;CLINIQUES UNIVERSITAIRES DE BRUXELLES HOPITAL ERASME;Anderlecht;Brussels Hoofdstedelijk Gewest;Siemens;SIEMENS-SOMATOM Emotion;;
10238;406;4210;CLINIQUES UNIVERSITAIRES DE BRUXELLES HOPITAL ERASME;Anderlecht;Brussels Hoofdstedelijk Gewest;Siemens;SIEMENS-SOMATOM Force;;
10240;246;3700;VIVALIA - CLINIQUE DU SUD-LUXEMBOURG;Saint-Mard;Luxemburg;Siemens;SIEMENS-SOMATOM Emotion;;
10241;246;3690;VIVALIA - CLINIQUE DU SUD-LUXEMBOURG;Aarlen;Luxemburg;Siemens;SIEMENS-SOMATOM Perspective;;
10242;246;3690;VIVALIA - CLINIQUE DU SUD-LUXEMBOURG;Aarlen;Luxemburg;Siemens;SIEMENS-SOMATOM Force;;
10243;322;4230;UNIVERSITAIRE ZIEKENHUIZEN K.U.L.;Leuven;Vlaams Brabant;Philips;PHILIPS-Ingenuity Core;;
10244;322;4230;UNIVERSITAIRE ZIEKENHUIZEN K.U.L.;Leuven;Vlaams Brabant;Siemens;SIEMENS-SOMATOM Definition Flash;;
10248;322;4230;UNIVERSITAIRE ZIEKENHUIZEN K.U.L.;Leuven;Vlaams Brabant;Siemens;SIEMENS-SOMATOM Definition Flash;;
10249;322;4230;UNIVERSITAIRE ZIEKENHUIZEN K.U.L.;Leuven;Vlaams Brabant;Toshiba;TOSHIBA-Aquilion One Vision;;
10250;322;4230;UNIVERSITAIRE ZIEKENHUIZEN K.U.L.;Leuven;Vlaams Brabant;Siemens;SIEMENS-SOMATOM Force;;
10251;403;4190;CLINIQUES UNIVERSITAIRES ST.-LUC;Sint-Lambrechts-Woluwe;Brussels Hoofdstedelijk Gewest;Philips;PHILIPS-IQon;;
10254;77;1570;CHU BRUGMANN;Brussel;Brussels Hoofdstedelijk Gewest;Siemens;SIEMES-SOMATOM Definition AS;;
10255;140;1000;ALGEMEEN ZIEKENHUIS ST. LUCAS;Brugge;West-Vlaanderen;Siemens;SIEMENS-SOMATOM Definition Flash;;
10256;410;3060;CENTRE HOSPITALIER EPICURA;Baudour;Henegouwen;Siemens;SIEMENS-SOMATOM Definition AS+;;
10257;410;3380;CENTRE HOSPITALIER EPICURA;Boussu;Henegouwen;GE;GE-LightSpeed Ultra;;
10258;410;3380;CENTRE HOSPITALIER EPICURA;Boussu;Henegouwen;GE;GE-LightSpeed VCT;;
10259;410;3390;CENTRE HOSPITALIER EPICURA;Frameries;Henegouwen;GE;BRIGHTSPEED VELOCITY;;
10260;724;1910;CENTRE HOSPITALIER EPICURA;Aat;Henegouwen;Siemens;SIEMENS-SOMATOM Definition AS+;;
10261;4;2950;CLINIQUE REINE ASTRID;Malmedy;Luik;GE;GE-Optima CT540;;
10263;412;3410;CENTRE HOSPITALIER REGIONAL DE LA CITADELLE;Luik;Luik;Mobius Imaging;AIRO;;
10264;150;3440;HOPITAL UNIVERSITAIRE DES ENFANTS REINE FABIOLA;Brussel;Brussels Hoofdstedelijk Gewest;Siemens;SIEMENS-SOMATOM Sensation;;
10267;42;2990;CENTRE HOSPITALIER BOIS DE L'ABBAYE;Seraing;Luik;Siemens;SIEMENS-SOMATOM Definition AS+;;
10268;42;2990;CENTRE HOSPITALIER BOIS DE L'ABBAYE;Seraing;Luik;Siemens;SIEMENS-SOMATOM Definition Flash;;
10269;42;3000;CENTRE HOSPITALIER BOIS DE L'ABBAYE;Borgworm;Luik;Siemens;SIEMENS-SOMATOM Emotion;;
10270;346;1710;CENTRES HOSPITALIERS JOLIMONT;Nivelles;Waals Brabant;Siemens;SIEMES-SOMATOM Definition AS 128;;
10271;346;1720;CENTRES HOSPITALIERS JOLIMONT;Tubeke;Waals Brabant;Siemens;SIEMENS-SOMATOM Emotion;;
10272;77;1571;CHU BRUGMANN;Neder-Over-Heembeek;Brussels Hoofdstedelijk Gewest;Siemens;SIEMENS-SOMATOM Definition AS+;;
10273;106;1340;ALGEMEEN ZIEKENHUIS SINT- MARIA;Halle;Vlaams Brabant;Siemens;SIEMENS-SOMATOM Definition AS+;;
10274;87;1540;HOPITAUX IRIS SUD - IRIS ZIEKENHUIZEN ZUID;Anderlecht;Brussels Hoofdstedelijk Gewest;GE;GE-Revolution Evo;;
10275;689;2040;IMELDA ZIEKENHUIS;Bonheiden;Antwerpen;Siemens;SIEMENS SOMATOM FORCE;;
10276;322;4230;UNIVERSITAIRE ZIEKENHUIZEN K.U.L.;Leuven;Vlaams Brabant;Brainlab;AIRO;;
10277;126;1790;ONZE LIEVE VROUW ZIEKENHUIS;Ninove;Oost-Vlaanderen;Siemens;SIEMENS-SOMATOM Perspective;;
10278;87;1560;HOPITAUX IRIS SUD - IRIS ZIEKENHUIZEN ZUID;Elsene;Brussels Hoofdstedelijk Gewest;GE;REVOLUTION EVO;;
10279;396;1090;ALGEMEEN ZIEKENHUIS GROENINGE;Kortrijk;West-Vlaanderen;GE;GE-Optima CT580W;;
10281;371;3560;ZIEKENHUIS OOST-LIMBURG;Genk;Limburg;Siemens;SIEMENS-SOMATOM Force;;
10282;23;2860;CLINIQUE ANDRE RENARD;Herstal;Luik;Toshiba;TOSHIBA-Aquilion Prime;;
10283;143;4200;UNIVERSITAIR ZIEKENHUIS BRUSSEL;Jette;Brussels Hoofdstedelijk Gewest;GE;GE-Revolution CT;;
10284;396;1090;ALGEMEEN ZIEKENHUIS GROENINGE;Kortrijk;West-Vlaanderen;GE;GE-Revolution Evo;;
10285;396;1090;ALGEMEEN ZIEKENHUIS GROENINGE;Kortrijk;West-Vlaanderen;GE;GE-Revolution CT;;
10286;32;1845;ALGEMEEN ZIEKENHUIS ALMA;Eeklo;Oost-Vlaanderen;GE;GE-Revolution CT;;
10287;412;3420;CENTRE HOSPITALIER REGIONAL DE LA CITADELLE;Luik;Luik;Siemens;Somatom Scope Power 32;;
10288;716;3670;ALGEMEEN ZIEKENHUIS VESALIUS;Tongeren;Limburg;GE;GE-Revolution CT;;
10289;7;2790;CENTRE HOSPITALIER DE LA HAUTE SENNE;Soignies;Henegouwen;GE HEALTHCARE;REVOLUTION DISCOVERY CT;;
10290;168;3240;VIVALIA - CENTRE HOSPITALIER DE L'ARDENNE;Libramont-Chevigny;Luxemburg;Siemens;Somatom Perspective 128;;
10291;247;2770;CENTRE HOSPITALIER DE MOUSCRON;Moeskroen;Henegouwen;Toshiba;Aquilion Prime 160 (TSX-303A/BK);;
10292;63;1280;ALGEMEEN ZIEKENHUIS TURNHOUT;Turnhout;Antwerpen;GE;GE-Revolution CT;;
10293;406;4210;CLINIQUES UNIVERSITAIRES DE BRUXELLES HOPITAL ERASME;Anderlecht;Brussels Hoofdstedelijk Gewest;Siemens;SIEMENS SOMATOM DEFINITION AS ;;
10294;247;2770;CENTRE HOSPITALIER DE MOUSCRON;Moeskroen;Henegouwen;Toshiba;Aquilion Prime 80 (TSX-303A/AC);;
10295;124;1920;ST.-JOZEFSKLINIEK;Izegem;West-Vlaanderen;GE;GE-Revolution Evo;;
10296;168;3240;VIVALIA - CENTRE HOSPITALIER DE L'ARDENNE;Libramont-Chevigny;Luxemburg;Siemens Healthcare GmbH;SOMATOM Force;;
10297;412;3410;CENTRE HOSPITALIER REGIONAL DE LA CITADELLE;Luik;Luik;Siemens;SOMATOM GO UP;;
10299;717;6120;ZIEKENHUIS MAAS EN KEMPEN V.Z.W.;Maaseik;Limburg;GE;GE-Revolution Evo;;
10300;77;1590;CHU BRUGMANN;Schaerbeek;Brussels Hoofdstedelijk Gewest;Siemens;Somatom Definition AS128;;
10302;158;2940;GROUPE SANTE CHC;"Hermalle-Sous
-Argenteau";Luik;GE;GE-Brightspeed Elite;;
10303;332;6140;CHIREC - DELTA;Oudergem;Brussels Hoofdstedelijk Gewest;Siemens;SIEMES-SOMATOM Definition AS;;
10304;332;6140;CHIREC - DELTA;Oudergem;Brussels Hoofdstedelijk Gewest;Siemens;SIEMENS-SOMATOM Force;;
10305;332;6140;CHIREC - DELTA;Oudergem;Brussels Hoofdstedelijk Gewest;Siemens;SOMATOM CONFIDENCE;;
10306;290;1630;ALGEMEEN ZIEKENHUIS ST. LUCAS;Gent;Oost-Vlaanderen;GE;DISCOVERY 590 RT;;
