Numéro d'appareil;Numéro d'agrément;Numéro de campus;Nom de l'exploitant;Commune;Province/Région de Bruxelles-Capitale;Fabricant;Modèle;Type d'utilisation;Hopitaux en association
60031;709;2690;ALGEMEEN ZIEKENHUIS ST. DIMPNA;Geel;Anvers;Siemens;SIEMENS-MAGNETOM Avanto 1,5T;Utilisation clinique uniquement;HEILIG HART ZIEKENHUIS MOL
60032;371;3560;ZIEKENHUIS OOST-LIMBURG;Genk;Limbourg;Siemens;MAGNETOM AERA;Utilisation clinique uniquement;
60036;257;2980;KLINIK ST.-JOSEF;Sankt Vith;Liège;Siemens;SIEMENS-MAGNETOM Avanto 1,5T;Utilisation clinique uniquement;
60039;204;1460;ALGEMEEN ZIEKENHUIS JAN PORTAELS;Vilvoorde;Brabant Flamand;Siemens;SIEMENS MAGNETOM AREA 1,5T;Utilisation clinique uniquement;
60040;6;3300;CENTRE HOSPITALIER REGIONAL DE NAMUR;Namur;Namur;Philips;PHILIPS-Achieva 3.0T XR TX;Utilisation clinique uniquement;
60043;682;1210;A.Z. MONICA;Anvers;Anvers;Siemens;SIEMENS-MAGNETOM Amira 1,5T;Utilisation clinique uniquement;
60044;79;1510;INSTITUT JULES BORDET;Bruxelles;Région de Bruxelles-Capitale;Siemens;SIEMENS-MAGNETOM Verio 3T;Utilisation clinique uniquement;
60045;264;3260;CHU UCL NAMUR - SITE DE DINANT;Chimay;Hainaut;Philips;PHILIPS-Achieva 1.5T A-serie;Utilisation clinique uniquement;CHR VAL DE SAMBRE, CENTRE DE SANTE DES FAGNES
60046;79;1510;INSTITUT JULES BORDET;Bruxelles;Région de Bruxelles-Capitale;Siemens;SIEMENS-MAGNETOM Avanto 1,5T;Utilisation clinique uniquement;
60047;310;1980;AZ WEST;Veurne;Flandre Occidentale;Philips;PHILIPS-Ingenia 3.0T;Utilisation clinique uniquement;SINT-REMBERT ZIEKENHUIS TORHOUT
60048;325;2750;CENTRE HOSPITALIER UNIVERSITAIRE A. VESALE;Montigny-Le-Tilleul;Hainaut;Siemens;SIEMENS-MAGNETOM Avanto 1,5T;Utilisation clinique uniquement;
60049;718;3130;C.H.U. CHARLEROI;Charleroi;Hainaut;Siemens;SIEMENS-MAGNETOM Skyra 3T;Utilisation clinique uniquement;
60052;412;3410;CENTRE HOSPITALIER REGIONAL DE LA CITADELLE;Liège;Liège;Philips;PHILIPS-Achieva 1.5T A-serie;Utilisation clinique uniquement;
60053;719;3615;MARIA ZIEKENHUIS NOORD-LIMBURG;Overpelt;Limbourg;Philips;PHILIPS-Achieva 1.5T A-serie;Utilisation clinique uniquement;
60059;99;2020;GZA- ZIEKENHUIZEN;Anvers;Anvers;Philips;PHILIPS-Ingenia 1.5T;Utilisation clinique uniquement;
60061;716;3670;ALGEMEEN ZIEKENHUIS VESALIUS;Tongeren;Limbourg;Siemens;AERA;Utilisation clinique uniquement;
60062;109;1370;REGIONAAL ZIEKENHUIS HEILIG HART TIENEN;Tienen;Brabant Flamand;SIEMENS ;SIEMENS-MAGNETOM Avanto 1,5T;Utilisation clinique uniquement;
60063;97;1260;HEILIG HART ZIEKENHUIS V.Z.W.;Lier;Anvers;Siemens;MAGNETON AERA 1,5T;Utilisation clinique uniquement;
60066;117;1100;ALGEMEEN ZIEKENHUIS DELTA;Roulers;Flandre occidentale;Siemens;SIEMENS-MAGNETOM Avanto 1,5T;Utilisation clinique uniquement;
60067;126;1780;ONZE LIEVE VROUW ZIEKENHUIS;Alost;Flandre Orientale;GE;GE-Echospeed HDx 1.5T;Utilisation clinique uniquement;AZ GLORIEUX RONSE
60068;126;1780;ONZE LIEVE VROUW ZIEKENHUIS;Alost;Flandre Orientale;GE;GE-TwinSpeed HDx 3.0T;Utilisation clinique uniquement;AZ GLORIEUX RONSE
60069;176;1800;A.S.Z. - AUTONOME VERZORGINGSINSTELLING;Alost;Flandre Orientale;GE;GE-Discovery MR750 GEM 3.0T;Utilisation clinique uniquement;
60070;164;3230;VIVALIA - IFAC;Marche-En-Famenne;Luxembourg;Siemens;SIEMENS-MAGNETOM SYMPHONY TIM;Utilisation clinique uniquement;
60071;87;1560;HOPITAUX IRIS SUD - IRIS ZIEKENHUIZEN ZUID;Ixelles;Région de Bruxelles-Capitale;Philips;PHILIPS-ACHIEVA 3T XR TX;Utilisation clinique uniquement;
60074;217;1900;ALGEMEEN ZIEKENHUIS ST. ELISABETH;Zottegem;Flandre Orientale;Siemens;SIEMENS-MAGNETOM Avanto 1,5T;Utilisation clinique uniquement;
60075;710;3450;ALGEMEEN ZIEKENHUIS KLINA V.Z.W.;Brasschaat;Anvers;GE;GE-Optima 450W;Utilisation clinique uniquement;
60076;712;1320;ALGEMEEN ZIEKENHUIS DIEST;Diest;Brabant Flamand;Siemens;SIEMENS-MAGNETOM Avanto 1,5T;Utilisation clinique uniquement;REGIONAAL ZIEKENHUIS HEILIG HART LEUVEN
60077;595;1860;ALGEMEEN ZIEKENHUIS NIKOLAAS;Sint-Niklaas;Flandre Orientale;Siemens;SIEMENS-MAGNETOM Skyra 3T;Utilisation clinique uniquement;
60078;108;1360;REGIONAAL ZIEKENHUIS HEILIG HART;Leuven;Brabant Flamand;Philips;PHILIPS-Ingenia 1.5T;Utilisation clinique uniquement;AZ DIEST
60084;723;1470;C.H. INTERREGIONAL EDITH CAVELL - SARE;Anderlecht;Région de Bruxelles-Capitale;Siemens;AERA;Utilisation clinique uniquement;
60087;243;3570;JESSA ZIEKENHUIS;Hasselt;Limbourg;Siemens;SIEMENS-MAGNETOM Avanto 1,5T;Utilisation clinique uniquement;
60088;43;1730;CLINIQUE SAINT PIERRE;Ottignies-Louvain-La-Neuve;Brabant Wallon;Siemens;SIEMENS-AVANTO_FIT;Utilisation clinique uniquement;
60090;68;2870;CENTRE HOSPITALIER REGIONAL DE HUY;Huy;Liège;Siemens; AERA;Utilisation clinique uniquement;
60093;266;2720;CHR MONS - HAINAUT;Boussu;Hainaut;GE;GE-Echospeed HDx 1.5T;Utilisation clinique uniquement;CHAMBORD
60094;525;1940;ALGEMEEN ZIEKENHUIS DAMIAAN;Ostende;Flandre Occidentale;Siemens;MAGNETRON AERA 1.5 TESLA;Utilisation clinique uniquement;
60097;707;2840;CENTRE HOSPITALIER UNIVERSITAIRE SART-TILMAN;Chênée;Liège;Siemens;AERA 1,5T;Utilisation clinique uniquement;
60098;707;3860;CENTRE HOSPITALIER UNIVERSITAIRE SART-TILMAN;Liège;Liège;Siemens;AERA 1,5T;Utilisation clinique uniquement;
60101;396;1090;ALGEMEEN ZIEKENHUIS GROENINGE;Kortrijk;Flandre Occidentale;GE;GE-DISCOVERY 750W GEM 3.0T;Utilisation clinique uniquement;
60102;396;1090;ALGEMEEN ZIEKENHUIS GROENINGE;Kortrijk;Flandre Occidentale;GE;GE-DISCOVERY 750W GEM 3.0T;Utilisation clinique uniquement;
60105;290;1630;ALGEMEEN ZIEKENHUIS ST. LUCAS;Gand;Flandre Orientale;Philips;PHILIPS-Achieva 3.0T TX;Utilisation clinique uniquement;
60106;290;1630;ALGEMEEN ZIEKENHUIS ST. LUCAS;Gand;Flandre Orientale;Philips;PHILIPS-Ingenia 3.0T;Utilisation clinique uniquement;
60108;10;3100;GRAND HOPITAL DE CHARLEROI;Charleroi;Hainaut;Siemens;SIEMENS-MAGNETOM Verio 3T;Utilisation clinique uniquement;CLINIQUE NOTRE-DAME DE GRACE
60109;10;3170;GRAND HOPITAL DE CHARLEROI;Gilly;Hainaut;Philips;PHILIPS-Ingenia 1.5T;Utilisation clinique uniquement;
60114;9;1180;ZIEKENHUISNETWERK ANTWERPEN VZW;Anvers;Anvers;GE;GE-Signa Explorer 1.5T;Utilisation clinique uniquement;
60115;96;3220;CENTRE HOSPITALIER UNIVERSITAIRE TIVOLI;La Louviere;Hainaut;Siemens;SIEMENS-MAGNETOM Avanto 1,5T;Utilisation clinique uniquement;
60117;9;2000;ZIEKENHUISNETWERK ANTWERPEN VZW;Anvers;Anvers;GE;GE-Signa Explorer 1.5T;Utilisation clinique uniquement;
60121;406;4210;CLINIQUES UNIVERSITAIRES DE BRUXELLES HOPITAL ERASME;Anderlecht;Région de Bruxelles-Capitale;Philips;PHILIPS-Ingenia 3.0T;Utilisation clinique uniquement;
60123;246;3690;VIVALIA - CLINIQUE DU SUD-LUXEMBOURG;Arlon;Luxembourg;Siemens;SIEMENS-MAGNETOM Avanto 1,5T;Utilisation clinique uniquement;
60125;322;4230;UNIVERSITAIRE ZIEKENHUIZEN K.U.L.;Leuven;Brabant Flamand;Philips;PHILIPS-Ingenia 3.0T;Utilisation clinique uniquement;
60126;322;4230;UNIVERSITAIRE ZIEKENHUIZEN K.U.L.;Leuven;Brabant Flamand;Siemens;SIEMENS MAGNETOM AERA 1,5T;Utilisation clinique uniquement;
60130;143;4200;UNIVERSITAIR ZIEKENHUIS BRUSSEL;Jette;Région de Bruxelles-Capitale;Siemens;SIEMENS-MAGNETOM Skyra 3T;Utilisation clinique uniquement;
60131;143;4200;UNIVERSITAIR ZIEKENHUIS BRUSSEL;Jette;Région de Bruxelles-Capitale;Philips;PHILIPS-Intera 1.5T Master ;Utilisation clinique uniquement;
60132;143;4200;UNIVERSITAIR ZIEKENHUIS BRUSSEL;Jette;Région de Bruxelles-Capitale;Philips;PHILIPS-Ingenia 3.0T;Utilisation clinique uniquement;
60136;714;3600;SINT-FRANCISCUSZIEKENHUIS;Heusden-Zolder;Limbourg;Siemens;SIEMENS AERA 1,5 T;Utilisation clinique uniquement;
60138;140;1000;ALGEMEEN ZIEKENHUIS ST. LUCAS;Bruges;Flandre Occidentale;GE;GE-Optima 450W;Utilisation clinique uniquement;
60139;410;3380;CENTRE HOSPITALIER EPICURA;Boussu;Hainaut;Siemens;SIEMENS AERA 1.5 T;Utilisation clinique uniquement;
60140;724;1910;CENTRE HOSPITALIER EPICURA;Ath;Hainaut;Siemens;SIEMENS AERA 1.5 T;Utilisation clinique uniquement;
60142;106;1340;ALGEMEEN ZIEKENHUIS SINT- MARIA;Halle;Brabant Flamand;Siemens;SIEMENS AERA 1,5 T;Utilisation clinique uniquement;
60143;550;1680;A.Z. GLORIEUX;Ronse;Flandre Orientale;GE;GE-Signa Pioneer 3.0T;Utilisation clinique uniquement;
60144;150;3440;HOPITAL UNIVERSITAIRE DES ENFANTS REINE FABIOLA;Bruxelles;Région de Bruxelles-Capitale;Siemens;MAGNETON AREA 1.5T;Utilisation clinique uniquement;CHU BRUGMANN
60145;395;1170;ST.-ANDRIESZIEKENHUIS;Tielt;Flandre Occidentale;Philips;PHILIPS-Ingenia 3.0T;Utilisation clinique uniquement;AZ DELTA ROESELARE, SINT-JOZEFSKLINIEK IZEGEM
60146;42;2990;CENTRE HOSPITALIER BOIS DE L'ABBAYE;Seraing;Liège;Siemens;MAGNETOM SYMPHONY A TIM SYSTEM;Utilisation clinique uniquement;
60147;670;3850;UNIVERSITAIR ZIEKENHUIS;Gand;Flandre Orientale;Siemens;AERA;Utilisation clinique uniquement;
60150;706;3340;CLINIQUE ST.-LUC;Namur;Namur;GE;GE-Optima 450W;Utilisation clinique uniquement;
60151;308;1250;ALGEMEEN ZIEKENHUIS HERENTALS;Herentals;Anvers;Siemens;SIEMENS AVANTO FIT;Utilisation clinique uniquement;AZ ST. ELISABETH HERENTALS VZW, AZ TURNHOUT VZW
60152;63;1280;AZ TURNHOUT;Turnhout;Anvers;Siemens;AERA;Utilisation clinique uniquement;AZ HERENTALS, AZ TURNHOUT
60153;76;1520;CENTRE HOSPITALIER UNIVERSITAIRE ST. PIERRE;Bruxelles;Région de Bruxelles-Capitale;GE;GE-DISCOVERY MR 450W GEM 1,5T 32CH;Utilisation clinique uniquement;
60154;371;3560;ZIEKENHUIS OOST-LIMBURG;Genk;Limbourg;Philips;PHILIPS-Ingenia 3.0T;Utilisation clinique uniquement;
60155;32;1845;ALGEMEEN ZIEKENHUIS ALMA;Eeklo;Flandre Orientale;Siemens;AERA;Utilisation clinique uniquement;
60157;713;1610;ALGEMEEN ZIEKENHUIS JAN PALFIJN;Gand;Flandre Orientale;Siemens Healthcare GmbH;SIEMENS-MAGNETOM Avanto Fit;Utilisation clinique uniquement;
60158;406;4210;CLINIQUES UNIVERSITAIRES DE BRUXELLES HOPITAL ERASME;Anderlecht;Région de Bruxelles-Capitale;Siemens;SIEMENS MAGNETOM AERA 1.5T;Utilisation clinique uniquement;
60159;17;1605;ALGEMEEN ZIEKENHUIS MARIA MIDDELARES;Gand;Flandre Orientale;Philips;PHILIPS-Ingenia 3.0T;Utilisation clinique uniquement;
60160;99;1290;GZA- ZIEKENHUIZEN;Anvers;Anvers;Siemens;SIEMENS-MAGNETOM Skyra 3T;Utilisation clinique uniquement;
60162;168;3240;VIVALIA - CENTRE HOSPITALIER DE L'ARDENNE;Libramont-Chevigny;Luxembourg;Siemens Healthcare GmbH;MAGNETOM AERA;Utilisation clinique uniquement;
60163;534;2810;CENTRE HOSPITALIER DE WALLONIE PICARDE;Tournai;Hainaut;Siemens Healthcare GmbH;SIEMENS-MAGNETOM Avanto 1,5T;Utilisation clinique uniquement;
60164;723;1760;C.H. INTERREGIONAL EDITH CAVELL - SARE;Braine-L'Alleud;Brabant Wallon;Siemens;MAGNETOM AERA;Utilisation clinique uniquement;
60165;12;3460;ALGEMEEN ZIEKENHUIS ST. BLASIUS;Dendermonde;Flandre Orientale;Philips;PHILIPS-Ingenia 3T;Utilisation clinique uniquement;
60166;146;3200;CENTRES HOSPITALIERS JOLIMONT;La Louviere;Hainaut;Siemens;Skyra Fit;Utilisation clinique uniquement;
60167;9;2000;ZIEKENHUISNETWERK ANTWERPEN VZW;Anvers;Anvers;GE;SIGNA ARTIST;Utilisation clinique uniquement;
60168;20;3010;CENTRE HOSPITALIER REGIONAL DE VERVIERS;Verviers;Liège;Siemens;SIEMENS MAGNETOM AERA;Utilisation clinique uniquement;
60169;670;3850;UNIVERSITAIR ZIEKENHUIS;Gand;Flandre Orientale;Siemens;Prisma Fit;Utilisation clinique uniquement;
60170;332;6140;CHIREC - DELTA;Auderghem;Région de Bruxelles-Capitale;Siemens;Magnetom Aera;Utilisation clinique uniquement;
60171;254;2730;C.H.U. AMBROISE PARE;Mons;Hainaut;Philips;Ingenia;Utilisation clinique uniquement;
60172;392;6160;ALGEMEEN ZIEKENHUIS ZENO;Knokke-Heist;Flandre Occidentale;GE;SIGNA PIONEER EXPERT;Utilisation clinique uniquement;AZ SINT JAN BRUGGE OOSTENDE
60173;146;3200;CENTRES HOSPITALIERS JOLIMONT;La Louviere;Hainaut;Siemens;MAGNETOM  AERA;Utilisation clinique uniquement;
60174;322;4230;UNIVERSITAIRE ZIEKENHUIZEN K.U.L.;Leuven;Brabant Flamand;Philips;PHILIPS-Ingenia 1.5T;Utilisation clinique uniquement;
60175;57;2700;JAN YPERMAN ZIEKENHUIS;Ypres;Flandre Occidentale;Siemens;MAGNETOM SOLA;Utilisation clinique uniquement;
60176;322;4230;UNIVERSITAIRE ZIEKENHUIZEN K.U.L.;Leuven;Brabant Flamand;Philips;PHILIPS-Ingenia 3.0T;Utilisation clinique uniquement;
60178;39;3280;CHU UCL NAMUR;Yvoir;Namur;Siemens;MAGNETOM AERA;Utilisation clinique uniquement;
60179;26;6170;ALGEMEEN ZIEKENHUIS ST. MAARTEN;Mechelen;Anvers;Siemens;SIEMENS - MAGNETOM AERA 1,5T;Utilisation clinique uniquement;
60180;15;2850;ST. NIKOLAUS HOSPITAL;Eupen;Liège;GE;SIGNA ARTIST 1.5T;Utilisation clinique uniquement;
60181;707;3860;CENTRE HOSPITALIER UNIVERSITAIRE SART-TILMAN;Liège;Liège;Siemens;Magnetom Vida;Utilisation clinique uniquement;
60183;166;3290;CHU UCL NAMUR - CLINIQUE STE. ELISABETH;Namur;Namur;Siemens;MAGNETOM AERA;Utilisation clinique uniquement;
60184;77;1570;CHU BRUGMANN;Bruxelles;Région de Bruxelles-Capitale;Siemens;Avanto Fit;Utilisation clinique uniquement;
60186;104;1270;AZ RIVIERENLAND;Rumst;Anvers;Philips;PHILIPS-Ingenia 3.0T;Utilisation clinique uniquement;
60187;49;1010;A.Z. ST. JAN BRUGGE - OOSTENDE;Bruges;Flandre Occidentale;Philips;Ingenia Elition X 3T;Utilisation clinique uniquement;
60188;243;3590;JESSA ZIEKENHUIS;Hasselt;Limbourg;Philips;Ingenia Elition X 3T;Utilisation clinique uniquement;
60189;243;3590;JESSA ZIEKENHUIS;Hasselt;Limbourg;Philips;AMBITION X 1,5T;Utilisation clinique uniquement;
60190;406;4210;CLINIQUES UNIVERSITAIRES DE BRUXELLES HOPITAL ERASME;Anderlecht;Région de Bruxelles-Capitale;Siemens Healthcare GmbH;SIEMENS MAGNETOM VIDA 3.0T;Utilisation clinique uniquement;
60193;99;1290;GZA- ZIEKENHUIZEN;Anvers;Anvers;Siemens;MAGNETOM SOLA 1.5T;Utilisation clinique uniquement;
60194;152;6200;GROUPE SANTE CHC;Liège;Liège;Siemens;SIEMENS MAGNETOM SOLA;Utilisation clinique uniquement;
60195;152;6200;GROUPE SANTE CHC;Liège;Liège;Siemens;SIEMENS MAGNETOM VIDA;Utilisation clinique uniquement;
60196;158;2970;GROUPE SANTE CHC;Verviers;Liège;Siemens;SIEMENS-MAGNETOM Avanto 1,5T;Utilisation clinique uniquement;
60197;10;3100;GRAND HOPITAL DE CHARLEROI;Charleroi;Hainaut;Siemens;Magnetom Aera;Utilisation clinique uniquement;CLINIQUE NOTRE-DAME DE GRACE
60198;170;1660;ALGEMEEN ZIEKENHUIS OUDENAARDE Vzw;Oudenaarde;Flandre Orientale;Siemens;MAGNETOM LUMINA;Utilisation clinique uniquement;
60199;397;1990;O.L.V. VAN LOURDES ZIEKENHUIS WAREGEM;Waregem;Flandre Occidentale;Siemens;MAGNETOM SOLA 1,5 TESLA;Utilisation clinique uniquement;ST.-VINCENTIUSZIEKENHUIS
60200;412;3410;CENTRE HOSPITALIER REGIONAL DE LA CITADELLE;Liège;Liège;Philips;AMBITION X;Utilisation clinique uniquement;
