"Numéro
d'appareil";Numéro d'agrément;Numéro de campus;Nom de l'exploitant;Commune;Province;Fabricant;Modèle;Hôpitaux en association
50071;87.0;1550.0;"HOPITAUX IRIS SUD - IRIS
ZIEKENHUIZEN ZUID";Forest;Bruxelles-Capitale;Philips;PHILIPS-BrightView-XCT;Il n'existe pas d'association pour cet appareil
50072;217.0;1900.0;"ALGEMEEN ZIEKENHUIS ST.
ELISABETH";Zottegem;Flandre orientale;GE;GE-Discovery NM/CT 670;Il n'existe pas d'association pour cet appareil
50073;217.0;1900.0;"ALGEMEEN ZIEKENHUIS ST.
ELISABETH";Zottegem;Flandre orientale;GE;"DISCOVERY VH INTEGRATED SYSTEM
E";Il n'existe pas d'association pour cet appareil
50074;595.0;1860.0;ALGEMEEN ZIEKENHUIS NIKOLAAS;"Saint-Nicolas (Flandre
orientale)";Flandre orientale;GE;GE-Discovery NM/CT 670;Il n'existe pas d'association pour cet appareil
50075;595.0;1860.0;ALGEMEEN ZIEKENHUIS NIKOLAAS;"Saint-Nicolas (Flandre
orientale)";Flandre orientale;GE;GE-Discovery NM/CT 670;Il n'existe pas d'association pour cet appareil
50076;710.0;3450.0;ALGEMEEN ZIEKENHUIS KLINA V.Z.W.;Brasschaat;Anvers;GE;GE-Discovery NM/CT 670 Pro;Il n'existe pas d'association pour cet appareil
50077;106.0;1340.0;ALGEMEEN ZIEKENHUIS SINT- MARIA;Hal;Brabant flamand;Siemens;SIEMENS-Symbia T;Il n'existe pas d'association pour cet appareil
50078;111.0;1400.0;EUROPAZIEKENHUIZEN V.Z.W.;Uccle;Bruxelles-Capitale;Siemens;SIEMENS-Symbia T;Il n'existe pas d'association pour cet appareil
50081;723.0;1760.0;"C.H. INTERREGIONAL EDITH CAVELL -
SARE";Braine-l'Alleud;Brabant wallon;Philips;PHILIPS-BrightView-XCT;Il n'existe pas d'association pour cet appareil
50082;723.0;1470.0;"C.H. INTERREGIONAL EDITH CAVELL -
SARE";Anderlecht;Bruxelles-Capitale;Siemens;SIEMENS-Symbia T;Il n'existe pas d'association pour cet appareil
50083;723.0;1470.0;"C.H. INTERREGIONAL EDITH CAVELL -
SARE";Anderlecht;Bruxelles-Capitale;GE;GE-Infinia Hawkeye;Il n'existe pas d'association pour cet appareil
50084;723.0;1470.0;"C.H. INTERREGIONAL EDITH CAVELL -
SARE";Anderlecht;Bruxelles-Capitale;GE;GE-DISCOVERY NM/CT 570C;Il n'existe pas d'association pour cet appareil
50085;68.0;2870.0;"CENTRE HOSPITALIER REGIONAL DE
HUY";Huy;Liège;GE;GE-Discovery NM/CT 670;Il n'existe pas d'association pour cet appareil
50086;17.0;1605.0;"ALGEMEEN ZIEKENHUIS MARIA
MIDDELARES";Gand;Flandre orientale;Siemens;SIEMENS-Symbia T;Il n'existe pas d'association pour cet appareil
50087;17.0;1605.0;"ALGEMEEN ZIEKENHUIS MARIA
MIDDELARES";Gand;Flandre orientale;Siemens;SIEMENS-Symbia Intevo;Il n'existe pas d'association pour cet appareil
50088;39.0;3280.0;CHU UCL NAMUR;Yvoir;Namur;GE;GE-Discovery NM/CT 670;Il n'existe pas d'association pour cet appareil
50089;26.0;2070.0;ALGEMEEN ZIEKENHUIS ST. MAARTEN;Malines;Anvers;GE;GE-Discovery NM/CT 670;Il n'existe pas d'association pour cet appareil
50090;266.0;2710.0;CHR MONS - HAINAUT;Mons;Hainaut;GE;GE-Infinia Hawkeye;Il n'existe pas d'association pour cet appareil
50091;266.0;2720.0;CHR MONS - HAINAUT;Boussu;Hainaut;GE;GE-Infinia Hawkeye;Il n'existe pas d'association pour cet appareil
50092;10.0;3100.0;GRAND HOPITAL DE CHARLEROI;Charleroi;Hainaut;GE;GE-Discovery NM/CT 670;Il n'existe pas d'association pour cet appareil
50093;7.0;2790.0;"CENTRE HOSPITALIER DE LA HAUTE
SENNE";Soignies;Hainaut;GE;GE-Discovery NM/CT 670;Il n'existe pas d'association pour cet appareil
50094;525.0;1940.0;ALGEMEEN ZIEKENHUIS DAMIAAN;Ostende;Flandre occidentale;Siemens;SIEMENS-Symbia T;Il n'existe pas d'association pour cet appareil
50095;20.0;3010.0;"CENTRE HOSPITALIER REGIONAL DE
VERVIERS";Verviers;Liège;Siemens;SIEMENS-Symbia T;Il n'existe pas d'association pour cet appareil
50096;707.0;3860.0;"CENTRE HOSPITALIER
UNIVERSITAIRE SART-TILMAN";Liège;Liège;Siemens;SIEMENS-Symbia T;Il n'existe pas d'association pour cet appareil
50097;707.0;2840.0;"CENTRE HOSPITALIER
UNIVERSITAIRE SART-TILMAN";Chênée;Liège;Siemens;SIEMENS-Symbia T;Il n'existe pas d'association pour cet appareil
50098;534.0;2830.0;"CENTRE HOSPITALIER DE WALLONIE
PICARDE";Tournai;Hainaut;GE;GE-Discovery NM/CT 670 Pro;Il n'existe pas d'association pour cet appareil
50099;290.0;1630.0;ALGEMEEN ZIEKENHUIS ST. LUCAS;Gand;Flandre orientale;GE;GE-Discovery NM/CT 670;Il n'existe pas d'association pour cet appareil
50100;290.0;1630.0;ALGEMEEN ZIEKENHUIS ST. LUCAS;Gand;Flandre orientale;GE;GE-Infinia Hawkeye;Il n'existe pas d'association pour cet appareil
50101;290.0;1630.0;ALGEMEEN ZIEKENHUIS ST. LUCAS;Gand;Flandre orientale;Siemens;SIEMENS-Symbia Intevo;Il n'existe pas d'association pour cet appareil
50102;243.0;3570.0;JESSA ZIEKENHUIS;Hasselt;Limbourg;Philips;PHILIPS-BrightView-XCT;Il n'existe pas d'association pour cet appareil
50103;243.0;3590.0;JESSA ZIEKENHUIS;Hasselt;Limbourg;GE;DISCOVERY VH - MILENNIUM VG;Il n'existe pas d'association pour cet appareil
50104;243.0;3590.0;JESSA ZIEKENHUIS;Hasselt;Limbourg;Philips;PHILIPS-BrightView-XCT;Il n'existe pas d'association pour cet appareil
50105;265.0;1650.0;ALGEMEEN ZIEKENHUIS LOKEREN;Lokeren;Flandre orientale;GE;GE-Discovery NM/CT 670;Il n'existe pas d'association pour cet appareil
50106;396.0;1090.0;ALGEMEEN ZIEKENHUIS GROENINGE;Courtrai;Flandre occidentale;GE;GE-Discovery NM/CT 670;Il n'existe pas d'association pour cet appareil
50107;143.0;4200.0;UNIVERSITAIR ZIEKENHUIS BRUSSEL;Jette;Bruxelles-Capitale;Philips;PHILIPS-BrightView-XCT;Il n'existe pas d'association pour cet appareil
50108;111.0;1420.0;EUROPAZIEKENHUIZEN V.Z.W.;Etterbeek;Bruxelles-Capitale;GE;GE-Infinia Hawkeye;Il n'existe pas d'association pour cet appareil
50109;713.0;1610.0;ALGEMEEN ZIEKENHUIS JAN PALFIJN;Gand;Flandre orientale;Philips;PHILIPS-BrightView-XCT;Il n'existe pas d'association pour cet appareil
50110;716.0;3670.0;ALGEMEEN ZIEKENHUIS VESALIUS;Tongres;Limbourg;Siemens;SIEMENS-Symbia T;Il n'existe pas d'association pour cet appareil
50111;9.0;2000.0;"ZIEKENHUISNETWERK ANTWERPEN
VZW";Anvers;Anvers;Philips;PHILIPS-BrightView-XCT;Il n'existe pas d'association pour cet appareil
50112;96.0;3220.0;"CENTRE HOSPITALIER
UNIVERSITAIRE TIVOLI";La Louvière;Hainaut;Siemens;SIEMENS-Symbia T;Il n'existe pas d'association pour cet appareil
50113;406.0;4210.0;"CLINIQUES UNIVERSITAIRES DE
BRUXELLES HOPITAL ERASME";Anderlecht;Bruxelles-Capitale;Philips;BRIGHTVIEW XCT;Il n'existe pas d'association pour cet appareil
50114;246.0;3690.0;"VIVALIA - CLINIQUE DU
SUD-LUXEMBOURG";Arlon;Luxembourg;Siemens;Symbia T;Il n'existe pas d'association pour cet appareil
50115;246.0;3690.0;"VIVALIA - CLINIQUE DU
SUD-LUXEMBOURG";Arlon;Luxembourg;Siemens;Symbia T;Il n'existe pas d'association pour cet appareil
50116;322.0;4230.0;UNIVERSITAIRE ZIEKENHUIZEN K.U.L.;Louvain;Brabant flamand;Siemens;SIEMENS-Symbia T;Il n'existe pas d'association pour cet appareil
50117;322.0;4230.0;UNIVERSITAIRE ZIEKENHUIZEN K.U.L.;Louvain;Brabant flamand;GE;GE-Discovery NM/CT 670;Il n'existe pas d'association pour cet appareil
50118;77.0;1570.0;CHU BRUGMANN;Laeken;Bruxelles-Capitale;GE;GE-Infinia Hawkeye;HUDERF
50119;77.0;1570.0;CHU BRUGMANN;Laeken;Bruxelles-Capitale;Siemens;SIEMENS-Symbia T;HUDERF
50120;140.0;1000.0;ALGEMEEN ZIEKENHUIS ST. LUCAS;Bruges;Flandre occidentale;GE;GE-Infinia Hawkeye;Il n'existe pas d'association pour cet appareil
50121;140.0;1000.0;ALGEMEEN ZIEKENHUIS ST. LUCAS;Bruges;Flandre occidentale;Siemens;SIEMENS-Symbia Intevo;Il n'existe pas d'association pour cet appareil
50122;410.0;3380.0;CENTRE HOSPITALIER EPICURA;Hornu;Hainaut;GE;GE-Infinia Hawkeye;Il n'existe pas d'association pour cet appareil
50123;;;MEDINUCLEAR;Molenbeek-Saint-Jean;Bruxelles-Capitale;GE;GE-Optima NM/CT 640;Il n'existe pas d'association pour cet appareil
50124;110.0;1310.0;KLINIEK ST.- JAN;Bruxelles;Bruxelles-Capitale;GE;GE-DISCOVERY NM/CT 670 CZT;Il n'existe pas d'association pour cet appareil
50125;6.0;3300.0;C.H.R. SAMBRE ET MEUSE;Namur;Namur;Philips;PHILIPS-BrightView-XCT;Il n'existe pas d'association pour cet appareil
50126;9.0;3360.0;"ZIEKENHUISNETWERK ANTWERPEN
VZW";Merksem;Anvers;GE;GE-Discovery NM/CT 670;Il n'existe pas d'association pour cet appareil
50127;712.0;1320.0;ALGEMEEN ZIEKENHUIS DIEST;Diest;Brabant flamand;Siemens;SIEMENS-Symbia Intevo;Il n'existe pas d'association pour cet appareil
50128;670.0;3850.0;UNIVERSITAIR ZIEKENHUIS;Gand;Flandre orientale;GE;GE-Discovery NM/CT 670 Pro;Il n'existe pas d'association pour cet appareil
50129;346.0;1710.0;CENTRES HOSPITALIERS JOLIMONT;Nivelles;Brabant wallon;GE;GE-Infinia Hawkeye 4;Il n'existe pas d'association pour cet appareil
50130;396.0;1090.0;ALGEMEEN ZIEKENHUIS GROENINGE;Courtrai;Flandre occidentale;GE;GE-Discovery NM/CT 670 pro;Il n'existe pas d'association pour cet appareil
50133;32.0;1845.0;ALGEMEEN ZIEKENHUIS ALMA;Eeklo;Flandre orientale;Philips;PHILIPS-BrightView-XCT;Il n'existe pas d'association pour cet appareil
50137;719.0;3615.0;MARIA ZIEKENHUIS NOORD-LIMBURG;Overpelt;Limbourg;GEHC;Discovery 670 NM/CT ES;Il n'existe pas d'association pour cet appareil
50138;332.0;6140.0;CHIREC - DELTA;Auderghem;Bruxelles-Capitale;Philips;PHILIPS-BrightView-XCT;Il n'existe pas d'association pour cet appareil
50139;332.0;6140.0;CHIREC - DELTA;Auderghem;Bruxelles-Capitale;GE;GE-Discovery NM/CT 670;Il n'existe pas d'association pour cet appareil
50131;247.0;2770.0;CENTRE HOSPITALIER DE MOUSCRON;Mouscron;Hainaut;Siemens;SIEMENS-Symbia Intevo;Il n'existe pas d'association pour cet appareil
50132;325.0;2750.0;"CENTRE HOSPITALIER
UNIVERSITAIRE A. VESALE";Montigny-le-Tilleul;Hainaut;GE;GE-Optima NM/CT 640;Il n'existe pas d'association pour cet appareil
50134;32.0;1845.0;ALGEMEEN ZIEKENHUIS ALMA;Eeklo;Flandre orientale;GE;GE-Discovery NM/CT 670 Pro;Il n'existe pas d'association pour cet appareil
50135;715.0;3650.0;ST. TRUDO ZIEKENHUIS;Saint-Trond;Limbourg;Siemens;SIEMENS-Symbia Intevo 6;Il n'existe pas d'association pour cet appareil
50136;20.0;3010.0;"CENTRE HOSPITALIER REGIONAL DE
VERVIERS";Verviers;Liège;GE;GE-Discovery NM/CT 670 Pro;Il n'existe pas d'association pour cet appareil
