Toestelnummer;Erkenningsnummer;Campusnummer;Naam exploitant;Gemeente;Provincie;Fabrikant;Model;Ziekenhuizen in associatie
50034;550.0;1680.0;A.Z. GLORIEUX;Ronse;Oost-Vlaanderen;GE;GE-Discovery NM/CT 670;Er bestaat geen associatie voor dit toestel
50035;63.0;1280.0;ALGEMEEN ZIEKENHUIS TURNHOUT;Turnhout;Antwerpen;GE;GE-Discovery NM/CT 670 Pro;Er bestaat geen associatie voor dit toestel
50036;308.0;1250.0;ALGEMEEN ZIEKENHUIS HERENTALS;Herentals;Antwerpen;GE;GE-Discovery NM/CT 670;Er bestaat geen associatie voor dit toestel
50037;395.0;1170.0;ST.-ANDRIESZIEKENHUIS;Tielt;West-Vlaanderen;GE;GE-Discovery NM/CT 670;Er bestaat geen associatie voor dit toestel
50039;204.0;1460.0;"ALGEMEEN ZIEKENHUIS JAN
PORTAELS";Vilvoorde;Vlaams-Brabant;GE;GE-Discovery NM/CT 670;Er bestaat geen associatie voor dit toestel
50040;682.0;1210.0;A.Z. MONICA;Deurne;Antwerpen;GE;GE-Infinia Hawkeye;Er bestaat geen associatie voor dit toestel
50041;249.0;3160.0;CENTRE DE SANTE DES FAGNES;Chimay;Henegouwen;Philips;PHILIPS-BrightView-XCT;Er bestaat geen associatie voor dit toestel
50042;170.0;1660.0;"ALGEMEEN ZIEKENHUIS
OUDENAARDE Vzw";Oudenaarde;Oost-Vlaanderen;Siemens;SIEMENS-Symbia T;Er bestaat geen associatie voor dit toestel
50043;103.0;3310.0;C.H.R. SAMBRE ET MEUSE;Sambreville;Namen;Siemens;SIEMENS-Symbia Intevo;Er bestaat geen associatie voor dit toestel
50044;103.0;3310.0;C.H.R. SAMBRE ET MEUSE;Sambreville;Namen;Philips;PRECEDENCE;Er bestaat geen associatie voor dit toestel
50045;79.0;1510.0;INSTITUT JULES BORDET;Brussel;Brussel-Hoofdstad;Siemens;SIEMENS-Symbia T;Er bestaat geen associatie voor dit toestel
50046;310.0;1980.0;AZ WEST;Veurne;West-Vlaanderen;GE;GE-Infinia Hawkeye;Er bestaat geen associatie voor dit toestel
50047;718.0;3130.0;C.H.U. CHARLEROI;Lodelinsart;Henegouwen;GE;GE-Optima NM/CT 640;Er bestaat geen associatie voor dit toestel
50048;719.0;3615.0;MARIA ZIEKENHUIS NOORD-LIMBURG;Overpelt;Limburg;Philips;PHILIPS-BrightView-XCT;Er bestaat geen associatie voor dit toestel
50050;168.0;3240.0;"VIVALIA - CENTRE HOSPITALIER DE
L'ARDENNE";Libramont-Chevigny;Luxemburg;GE;GE-Infinia Hawkeye;Er bestaat geen associatie voor dit toestel
50051;166.0;3290.0;CHU UCL NAMUR;Namen;Namen;Siemens;SIEMENS-Symbia T;Er bestaat geen associatie voor dit toestel
50052;99.0;1290.0;GZA- ZIEKENHUIZEN;Wilrijk;Antwerpen;Philips;PHILIPS-BrightView-XCT;Er bestaat geen associatie voor dit toestel
50053;99.0;2020.0;GZA- ZIEKENHUIZEN;Antwerpen;Antwerpen;GE;GE-Infinia Hawkeye;Er bestaat geen associatie voor dit toestel
50054;99.0;2030.0;GZA- ZIEKENHUIZEN;Mortsel;Antwerpen;GE;GE-Discovery NM/CT 670;Er bestaat geen associatie voor dit toestel
50055;117.0;1950.0;ALGEMEEN ZIEKENHUIS DELTA;Roeselare;West-Vlaanderen;GE;GE-Infinia Hawkeye;Er bestaat geen associatie voor dit toestel
50056;117.0;1100.0;ALGEMEEN ZIEKENHUIS DELTA;Roeselare;West-Vlaanderen;Siemens;SIEMENS-Symbia Intevo;Er bestaat geen associatie voor dit toestel
50057;117.0;1100.0;ALGEMEEN ZIEKENHUIS DELTA;Roeselare;West-Vlaanderen;Siemens;SIEMENS-Symbia T;Er bestaat geen associatie voor dit toestel
50058;97.0;1260.0;HEILIG HART ZIEKENHUIS V.Z.W.;Lier;Antwerpen;GE;GE-Discovery NM/CT 670 Pro;Er bestaat geen associatie voor dit toestel
50059;412.0;3410.0;"CENTRE HOSPITALIER REGIONAL DE
LA CITADELLE";Luik;Luik;GE;GE-Discovery NM/CT 670;Er bestaat geen associatie voor dit toestel
50060;126.0;1780.0;ONZE LIEVE VROUW ZIEKENHUIS;Aalst;Oost-Vlaanderen;Siemens;SIEMENS-Symbia T;Er bestaat geen associatie voor dit toestel
50061;108.0;1360.0;REGIONAAL ZIEKENHUIS HEILIG HART;Leuven;Vlaams-Brabant;Siemens;SIEMENS-Symbia Intevo;Er bestaat geen associatie voor dit toestel
50062;176.0;1800.0;"ALGEMEEN STEDELIJK ZIEKENHUIS
A.V.";Aalst;Oost-Vlaanderen;Siemens;SIEMENS-Symbia T;Er bestaat geen associatie voor dit toestel
50063;409.0;3350.0;CLINIQUE NOTRE-DAME DE GRACE;Gosselies;Henegouwen;Siemens;SIEMENS-Symbia T;Er bestaat geen associatie voor dit toestel
50064;109.0;1370.0;"REGIONAAL ZIEKENHUIS HEILIG HART
TIENEN";Tienen;Vlaams-Brabant;Siemens;SIEMENS-Symbia T;Er bestaat geen associatie voor dit toestel
50065;109.0;1380.0;"REGIONAAL ZIEKENHUIS HEILIG HART
TIENEN";Aarschot;Vlaams-Brabant;GE;GE-Infinia Hawkeye;Er bestaat geen associatie voor dit toestel
50066;164.0;3230.0;VIVALIA - IFAC;Marche-en-Famenne;Luxemburg;GE;DISCOVERY VH CT HAWKEYE;Er bestaat geen associatie voor dit toestel
50067;164.0;3230.0;VIVALIA - IFAC;Marche-en-Famenne;Luxemburg;GE;GE-Discovery NM/CT 670;Er bestaat geen associatie voor dit toestel
50068;164.0;3720.0;VIVALIA - IFAC;Bastenaken;Luxemburg;GE;GE-INFINIA HAWKEYE GP3;Er bestaat geen associatie voor dit toestel
50069;87.0;1560.0;"HOPITAUX IRIS SUD - IRIS
ZIEKENHUIZEN ZUID";Elsene;Brussel-Hoofdstad;Philips;PHILIPS-BrightView-XCT;Er bestaat geen associatie voor dit toestel
50070;87.0;1540.0;"HOPITAUX IRIS SUD - IRIS
ZIEKENHUIZEN ZUID";Anderlecht;Brussel-Hoofdstad;Philips;PHILIPS-BrightView-XCT;Er bestaat geen associatie voor dit toestel
50071;87.0;1550.0;"HOPITAUX IRIS SUD - IRIS
ZIEKENHUIZEN ZUID";Vorst;Brussel-Hoofdstad;Philips;PHILIPS-BrightView-XCT;Er bestaat geen associatie voor dit toestel
50072;217.0;1900.0;"ALGEMEEN ZIEKENHUIS ST.
ELISABETH";Zottegem;Oost-Vlaanderen;GE;GE-Discovery NM/CT 670;Er bestaat geen associatie voor dit toestel
50073;217.0;1900.0;"ALGEMEEN ZIEKENHUIS ST.
ELISABETH";Zottegem;Oost-Vlaanderen;GE;"DISCOVERY VH INTEGRATED SYSTEM
E";Er bestaat geen associatie voor dit toestel
50074;595.0;1860.0;ALGEMEEN ZIEKENHUIS NIKOLAAS;Sint-Niklaas;Oost-Vlaanderen;GE;GE-Discovery NM/CT 670;Er bestaat geen associatie voor dit toestel
50075;595.0;1860.0;ALGEMEEN ZIEKENHUIS NIKOLAAS;Sint-Niklaas;Oost-Vlaanderen;GE;GE-Discovery NM/CT 670;Er bestaat geen associatie voor dit toestel
50076;710.0;3450.0;ALGEMEEN ZIEKENHUIS KLINA V.Z.W.;Brasschaat;Antwerpen;GE;GE-Discovery NM/CT 670 Pro;Er bestaat geen associatie voor dit toestel
50077;106.0;1340.0;ALGEMEEN ZIEKENHUIS SINT- MARIA;Halle;Vlaams-Brabant;Siemens;SIEMENS-Symbia T;Er bestaat geen associatie voor dit toestel
50078;111.0;1400.0;EUROPAZIEKENHUIZEN V.Z.W.;Ukkel;Brussel-Hoofdstad;Siemens;SIEMENS-Symbia T;Er bestaat geen associatie voor dit toestel
50081;723.0;1760.0;"C.H. INTERREGIONAL EDITH CAVELL -
SARE";Eigenbrakel;Waals-Brabant;Philips;PHILIPS-BrightView-XCT;Er bestaat geen associatie voor dit toestel
50082;723.0;1470.0;"C.H. INTERREGIONAL EDITH CAVELL -
SARE";Anderlecht;Brussel-Hoofdstad;Siemens;SIEMENS-Symbia T;Er bestaat geen associatie voor dit toestel
50083;723.0;1470.0;"C.H. INTERREGIONAL EDITH CAVELL -
SARE";Anderlecht;Brussel-Hoofdstad;GE;GE-Infinia Hawkeye;Er bestaat geen associatie voor dit toestel
50084;723.0;1470.0;"C.H. INTERREGIONAL EDITH CAVELL -
SARE";Anderlecht;Brussel-Hoofdstad;GE;GE-DISCOVERY NM/CT 570C;Er bestaat geen associatie voor dit toestel
50085;68.0;2870.0;"CENTRE HOSPITALIER REGIONAL DE
HUY";Hoei;Luik;GE;GE-Discovery NM/CT 670;Er bestaat geen associatie voor dit toestel
50086;17.0;1605.0;"ALGEMEEN ZIEKENHUIS MARIA
MIDDELARES";Gent;Oost-Vlaanderen;Siemens;SIEMENS-Symbia T;Er bestaat geen associatie voor dit toestel
50087;17.0;1605.0;"ALGEMEEN ZIEKENHUIS MARIA
MIDDELARES";Gent;Oost-Vlaanderen;Siemens;SIEMENS-Symbia Intevo;Er bestaat geen associatie voor dit toestel
50088;39.0;3280.0;CHU UCL NAMUR;Yvoir;Namen;GE;GE-Discovery NM/CT 670;Er bestaat geen associatie voor dit toestel
50089;26.0;2070.0;ALGEMEEN ZIEKENHUIS ST. MAARTEN;Mechelen;Antwerpen;GE;GE-Discovery NM/CT 670;Er bestaat geen associatie voor dit toestel
50090;266.0;2710.0;CHR MONS - HAINAUT;Bergen;Henegouwen;GE;GE-Infinia Hawkeye;Er bestaat geen associatie voor dit toestel
50091;266.0;2720.0;CHR MONS - HAINAUT;Boussu;Henegouwen;GE;GE-Infinia Hawkeye;Er bestaat geen associatie voor dit toestel
50092;10.0;3100.0;GRAND HOPITAL DE CHARLEROI;Charleroi;Henegouwen;GE;GE-Discovery NM/CT 670;Er bestaat geen associatie voor dit toestel
50093;7.0;2790.0;"CENTRE HOSPITALIER DE LA HAUTE
SENNE";Zinnik;Henegouwen;GE;GE-Discovery NM/CT 670;Er bestaat geen associatie voor dit toestel
50094;525.0;1940.0;ALGEMEEN ZIEKENHUIS DAMIAAN;Oostende;West-Vlaanderen;Siemens;SIEMENS-Symbia T;Er bestaat geen associatie voor dit toestel
50095;20.0;3010.0;"CENTRE HOSPITALIER REGIONAL DE
VERVIERS";Verviers;Luik;Siemens;SIEMENS-Symbia T;Er bestaat geen associatie voor dit toestel
50096;707.0;3860.0;"CENTRE HOSPITALIER
UNIVERSITAIRE SART-TILMAN";Luik;Luik;Siemens;SIEMENS-Symbia T;Er bestaat geen associatie voor dit toestel
50097;707.0;2840.0;"CENTRE HOSPITALIER
UNIVERSITAIRE SART-TILMAN";Chênée;Luik;Siemens;SIEMENS-Symbia T;Er bestaat geen associatie voor dit toestel
50098;534.0;2830.0;"CENTRE HOSPITALIER DE WALLONIE
PICARDE";Doornik;Henegouwen;GE;GE-Discovery NM/CT 670 Pro;Er bestaat geen associatie voor dit toestel
50099;290.0;1630.0;ALGEMEEN ZIEKENHUIS ST. LUCAS;Gent;Oost-Vlaanderen;GE;GE-Discovery NM/CT 670;Er bestaat geen associatie voor dit toestel
50100;290.0;1630.0;ALGEMEEN ZIEKENHUIS ST. LUCAS;Gent;Oost-Vlaanderen;GE;GE-Infinia Hawkeye;Er bestaat geen associatie voor dit toestel
50101;290.0;1630.0;ALGEMEEN ZIEKENHUIS ST. LUCAS;Gent;Oost-Vlaanderen;Siemens;SIEMENS-Symbia Intevo;Er bestaat geen associatie voor dit toestel
50102;243.0;3570.0;JESSA ZIEKENHUIS;Hasselt;Limburg;Philips;PHILIPS-BrightView-XCT;Er bestaat geen associatie voor dit toestel
50103;243.0;3590.0;JESSA ZIEKENHUIS;Hasselt;Limburg;GE;DISCOVERY VH - MILENNIUM VG;Er bestaat geen associatie voor dit toestel
50104;243.0;3590.0;JESSA ZIEKENHUIS;Hasselt;Limburg;Philips;PHILIPS-BrightView-XCT;Er bestaat geen associatie voor dit toestel
50105;265.0;1650.0;ALGEMEEN ZIEKENHUIS LOKEREN;Lokeren;Oost-Vlaanderen;GE;GE-Discovery NM/CT 670;Er bestaat geen associatie voor dit toestel
50106;396.0;1090.0;ALGEMEEN ZIEKENHUIS GROENINGE;Kortrijk;West-Vlaanderen;GE;GE-Discovery NM/CT 670;Er bestaat geen associatie voor dit toestel
50107;143.0;4200.0;UNIVERSITAIR ZIEKENHUIS BRUSSEL;Jette;Brussel-Hoofdstad;Philips;PHILIPS-BrightView-XCT;Er bestaat geen associatie voor dit toestel
50108;111.0;1420.0;EUROPAZIEKENHUIZEN V.Z.W.;Etterbeek;Brussel-Hoofdstad;GE;GE-Infinia Hawkeye;Er bestaat geen associatie voor dit toestel
50109;713.0;1610.0;ALGEMEEN ZIEKENHUIS JAN PALFIJN;Gent;Oost-Vlaanderen;Philips;PHILIPS-BrightView-XCT;Er bestaat geen associatie voor dit toestel
50110;716.0;3670.0;ALGEMEEN ZIEKENHUIS VESALIUS;Tongeren;Limburg;Siemens;SIEMENS-Symbia T;Er bestaat geen associatie voor dit toestel
50111;9.0;2000.0;"ZIEKENHUISNETWERK ANTWERPEN
VZW";Antwerpen;Antwerpen;Philips;PHILIPS-BrightView-XCT;Er bestaat geen associatie voor dit toestel
50112;96.0;3220.0;"CENTRE HOSPITALIER
UNIVERSITAIRE TIVOLI";La Louvière;Henegouwen;Siemens;SIEMENS-Symbia T;Er bestaat geen associatie voor dit toestel
50113;406.0;4210.0;"CLINIQUES UNIVERSITAIRES DE
BRUXELLES HOPITAL ERASME";Anderlecht;Brussel-Hoofdstad;Philips;BRIGHTVIEW XCT;Er bestaat geen associatie voor dit toestel
50114;246.0;3690.0;"VIVALIA - CLINIQUE DU
SUD-LUXEMBOURG";Aarlen;Luxemburg;Siemens;Symbia T;Er bestaat geen associatie voor dit toestel
50115;246.0;3690.0;"VIVALIA - CLINIQUE DU
SUD-LUXEMBOURG";Aarlen;Luxemburg;Siemens;Symbia T;Er bestaat geen associatie voor dit toestel
50116;322.0;4230.0;UNIVERSITAIRE ZIEKENHUIZEN K.U.L.;Leuven;Vlaams-Brabant;Siemens;SIEMENS-Symbia T;Er bestaat geen associatie voor dit toestel
50117;322.0;4230.0;UNIVERSITAIRE ZIEKENHUIZEN K.U.L.;Leuven;Vlaams-Brabant;GE;GE-Discovery NM/CT 670;Er bestaat geen associatie voor dit toestel
50118;77.0;1570.0;CHU BRUGMANN;Laken;Brussel-Hoofdstad;GE;GE-Infinia Hawkeye;HUDERF
50119;77.0;1570.0;CHU BRUGMANN;Laken;Brussel-Hoofdstad;Siemens;SIEMENS-Symbia T;HUDERF
50120;140.0;1000.0;ALGEMEEN ZIEKENHUIS ST. LUCAS;Brugge;West-Vlaanderen;GE;GE-Infinia Hawkeye;Er bestaat geen associatie voor dit toestel
50121;140.0;1000.0;ALGEMEEN ZIEKENHUIS ST. LUCAS;Brugge;West-Vlaanderen;Siemens;SIEMENS-Symbia Intevo;Er bestaat geen associatie voor dit toestel
50122;410.0;3380.0;CENTRE HOSPITALIER EPICURA;Hornu;Henegouwen;GE;GE-Infinia Hawkeye;Er bestaat geen associatie voor dit toestel
50123;;;MEDINUCLEAR;Sint-Jans-Molenbeek;Brussel-Hoofdstad;GE;GE-Optima NM/CT 640;Er bestaat geen associatie voor dit toestel
50124;110.0;1310.0;KLINIEK ST.- JAN;Brussel;Brussel-Hoofdstad;GE;GE-DISCOVERY NM/CT 670 CZT;Er bestaat geen associatie voor dit toestel
50125;6.0;3300.0;C.H.R. SAMBRE ET MEUSE;Namen;Namen;Philips;PHILIPS-BrightView-XCT;Er bestaat geen associatie voor dit toestel
50126;9.0;3360.0;"ZIEKENHUISNETWERK ANTWERPEN
VZW";Merksem;Antwerpen;GE;GE-Discovery NM/CT 670;Er bestaat geen associatie voor dit toestel
50127;712.0;1320.0;ALGEMEEN ZIEKENHUIS DIEST;Diest;Vlaams-Brabant;Siemens;SIEMENS-Symbia Intevo;Er bestaat geen associatie voor dit toestel
50128;670.0;3850.0;UNIVERSITAIR ZIEKENHUIS;Gent;Oost-Vlaanderen;GE;GE-Discovery NM/CT 670 Pro;Er bestaat geen associatie voor dit toestel
50129;346.0;1710.0;CENTRES HOSPITALIERS JOLIMONT;Nijvel;Waals-Brabant;GE;GE-Infinia Hawkeye 4;Er bestaat geen associatie voor dit toestel
50130;396.0;1090.0;ALGEMEEN ZIEKENHUIS GROENINGE;Kortrijk;West-Vlaanderen;GE;GE-Discovery NM/CT 670 pro;Er bestaat geen associatie voor dit toestel
50133;32.0;1845.0;ALGEMEEN ZIEKENHUIS ALMA;Eeklo;Oost-Vlaanderen;Philips;PHILIPS-BrightView-XCT;Er bestaat geen associatie voor dit toestel
50137;719.0;3615.0;MARIA ZIEKENHUIS NOORD-LIMBURG;Overpelt;Limburg;GEHC;Discovery 670 NM/CT ES;Er bestaat geen associatie voor dit toestel
50138;332.0;6140.0;CHIREC - DELTA;Oudergem;Brussel-Hoofdstad;Philips;PHILIPS-BrightView-XCT;Er bestaat geen associatie voor dit toestel
50139;332.0;6140.0;CHIREC - DELTA;Oudergem;Brussel-Hoofdstad;GE;GE-Discovery NM/CT 670;Er bestaat geen associatie voor dit toestel
50131;247.0;2770.0;CENTRE HOSPITALIER DE MOUSCRON;Moeskroen;Henegouwen;Siemens;SIEMENS-Symbia Intevo;Er bestaat geen associatie voor dit toestel
50132;325.0;2750.0;"CENTRE HOSPITALIER
UNIVERSITAIRE A. VESALE";Montigny-le-Tilleul;Henegouwen;GE;GE-Optima NM/CT 640;Er bestaat geen associatie voor dit toestel
50134;32.0;1845.0;ALGEMEEN ZIEKENHUIS ALMA;Eeklo;Oost-Vlaanderen;GE;GE-Discovery NM/CT 670 Pro;Er bestaat geen associatie voor dit toestel
50135;715.0;3650.0;ST. TRUDO ZIEKENHUIS;Sint-Truiden;Limburg;Siemens;SIEMENS-Symbia Intevo 6;Er bestaat geen associatie voor dit toestel
50136;20.0;3010.0;"CENTRE HOSPITALIER REGIONAL DE
VERVIERS";Verviers;Luik;GE;GE-Discovery NM/CT 670 Pro;Er bestaat geen associatie voor dit toestel
